Application_ID,Customer_ID,Application_Date,Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount,Loan_Tenure_Months,Existing_Loans,Previous_Defaults,Monthly_Expenses,Savings,Dependents,Gender,Employment_Type,Education_Level,Location,Loan_Type,Marital_Status,Payment_History,Loan_Defaulted
APP100022,CUST10022,2024-03-18,22,102246.0,725.0,11,510665,48,0,1,7424.0,465445,5,Male,Self-Employed,Postgraduate,Urban,Home,Married,Average,1
APP100023,CUST10023,2025-07-12,41,94975.0,723.0,5,414745,72,1,0,49344.0,662950,5,Female,Contract,Graduate,Urban,Personal,Single,Good,0
APP100024,CUST10024,2025-07-08,53,99557.0,643.0,26,1584396,84,4,0,68092.0,691230,4,Male,Business,Graduate,Urban,Education,Single,Excellent,1
APP100025,CUST10025,2023-02-20,32,155488.0,769.0,0,1493734,60,1,0,64595.0,538822,3,Male,Salaried,Postgraduate,Urban,Vehicle,Single,Good,0
APP100026,CUST10026,2023-05-29,42,90516.0,649.0,3,1774324,48,0,0,59626.0,275065,4,Female,Self-Employed,Postgraduate,Semi-Urban,Vehicle,Married,Good,1
APP100027,CUST10027,2024-01-03,64,167130.0,721.0,18,961656,36,0,0,14200.0,399907,4,Male,Business,Postgraduate,Urban,Vehicle,Married,Excellent,1
APP100028,CUST10028,2024-08-02,45,50602.0,783.0,11,657539,60,5,0,55469.0,309186,3,Female,Salaried,Graduate,Urban,Business,Single,Good,1
APP100029,CUST10029,2024-10-17,47,176588.0,793.0,14,631330,60,5,0,28031.0,580497,2,Female,Salaried,Graduate,Urban,Business,Married,Excellent,0
APP100030,CUST10030,2023-03-17,62,147295.0,670.0,2,890172,60,0,0,8216.0,728800,5,Female,Salaried,Graduate,Semi-Urban,Personal,Married,Good,0
APP100031,CUST10031,2023-08-15,48,105969.0,725.0,22,246945,72,4,3,50594.0,245763,3,Female,Salaried,Graduate,Semi-Urban,Vehicle,Married,Good,1
APP100032,CUST10032,2025-08-16,36,150161.0,663.0,26,1669888,84,5,0,5016.0,320747,0,Female,Salaried,Postgraduate,Urban,Education,Married,Good,0
APP100033,CUST10033,2024-08-14,35,159559.0,850.0,27,1777386,12,5,0,31378.0,49377,0,Female,Contract,Postgraduate,Semi-Urban,Business,Single,Excellent,1
APP100034,CUST10034,2023-01-24,64,18155.0,749.0,25,1679829,60,3,2,36734.0,44705,0,Male,Business,High School,Semi-Urban,Home,Single,Excellent,1
APP100035,CUST10035,2023-01-28,23,141950.0,696.0,19,322201,48,3,0,83886.0,101492,0,Male,Self-Employed,Graduate,Urban,Home,Single,Good,0
APP100036,CUST10036,2023-05-01,57,85494.0,713.0,30,798609,48,5,0,19450.0,154836,1,Male,Salaried,Graduate,Semi-Urban,Home,Married,Average,1
APP100037,CUST10037,2025-05-02,27,94229.0,721.0,27,845415,36,1,0,6473.0,471960,2,Male,Salaried,Graduate,Semi-Urban,Personal,Single,Good,0
APP100038,CUST10038,2024-09-15,41,122648.0,723.0,7,442613,24,4,0,30525.0,282927,1,Male,Self-Employed,Postgraduate,Urban,Vehicle,Married,Good,1
APP100039,CUST10039,2025-06-08,29,56547.0,672.0,10,594283,24,2,0,33572.0,275659,4,Female,Salaried,Graduate,Semi-Urban,Vehicle,Single,Good,1
APP100040,CUST10040,2023-01-31,59,46795.0,660.0,15,164587,12,5,0,47028.0,662430,4,Male,Business,Graduate,Semi-Urban,Business,Single,Average,0
APP100041,CUST10041,2025-05-19,38,39447.0,679.0,8,1331652,72,3,2,42079.0,874282,3,Female,Contract,Graduate,Urban,Home,Married,Good,1
APP100042,CUST10042,2023-02-19,24,105960.0,605.0,2,796988,84,4,0,63967.0,771410,0,Male,Salaried,Graduate,Semi-Urban,Personal,Married,Excellent,1
APP100043,CUST10043,2024-12-26,45,81278.0,744.0,4,520897,72,4,0,57047.0,674131,3,Male,Salaried,Graduate,Semi-Urban,Education,Single,Excellent,0
APP100044,CUST10044,2024-01-24,34,,630.0,19,1137462,84,3,0,35110.0,363920,4,Female,Salaried,High School,Urban,Vehicle,Married,Excellent,1
APP100045,CUST10045,2025-08-01,29,130782.0,611.0,13,1449745,60,4,0,6946.0,69206,0,Male,Salaried,High School,Semi-Urban,Vehicle,Married,Good,1
APP100046,CUST10046,2025-10-11,46,120932.0,689.0,27,539788,84,4,0,26943.0,247220,5,Male,Salaried,Graduate,Urban,Personal,Married,Excellent,0
APP100047,CUST10047,2024-04-19,22,158600.0,680.0,25,145149,12,3,0,20740.0,350508,2,Male,Business,Graduate,Urban,Business,Single,Good,0
APP100048,CUST10048,2025-01-25,40,127869.0,709.0,14,668308,36,0,0,79712.0,115532,4,Female,Contract,Graduate,Semi-Urban,Personal,Single,Good,1
APP100049,CUST10049,2024-08-25,48,157251.0,647.0,5,1625537,36,5,0,49651.0,226586,5,Male,Contract,Postgraduate,Semi-Urban,Business,Married,Good,1
APP100050,CUST10050,2025-07-14,27,66781.0,661.0,26,1002394,24,1,3,42269.0,123090,3,Female,Business,Postgraduate,Urban,Vehicle,Married,Average,1
APP100051,CUST10051,2025-10-26,64,173024.0,742.0,25,1962521,36,2,1,82154.0,550224,5,Male,Contract,Postgraduate,Rural,Business,Married,Good,0
APP100052,CUST10052,2025-03-03,28,71798.0,737.0,3,73466,60,1,0,43682.0,883050,3,Female,Contract,Graduate,Rural,Business,Married,Poor,1
APP100053,CUST10053,2024-02-16,55,116696.0,734.0,7,287626,48,0,1,29601.0,416121,4,Male,Self-Employed,Graduate,Rural,Business,Married,Poor,0
APP100054,CUST10054,2024-10-23,34,68939.0,693.0,18,1977553,36,0,0,37850.0,401314,1,Female,Salaried,Graduate,Urban,Business,Single,Average,0
APP100055,CUST10055,2023-07-10,37,47516.0,703.0,26,1608542,12,4,1,46132.0,32020,2,Female,Salaried,Graduate,Rural,Home,Single,Poor,1
APP100056,CUST10056,2025-02-24,56,159521.0,707.0,4,1673270,60,1,0,55150.0,455488,5,Male,Salaried,Postgraduate,Rural,Home,Single,Excellent,1
APP100057,CUST10057,2024-08-07,60,,641.0,12,446904,36,0,0,10804.0,127043,5,Male,Salaried,Graduate,Rural,Home,Married,Average,0
APP100058,CUST10058,2025-08-16,24,144688.0,801.0,15,1692148,72,1,1,57034.0,449555,4,Male,Business,Graduate,Rural,Home,Married,Good,0
APP100059,CUST10059,2024-05-14,22,104661.0,790.0,0,810006,84,0,0,50061.0,278129,4,Female,Salaried,Graduate,Urban,Personal,Married,Average,0
APP100060,CUST10060,2024-08-02,26,90954.0,750.0,12,951011,36,2,1,32419.0,144355,3,Male,Salaried,Graduate,Urban,Education,Married,Good,0
APP100061,CUST10061,2025-03-26,62,40746.0,658.0,30,1636529,72,0,0,28746.0,658388,0,Female,Salaried,Postgraduate,Urban,Business,Married,Good,1
APP100062,CUST10062,2025-12-22,24,85990.0,730.0,21,594929,60,1,0,83348.0,124635,0,Male,Salaried,Postgraduate,Urban,Personal,Single,Poor,0
APP100063,CUST10063,2025-02-18,49,76810.0,763.0,10,475716,36,4,0,72581.0,837755,0,Male,Salaried,Postgraduate,Rural,Home,Single,Excellent,0
APP100064,CUST10064,2025-07-31,38,136362.0,598.0,20,610085,72,1,2,30336.0,566996,3,Female,Salaried,Graduate,Semi-Urban,Business,Single,Average,1
APP100065,CUST10065,2023-09-22,46,164295.0,817.0,7,1838702,48,3,0,50952.0,861730,0,Male,Salaried,Graduate,Semi-Urban,Education,Married,Good,0
APP100066,CUST10066,2023-01-07,64,151669.0,560.0,24,1406670,24,1,0,52143.0,367201,4,Male,Salaried,High School,Urban,Business,Married,Good,0
APP100067,CUST10067,2024-11-25,54,20659.0,743.0,7,965986,60,2,0,,534342,1,Male,Salaried,High School,Urban,Vehicle,Single,Good,1
APP100068,CUST10068,2025-09-18,30,104516.0,799.0,23,1725203,72,5,2,39320.0,214884,1,Female,Salaried,High School,Urban,Vehicle,Married,Excellent,1
APP100069,CUST10069,2025-07-06,56,92567.0,682.0,27,1736295,12,2,0,41516.0,386724,1,Female,Self-Employed,Postgraduate,Semi-Urban,Personal,Married,Average,1
APP100070,CUST10070,2025-01-17,34,33037.0,679.0,13,1330851,36,2,0,64789.0,600605,0,Female,Salaried,High School,Semi-Urban,Education,Single,Poor,1
APP100071,CUST10071,2023-05-26,51,144498.0,740.0,12,452854,72,0,1,76114.0,854736,1,Female,Salaried,High School,Rural,Personal,Married,Average,0
APP100072,CUST10072,2023-08-29,35,30109.0,829.0,2,1906181,84,2,1,66240.0,283615,5,Male,Self-Employed,Graduate,Urban,Business,Single,Average,0
APP100073,CUST10073,2025-05-06,28,40010.0,669.0,3,718582,72,1,0,46798.0,219633,0,Male,Salaried,Graduate,Rural,Education,Married,Excellent,0
APP100074,CUST10074,2023-10-14,34,26787.0,631.0,30,231136,72,5,0,60920.0,106266,5,Male,Salaried,Postgraduate,Urban,Personal,Married,Good,1
APP100075,CUST10075,2025-08-09,43,157544.0,658.0,26,1266658,84,4,0,71473.0,731309,4,Female,Contract,High School,Semi-Urban,Business,Single,Good,1
APP100076,CUST10076,2023-01-26,60,172455.0,574.0,19,1351877,24,2,0,70326.0,916454,5,Male,Self-Employed,Postgraduate,Urban,Home,Married,Good,1
APP100077,CUST10077,2024-03-27,41,79709.0,757.0,14,592383,84,1,0,78131.0,733316,4,Female,Salaried,Graduate,Urban,Business,Single,Excellent,0
APP100078,CUST10078,2023-04-16,36,52518.0,651.0,14,1222130,84,0,0,5424.0,505262,3,Male,Business,Postgraduate,Rural,Personal,Single,Good,1
APP100079,CUST10079,2023-08-28,65,71909.0,674.0,29,444655,12,0,0,,507158,3,Female,Contract,Graduate,Rural,Education,Married,Good,0
APP100080,CUST10080,2023-11-28,38,36351.0,758.0,26,962046,84,4,0,8051.0,700038,5,Female,Salaried,Graduate,Urban,Education,Married,Excellent,0
APP100081,CUST10081,2025-06-30,44,33282.0,662.0,20,1857853,12,4,0,64481.0,714685,2,Male,Business,Graduate,Urban,Home,Single,Excellent,1
APP100082,CUST10082,2025-12-01,46,170850.0,747.0,12,528766,48,1,0,68872.0,817959,4,Female,Business,Graduate,Urban,Personal,Single,Excellent,0
APP100083,CUST10083,2024-10-06,45,173336.0,612.0,8,972879,84,4,0,82774.0,310394,0,Female,Salaried,Graduate,Urban,Home,Married,Average,1
APP100084,CUST10084,2023-02-04,65,23075.0,762.0,27,1711887,24,4,1,32786.0,124917,2,Male,Self-Employed,High School,Semi-Urban,Vehicle,Single,Good,1
APP100085,CUST10085,2025-05-25,61,46365.0,716.0,24,1730045,84,0,0,73230.0,803461,4,Female,Salaried,High School,Semi-Urban,Business,Single,Excellent,1
APP100086,CUST10086,2024-01-19,49,29002.0,683.0,9,272310,72,1,0,74131.0,46583,0,Female,Self-Employed,Postgraduate,Urban,Vehicle,Single,Average,1
APP100087,CUST10087,2025-03-21,35,31947.0,700.0,28,857032,60,5,0,6267.0,893493,4,Male,Self-Employed,Graduate,Urban,Vehicle,Married,Excellent,1
APP100088,CUST10088,2025-01-17,65,112840.0,593.0,11,1887474,24,4,0,70957.0,370244,4,Female,Salaried,Postgraduate,Urban,Home,Married,Good,1
APP100089,CUST10089,2025-08-16,21,134219.0,698.0,13,1879213,84,1,1,67645.0,499812,0,Female,Business,Graduate,Urban,Home,Single,Average,1
APP100090,CUST10090,2025-11-22,45,96610.0,679.0,0,549344,24,2,0,24650.0,467584,4,Female,Business,Graduate,Semi-Urban,Business,Married,Good,0
APP100091,CUST10091,2023-04-05,27,70142.0,596.0,13,1799033,12,0,0,12017.0,73147,4,Male,Contract,High School,Rural,Home,Single,Good,1
APP100092,CUST10092,2025-10-16,29,74307.0,640.0,13,946366,48,5,0,14849.0,668713,4,Male,Salaried,Postgraduate,Urban,Home,Married,Excellent,1
APP100093,CUST10093,2023-07-24,44,153565.0,,7,1676140,48,0,1,67453.0,457552,3,Male,Salaried,Graduate,Urban,Home,Single,Excellent,1
APP100094,CUST10094,2025-04-13,21,68085.0,644.0,15,1541909,24,0,0,54117.0,48042,1,Male,Business,High School,Urban,Home,Single,Good,0
APP100095,CUST10095,2023-01-30,64,52228.0,509.0,13,490187,24,3,0,62247.0,360269,4,Female,Salaried,Graduate,Urban,Home,Married,Excellent,1
APP100096,CUST10096,2023-09-23,28,61472.0,771.0,0,319072,84,1,0,49899.0,701356,0,Male,Salaried,High School,Urban,Vehicle,Single,Average,0
APP100097,CUST10097,2023-01-23,44,67437.0,679.0,15,1055520,36,2,0,46644.0,751317,5,Male,Business,Postgraduate,Rural,Vehicle,Single,Good,0
APP100098,CUST10098,2024-08-31,31,77711.0,519.0,17,1940317,72,4,0,72762.0,81604,4,Male,Salaried,High School,Rural,Business,Married,Good,1
APP100099,CUST10099,2023-02-08,37,155888.0,850.0,6,255719,12,2,0,9388.0,60918,3,Male,Salaried,Graduate,Urban,Education,Married,Good,0
APP100100,CUST10100,2023-06-22,28,95175.0,783.0,14,746248,72,1,0,72958.0,389369,3,Female,Salaried,High School,Urban,Business,Single,Average,0
APP100101,CUST10101,2025-01-29,55,82307.0,664.0,23,1848961,60,0,0,44994.0,780344,5,Female,Salaried,High School,Urban,Personal,Married,Good,0
APP100102,CUST10102,2024-02-18,55,64733.0,627.0,16,1797768,60,3,0,79805.0,598170,4,Male,Salaried,,Urban,Business,Married,Good,1
APP100103,CUST10103,2024-11-22,53,146202.0,720.0,30,166196,48,1,0,82713.0,566110,2,Female,Salaried,Graduate,Semi-Urban,Business,Married,Good,0
APP100104,CUST10104,2024-09-06,25,113028.0,705.0,18,1107980,12,5,0,82568.0,840192,5,Male,Salaried,Postgraduate,Semi-Urban,Home,Married,Good,1
APP100105,CUST10105,2023-07-28,62,,731.0,22,1525431,72,5,0,77852.0,9200,1,Male,Business,Graduate,Urban,Home,Married,Good,1
APP100106,CUST10106,2023-01-22,59,110493.0,627.0,12,1832054,48,1,0,7843.0,52259,0,Female,Salaried,Graduate,Rural,Home,Married,Good,1
APP100107,CUST10107,2023-01-05,61,143149.0,772.0,8,503814,60,4,1,33015.0,537815,0,Female,Self-Employed,Graduate,Semi-Urban,Education,Single,Good,0
APP100108,CUST10108,2024-10-12,48,26259.0,654.0,23,1736051,24,2,0,74647.0,524193,0,Female,Salaried,Postgraduate,Urban,Home,Married,Good,1
APP100109,CUST10109,2023-08-02,27,146775.0,741.0,23,946881,12,2,0,50231.0,510765,0,Female,Self-Employed,Graduate,Urban,Personal,Married,Excellent,1
APP100110,CUST10110,2025-07-08,29,32849.0,630.0,14,1650548,12,4,0,51546.0,801967,3,Female,Contract,Graduate,Urban,Vehicle,Single,Excellent,1
APP100111,CUST10111,2025-06-25,28,99768.0,850.0,24,1691455,72,3,0,56055.0,940448,1,Female,Self-Employed,Graduate,Semi-Urban,Personal,Single,Excellent,1
APP100112,CUST10112,2024-11-02,32,124108.0,742.0,25,1480541,84,0,0,54577.0,438506,4,Male,Self-Employed,Graduate,Semi-Urban,Education,Single,Good,1
APP100113,CUST10113,2024-10-28,54,107709.0,850.0,2,783082,36,0,0,40169.0,640765,4,Female,Salaried,Graduate,Rural,Home,Single,Average,0
APP100114,CUST10114,2025-03-10,53,72869.0,752.0,23,314826,72,5,0,46709.0,205772,2,Male,Salaried,Postgraduate,Rural,Business,Single,Good,0
APP100115,CUST10115,2023-11-13,43,144888.0,648.0,0,1209762,24,3,1,34415.0,493774,4,Male,Business,Postgraduate,Rural,Vehicle,Single,Poor,1
APP100116,CUST10116,2025-03-03,44,81095.0,752.0,15,817469,84,4,0,20685.0,279582,1,Male,Business,Graduate,Semi-Urban,Education,Single,Good,1
APP100117,CUST10117,2024-07-29,57,135886.0,758.0,7,1644696,84,1,0,20963.0,331488,4,Male,Salaried,Postgraduate,Semi-Urban,Personal,Married,Good,0
APP100118,CUST10118,2023-04-01,55,88910.0,718.0,28,1639861,84,2,1,34698.0,224712,3,Male,Contract,High School,Semi-Urban,Home,Married,Average,1
APP100119,CUST10119,2025-12-01,64,41567.0,737.0,22,1395360,24,1,0,67415.0,980509,5,Female,Salaried,Graduate,Urban,Education,Single,Good,1
APP100120,CUST10120,2025-01-30,60,53292.0,747.0,12,1568674,48,2,1,61400.0,125127,4,Female,Self-Employed,Graduate,Urban,Education,Married,Good,0
APP100121,CUST10121,2025-02-08,42,92813.0,615.0,30,1139067,12,1,0,60450.0,75388,0,Male,Salaried,Graduate,Urban,Business,Married,Good,1
APP100122,CUST10122,2023-01-01,47,115136.0,610.0,7,1161619,48,4,0,55711.0,257355,0,Male,Self-Employed,High School,Semi-Urban,Business,Married,Good,1
APP100123,CUST10123,2023-04-19,55,69631.0,630.0,16,948607,24,4,0,76571.0,863681,5,Female,Salaried,Graduate,Rural,Business,Married,Average,1
APP100124,CUST10124,2025-07-16,21,27885.0,700.0,21,1227144,36,3,2,77607.0,328227,0,Male,Contract,Postgraduate,Urban,Personal,Single,Good,1
APP100125,CUST10125,2025-12-23,55,84314.0,673.0,22,1474970,12,1,1,25578.0,729079,0,Female,Business,Graduate,Semi-Urban,Business,Married,Poor,1
APP100126,CUST10126,2023-07-25,57,83087.0,617.0,13,1695589,24,1,0,33842.0,822786,3,Female,Salaried,High School,Urban,Education,Married,Poor,1
APP100127,CUST10127,2025-04-29,34,178237.0,748.0,26,178131,36,3,0,21531.0,653653,3,Female,Self-Employed,High School,Rural,Education,Single,Good,0
APP100128,CUST10128,2024-08-12,23,113998.0,711.0,20,1144096,72,3,0,7170.0,996072,3,Male,Business,Graduate,Semi-Urban,Education,Single,Excellent,1
APP100129,CUST10129,2024-09-14,21,67812.0,703.0,29,375063,60,4,0,12297.0,215883,4,Male,Salaried,High School,Rural,Vehicle,Married,Excellent,1
APP100130,CUST10130,2025-08-22,25,76643.0,671.0,20,684157,84,4,1,9163.0,154865,5,Male,Salaried,Postgraduate,Urban,Vehicle,Single,Excellent,1
APP100131,CUST10131,2025-08-22,46,62900.0,662.0,6,638730,24,5,0,45794.0,435282,0,Male,Salaried,Graduate,Rural,Personal,Married,Excellent,1
APP100132,CUST10132,2024-10-14,34,156923.0,627.0,30,1883889,60,1,0,46787.0,220526,2,Male,Salaried,Graduate,Urban,Business,Married,Good,1
APP100133,CUST10133,2023-03-20,59,34288.0,760.0,26,1251418,48,4,2,62219.0,76135,5,Male,Self-Employed,Postgraduate,Semi-Urban,Education,Married,Excellent,1
APP100134,CUST10134,2024-02-19,47,90692.0,637.0,14,417390,60,4,2,29448.0,955275,2,Male,Salaried,High School,Urban,Business,Single,Good,1
APP100135,CUST10135,2024-09-30,29,156440.0,706.0,15,1801434,24,1,0,74152.0,673800,0,Male,Salaried,Graduate,Semi-Urban,Education,Married,Excellent,1
APP100136,CUST10136,2025-03-01,35,103436.0,815.0,18,1470407,60,3,0,61437.0,802721,1,Female,Salaried,High School,Rural,Vehicle,Single,Good,1
APP100137,CUST10137,2025-11-27,35,64403.0,665.0,5,572485,84,1,3,33299.0,376488,5,Male,Contract,High School,Semi-Urban,Education,Single,Excellent,1
APP100138,CUST10138,2023-11-29,46,,762.0,22,697735,12,0,0,46119.0,640856,4,Female,Business,High School,Semi-Urban,Personal,Married,Average,0
APP100139,CUST10139,2023-10-15,62,27168.0,733.0,0,1684341,24,1,0,82093.0,316322,2,Female,Self-Employed,Postgraduate,Urban,Home,Single,Average,1
APP100140,CUST10140,2025-12-08,33,67879.0,713.0,11,574532,36,0,0,43648.0,206769,5,Female,Salaried,Graduate,Urban,Education,Married,Good,0
APP100141,CUST10141,2023-06-10,52,77871.0,722.0,17,1000292,60,1,1,19096.0,71500,5,Male,Salaried,High School,Urban,Personal,Married,Average,0
APP100142,CUST10142,2023-11-16,59,50174.0,683.0,15,1062845,12,0,0,79279.0,479694,3,Male,Salaried,Graduate,Urban,Vehicle,Single,Excellent,1
APP100143,CUST10143,2025-07-12,52,155653.0,693.0,11,1964461,84,0,0,12391.0,384928,1,Male,Business,High School,Rural,Vehicle,Married,Average,1
APP100144,CUST10144,2023-12-30,24,128155.0,649.0,19,500953,48,1,0,79891.0,840655,3,Female,Salaried,High School,Rural,Home,Married,Good,1
APP100145,CUST10145,2024-04-19,50,89853.0,693.0,12,1276137,48,5,1,67830.0,436585,1,Male,Salaried,Postgraduate,Rural,Business,Married,Good,1
APP100146,CUST10146,2025-10-19,57,82046.0,646.0,7,964394,84,4,0,75783.0,674544,1,Male,Business,High School,Urban,Business,Married,Excellent,1
APP100147,CUST10147,2025-02-04,43,67678.0,765.0,26,907735,60,2,1,45286.0,597771,4,Female,Salaried,Postgraduate,Semi-Urban,Education,Married,Excellent,1
APP100148,CUST10148,2024-08-24,59,44649.0,563.0,28,1389110,48,4,0,76826.0,244883,5,Male,Business,Graduate,Semi-Urban,Vehicle,Married,Average,1
APP100149,CUST10149,2023-11-08,65,145795.0,726.0,29,584535,36,0,1,42595.0,469990,3,Female,Business,High School,Semi-Urban,Personal,Married,Good,0
APP100150,CUST10150,2024-08-11,35,106668.0,715.0,25,1298699,24,1,1,67740.0,386322,3,Female,Salaried,Graduate,Urban,Home,Married,Excellent,1
APP100151,CUST10151,2023-12-09,63,163639.0,708.0,21,1813655,12,1,1,55929.0,673516,2,Female,Contract,Graduate,Rural,Business,Married,Good,1
APP100152,CUST10152,2025-06-24,49,107906.0,767.0,0,1526470,72,1,2,37827.0,400627,5,Male,Salaried,Graduate,Urban,Education,Married,Excellent,1
APP100153,CUST10153,2023-06-21,56,114019.0,669.0,25,1090673,60,1,0,31209.0,282818,0,Female,Contract,Graduate,Urban,Education,Single,Excellent,1
APP100154,CUST10154,2024-09-17,33,96002.0,709.0,20,531018,48,5,0,85752.0,930812,0,Female,Salaried,Postgraduate,Rural,Vehicle,Single,Average,1
APP100155,CUST10155,2025-10-29,52,46803.0,561.0,6,1305934,24,2,1,78396.0,637995,2,Male,Business,Postgraduate,Rural,Personal,Married,Good,1
APP100156,CUST10156,2024-11-12,27,167302.0,,14,866015,72,3,1,83961.0,73460,1,Female,Self-Employed,Graduate,Semi-Urban,Personal,Single,Good,0
APP100157,CUST10157,2023-11-07,42,166934.0,754.0,28,566456,36,0,0,18806.0,529864,2,Male,Salaried,Postgraduate,Urban,Business,Married,Poor,0
APP100158,CUST10158,2025-07-02,48,48795.0,590.0,21,1237724,48,2,0,30406.0,150713,2,Male,Self-Employed,High School,Urban,Education,Married,Good,1
APP100159,CUST10159,2024-03-05,22,26770.0,702.0,12,985510,48,4,0,39360.0,997003,3,Female,Contract,High School,Urban,Vehicle,Single,Good,1
APP100160,CUST10160,2025-05-07,62,29093.0,639.0,12,1244699,12,3,0,85000.0,225899,2,Male,Contract,Postgraduate,Rural,Personal,Married,Good,1
APP100161,CUST10161,2023-10-12,65,149265.0,682.0,27,447530,36,3,0,43865.0,889696,1,Male,Self-Employed,Graduate,Urban,Education,Single,Good,1
APP100162,CUST10162,2024-05-09,26,118311.0,644.0,8,602958,36,1,1,11458.0,318051,0,Male,Self-Employed,Graduate,Rural,Personal,Married,Good,0
APP100163,CUST10163,2023-12-21,48,35569.0,596.0,23,1592549,60,2,0,14151.0,439355,4,Male,Salaried,Graduate,Rural,Home,Single,Excellent,1
APP100164,CUST10164,2023-08-02,48,29190.0,719.0,14,1035055,72,4,0,59869.0,613613,5,Female,Business,Graduate,Rural,Personal,Married,Good,1
APP100165,CUST10165,2025-03-27,64,80824.0,686.0,3,1108812,12,1,0,77024.0,831083,2,Male,Self-Employed,High School,Urban,Personal,Married,Average,0
APP100166,CUST10166,2023-07-19,64,60070.0,736.0,12,85568,60,1,0,29541.0,717675,5,Male,Business,Graduate,Urban,Education,Married,Good,1
APP100167,CUST10167,2025-05-02,40,58197.0,750.0,26,1730191,12,5,0,26803.0,98435,2,Male,Self-Employed,Postgraduate,Semi-Urban,Personal,Single,Average,1
APP100168,CUST10168,2023-05-16,50,20261.0,782.0,11,305745,36,0,0,48183.0,413874,5,Male,Salaried,High School,Rural,Personal,Married,Good,1
