Employee_ID,Age,Monthly_Income,Years_At_Company,Job_Satisfaction,Performance_Rating,Working_Hours,Training_Hours,Projects_Completed,Overtime_Hours,Distance_From_Home_KM,Leave_Days,Department,Job_Level,Education_Level,Employment_Type,Work_Mode,Gender,Joining_Date,Attrition
10031,31.0,22200.0,0.3,3.0,4,42.4,38.8,3,7.7,3.6,12.4,IT,Senior,Bachelor,Full-Time,Office,Female,2021-07-29,0
10032,51.0,46100.0,0.2,1.0,1,44.7,64.7,7,18.3,3.7,14.2,Operations,Mid,High School,Full-Time,Office,Male,2019-03-03,0
10033,36.0,71900.0,3.0,4.0,2,44.4,32.3,2,13.0,8.3,16.1,Marketing,Junior,High School,Full-Time,Hybrid,Male,2022-09-04,0
10034,28.0,40500.0,2.0,3.0,5,44.6,36.2,4,7.0,4.1,13.0,Operations,Senior,Master,Full-Time,Hybrid,Female,2021-08-09,0
10035,43.0,61400.0,2.9,1.0,2,41.3,16.6,3,0.0,23.0,10.7,Sales,Junior,High School,Full-Time,Hybrid,Male,2016-12-23,0
10036,26.0,71700.0,1.5,2.0,3,37.2,26.6,5,7.9,13.0,22.4,Operations,Senior,High School,Full-Time,Hybrid,Male,2024-03-21,0
10037,38.0,52300.0,0.9,5.0,4,42.9,31.7,5,4.8,13.9,11.8,Sales,Junior,High School,Part-Time,Office,Female,2015-06-17,0
10038,21.0,64200.0,5.8,1.0,5,51.3,30.1,5,8.1,6.5,18.7,Operations,Senior,Master,Full-Time,Office,Female,2021-02-04,0
10039,25.0,40800.0,3.6,1.0,5,41.0,20.6,1,4.2,6.6,9.2,Operations,Senior,Bachelor,Full-Time,Hybrid,Male,2024-01-18,0
10040,38.0,55200.0,1.1,2.0,1,40.9,23.6,4,10.3,10.9,7.8,Sales,Junior,High School,Full-Time,Office,Female,2021-09-06,0
10041,42.0,76600.0,1.9,4.0,1,44.8,30.7,6,5.3,1.2,16.9,Operations,Lead,Diploma,Full-Time,Hybrid,Female,2016-10-14,0
10042,37.0,63900.0,4.5,2.0,1,38.1,52.8,7,16.6,5.8,10.7,Marketing,Junior,Master,Full-Time,Office,Male,2021-04-23,0
10043,35.0,47500.0,0.4,1.0,2,49.0,12.6,5,11.7,2.2,2.3,IT,Junior,Bachelor,Full-Time,Hybrid,Male,2021-07-07,0
10044,34.0,65600.0,0.8,4.0,4,38.6,5.0,2,5.2,9.4,11.0,Finance,Senior,High School,Full-Time,Hybrid,Male,2020-12-25,0
10045,24.0,79900.0,0.4,3.0,2,42.6,8.6,1,8.1,3.6,14.5,Operations,Senior,Master,Full-Time,Hybrid,Female,2018-12-05,0
10046,30.0,26400.0,8.4,1.0,4,56.7,22.3,1,11.1,7.4,8.5,IT,Junior,Bachelor,Full-Time,Remote,Male,2024-07-06,0
10047,32.0,95400.0,7.0,2.0,5,38.3,44.6,0,0.0,4.3,7.9,HR,Lead,Bachelor,Contract,Office,Female,2020-03-10,0
10048,44.0,52400.0,7.0,3.0,2,51.4,29.7,3,10.8,21.7,13.0,HR,Senior,Diploma,Contract,Office,Female,2018-06-01,1
10049,39.0,71100.0,6.3,5.0,2,44.6,29.5,2,0.0,38.9,6.3,Finance,Junior,High School,Full-Time,Remote,Female,2023-06-21,0
10050,22.0,96900.0,5.5,3.0,2,45.3,29.1,3,17.2,15.2,13.5,Operations,Senior,Diploma,Full-Time,Hybrid,Female,2019-06-13,0
10051,39.0,34700.0,3.2,2.0,3,40.0,6.8,4,5.8,15.8,17.2,Operations,Mid,Master,Part-Time,Hybrid,Male,2015-09-29,0
10052,33.0,45200.0,5.1,3.0,4,48.0,47.9,4,14.3,7.8,18.5,Sales,Junior,,Full-Time,Office,Male,2022-06-09,0
10053,31.0,53500.0,0.2,2.0,4,42.2,54.7,5,1.1,5.2,8.7,Finance,Senior,Master,Full-Time,Hybrid,Female,2023-11-04,0
10054,41.0,43900.0,4.9,1.0,2,38.3,30.0,7,11.4,2.1,20.9,Marketing,Senior,Master,Full-Time,Office,Female,2024-06-28,0
10055,44.0,120100.0,7.5,4.0,3,51.3,36.3,2,1.0,9.1,14.9,Operations,Mid,High School,Full-Time,Remote,Female,2017-04-04,0
10056,43.0,42600.0,3.5,5.0,2,42.1,36.8,3,6.2,6.5,8.6,Sales,Senior,Bachelor,Contract,Office,Female,2017-12-24,0
10057,29.0,48000.0,2.2,4.0,4,34.7,19.0,5,13.8,9.4,9.9,,Senior,Master,Part-Time,Office,Female,2023-06-05,0
10058,34.0,65100.0,1.6,4.0,5,42.7,28.4,5,11.7,4.9,8.5,Finance,Junior,Master,Full-Time,Office,Male,2015-04-01,0
10059,39.0,37100.0,5.1,4.0,3,48.0,61.8,2,11.4,2.8,1.7,Marketing,Senior,High School,Full-Time,Hybrid,Male,2024-10-02,0
10060,44.0,51200.0,5.9,2.0,3,47.2,34.9,6,5.9,3.6,19.1,Marketing,Mid,Bachelor,Full-Time,Remote,Female,2021-05-27,0
10061,32.0,68100.0,10.2,2.0,2,40.8,38.4,7,1.7,23.4,13.1,IT,Mid,Diploma,Part-Time,Office,Male,2023-09-24,0
10062,35.0,52500.0,2.1,5.0,5,39.1,24.6,3,12.7,31.0,15.2,HR,Lead,High School,Full-Time,Office,Female,2018-06-02,0
10063,27.0,57800.0,7.3,2.0,4,37.2,28.6,5,2.5,2.7,12.5,Finance,Senior,,Full-Time,Hybrid,Male,2015-11-11,0
10064,26.0,48600.0,4.1,2.0,1,43.9,44.7,5,4.3,5.0,4.4,IT,Mid,High School,Full-Time,Hybrid,Male,2021-08-28,0
10065,,32700.0,10.7,2.0,4,44.8,22.4,1,16.6,2.4,13.7,Sales,Mid,Diploma,Full-Time,Remote,Female,2016-06-09,1
10066,47.0,68200.0,3.8,2.0,4,47.5,59.3,3,11.5,8.4,16.8,Sales,Mid,Diploma,Contract,Office,Male,2017-07-27,0
10067,35.0,121100.0,3.6,1.0,5,43.3,10.8,5,0.0,8.5,16.7,HR,Junior,Master,Contract,Hybrid,Male,2019-09-06,0
10068,44.0,60400.0,4.3,5.0,3,43.1,25.5,7,7.9,7.4,17.5,Sales,Senior,Bachelor,Full-Time,Office,Female,2023-01-13,0
10069,39.0,65700.0,6.9,2.0,4,42.6,12.8,4,7.1,5.6,12.3,HR,Senior,Diploma,Full-Time,Office,Male,2022-06-02,0
10070,31.0,79200.0,16.7,5.0,3,44.8,54.9,0,5.8,9.5,0.2,Sales,Senior,High School,Full-Time,Office,Female,2021-02-13,0
10071,39.0,36100.0,0.4,3.0,5,43.3,34.5,5,5.9,12.6,15.4,Sales,Mid,Bachelor,Full-Time,Remote,Female,2021-12-12,0
10072,48.0,118600.0,0.3,1.0,5,48.7,30.7,6,15.9,13.0,12.4,Finance,Junior,Diploma,Full-Time,Hybrid,Female,2020-11-02,0
10073,36.0,65100.0,13.9,2.0,2,45.6,41.0,4,20.0,18.8,22.0,Marketing,Senior,High School,Full-Time,Office,Male,2018-11-10,1
10074,49.0,115200.0,3.8,1.0,1,44.5,56.0,6,7.7,6.3,21.5,Finance,Mid,High School,Full-Time,Remote,Female,2020-12-07,0
10075,21.0,44800.0,4.8,1.0,5,43.8,38.2,3,9.0,5.3,17.5,IT,Junior,Master,Full-Time,Office,Female,2021-06-30,0
10076,43.0,124200.0,3.3,3.0,5,39.3,52.1,4,0.0,15.6,5.1,Marketing,Lead,Master,Full-Time,Office,Female,2023-10-20,0
10077,37.0,81800.0,0.5,5.0,3,44.0,30.6,1,18.2,5.4,6.5,Finance,Senior,High School,Full-Time,Hybrid,Female,2018-08-22,0
10078,34.0,74900.0,7.3,1.0,5,40.8,20.6,3,4.0,6.9,14.6,Marketing,Mid,Master,Full-Time,Remote,Female,2022-08-31,0
10079,37.0,65900.0,6.9,4.0,4,45.7,38.5,6,5.5,5.5,6.2,Marketing,Junior,Master,Full-Time,Hybrid,Male,2019-10-14,0
10080,21.0,54300.0,1.9,3.0,2,43.0,24.5,3,12.7,26.3,16.4,Marketing,Junior,Diploma,Full-Time,Hybrid,Female,2021-11-26,1
10081,34.0,97000.0,1.8,4.0,2,52.3,45.3,4,9.7,12.0,16.6,Sales,Mid,Bachelor,Full-Time,Remote,Female,2016-12-03,0
10082,39.0,63500.0,9.1,3.0,4,37.7,28.9,2,11.3,3.6,19.8,,Mid,Diploma,Full-Time,Office,Male,2020-06-30,0
10083,48.0,27300.0,0.4,4.0,5,30.0,33.7,6,12.1,8.0,17.5,Sales,Senior,Bachelor,Part-Time,Office,Male,2017-07-19,0
10084,32.0,38400.0,10.6,4.0,1,45.3,5.0,10,8.0,10.6,10.1,Operations,Senior,Diploma,Full-Time,Office,Female,2017-10-14,0
10085,30.0,55700.0,1.5,1.0,5,40.8,33.1,6,13.3,3.6,11.7,Marketing,Mid,High School,Full-Time,Hybrid,Female,2017-05-05,0
10086,32.0,67900.0,4.5,1.0,2,44.8,31.4,1,0.0,10.3,7.8,Sales,Senior,Master,Full-Time,Hybrid,Male,2015-01-26,0
10087,43.0,58700.0,13.7,3.0,1,37.8,52.4,7,17.8,7.2,13.3,Marketing,Senior,Diploma,Full-Time,Office,Female,2020-03-11,0
10088,39.0,97700.0,5.7,5.0,3,53.5,48.1,6,6.9,3.4,1.1,IT,Senior,Bachelor,Full-Time,Hybrid,Male,2022-05-08,0
10089,32.0,27500.0,2.7,1.0,3,42.1,35.4,2,13.2,3.1,10.5,Finance,Lead,Master,Full-Time,Hybrid,Male,2024-01-27,0
10090,40.0,63500.0,5.8,1.0,5,40.5,10.5,4,11.0,20.9,15.5,Operations,Senior,Master,Full-Time,Hybrid,Female,2024-05-06,0
10091,37.0,29000.0,2.1,2.0,5,53.5,28.4,9,0.0,4.4,15.1,Marketing,Junior,Diploma,Contract,Hybrid,Male,2019-12-24,0
10092,44.0,81300.0,1.6,1.0,1,48.2,52.5,1,9.3,16.2,16.3,IT,Lead,Master,Full-Time,Office,Female,2015-10-02,1
10093,30.0,57800.0,28.5,5.0,1,50.9,32.0,4,0.0,12.7,6.7,Finance,Junior,Bachelor,Full-Time,Hybrid,Male,2024-11-29,0
10094,33.0,71000.0,6.9,2.0,5,43.1,19.0,4,11.0,5.2,5.6,HR,Lead,Diploma,Full-Time,Office,Female,2024-01-06,0
10095,33.0,42500.0,5.2,4.0,2,44.2,52.3,3,9.3,11.3,15.0,Operations,Senior,Bachelor,Full-Time,Hybrid,Male,2017-07-24,0
10096,24.0,100100.0,2.2,4.0,3,41.0,10.6,5,0.3,10.1,7.2,Operations,Mid,High School,Full-Time,Hybrid,Male,2022-11-18,0
10097,38.0,91000.0,0.3,2.0,1,40.4,33.3,2,9.1,15.1,6.1,Marketing,Mid,High School,Full-Time,Hybrid,Male,2022-10-25,0
10098,38.0,75800.0,0.2,2.0,2,46.0,43.4,3,5.1,9.0,13.1,HR,Junior,Master,Full-Time,Office,Male,2023-10-05,0
10099,36.0,57000.0,4.0,2.0,5,42.2,36.9,1,7.0,6.3,11.9,Finance,Junior,Master,Full-Time,Hybrid,Male,2022-04-20,0
10100,34.0,75700.0,7.2,3.0,4,55.1,16.4,7,0.0,20.2,23.9,Finance,Senior,Bachelor,Contract,Remote,Male,2017-06-26,0
10101,25.0,45200.0,3.9,5.0,1,48.2,21.1,10,0.6,13.3,13.9,Marketing,Mid,High School,Full-Time,Hybrid,Male,2023-03-07,0
10102,33.0,84500.0,9.2,5.0,4,53.4,24.5,3,3.3,5.1,12.9,IT,Mid,Bachelor,Full-Time,Remote,Male,2017-04-27,1
10103,33.0,116100.0,0.2,4.0,2,32.9,46.8,2,1.2,7.1,9.2,Marketing,Lead,Master,Full-Time,Office,Male,2016-03-07,0
10104,30.0,92100.0,2.3,4.0,3,53.5,37.6,4,4.8,19.9,16.1,IT,Junior,Bachelor,Full-Time,Office,Male,2020-02-14,0
10105,35.0,44800.0,1.4,4.0,2,32.1,29.2,8,4.0,22.8,11.8,Marketing,Senior,Master,Full-Time,Hybrid,Male,2022-06-13,0
10106,39.0,69300.0,3.0,1.0,3,37.7,41.1,3,9.8,7.1,9.4,IT,Mid,High School,Contract,Hybrid,Male,2021-11-15,0
10107,51.0,35800.0,0.4,4.0,2,35.2,23.7,7,0.0,11.3,11.0,Sales,Junior,Diploma,Full-Time,Office,Female,2019-12-29,0
10108,37.0,75400.0,15.4,2.0,1,45.2,46.1,10,20.0,10.3,10.3,IT,Senior,Bachelor,Part-Time,Office,Female,2020-04-25,0
10109,38.0,71900.0,1.3,4.0,1,43.9,41.8,3,4.3,3.7,11.6,IT,Senior,Master,Full-Time,Hybrid,Male,2015-09-13,0
10110,35.0,28400.0,12.8,2.0,4,48.0,31.6,6,6.2,11.4,23.3,Finance,Junior,Diploma,Contract,Hybrid,Male,2018-06-19,0
10111,21.0,37700.0,2.8,3.0,2,43.6,32.6,4,11.6,1.8,15.2,HR,Mid,Diploma,Full-Time,Office,Female,2023-09-27,0
10112,36.0,53600.0,21.2,1.0,2,50.1,29.9,2,18.4,15.1,11.1,Marketing,Senior,High School,Full-Time,Remote,Male,2023-06-05,0
10113,36.0,53200.0,4.0,1.0,4,39.3,49.9,4,4.5,11.5,11.7,Finance,Junior,Master,Full-Time,Hybrid,Male,2020-05-03,0
10114,56.0,37000.0,13.4,5.0,5,50.2,38.2,2,12.1,1.0,5.0,HR,Mid,Bachelor,Full-Time,Hybrid,Male,2022-12-30,0
10115,34.0,70100.0,0.2,3.0,2,43.8,31.8,2,4.0,4.1,3.0,Finance,Senior,Diploma,Full-Time,Remote,Female,2019-07-16,0
10116,38.0,66300.0,6.9,2.0,2,55.8,20.4,6,13.6,2.3,15.7,Operations,Senior,Master,Full-Time,Office,Male,2016-10-18,1
10117,36.0,55500.0,11.7,3.0,2,48.4,43.8,6,12.2,3.9,15.6,Finance,Senior,Master,Full-Time,Hybrid,Female,2021-12-26,0
10118,27.0,44300.0,0.8,1.0,5,42.5,43.1,3,1.6,8.8,14.0,Marketing,Mid,Diploma,Full-Time,Hybrid,Male,2019-02-24,0
10119,45.0,91300.0,0.5,2.0,1,43.8,27.1,2,11.5,27.1,19.4,Operations,Mid,High School,Full-Time,Office,Female,2022-09-18,1
10120,42.0,116300.0,2.8,3.0,4,39.0,28.7,5,0.0,11.5,13.1,Sales,Senior,Master,Full-Time,Hybrid,Female,2022-03-24,0
10121,42.0,49400.0,13.6,1.0,5,45.8,33.2,3,3.6,6.1,16.1,Finance,Junior,High School,Full-Time,Remote,Male,2015-04-21,0
10122,29.0,47000.0,3.9,2.0,3,42.5,17.7,4,0.0,13.2,11.6,Marketing,Mid,Diploma,Full-Time,Office,Female,2022-09-11,0
10123,47.0,73000.0,3.7,2.0,3,47.6,36.1,4,8.0,12.3,0.0,IT,Senior,Diploma,Full-Time,Office,Female,2018-07-15,0
10124,25.0,52000.0,0.8,1.0,5,37.3,10.3,5,14.0,22.0,17.8,HR,Senior,High School,Full-Time,Office,Male,2020-07-23,0
10125,41.0,56700.0,0.2,2.0,5,42.4,15.8,2,0.5,14.4,7.2,Marketing,Junior,High School,Full-Time,Hybrid,Female,2023-01-03,0
10126,54.0,80700.0,8.3,1.0,1,38.2,27.4,4,10.4,8.0,13.3,Sales,Mid,High School,Contract,Office,Male,2024-06-29,0
10127,28.0,28000.0,0.5,4.0,3,38.5,25.6,4,6.5,2.8,8.5,Marketing,Mid,Bachelor,Full-Time,Office,Male,2024-12-13,0
10128,31.0,101700.0,5.0,4.0,4,47.0,41.8,5,1.8,20.6,13.3,Marketing,Senior,High School,Full-Time,Remote,Female,2015-02-17,0
10129,37.0,61800.0,12.3,2.0,2,49.6,39.2,2,5.5,7.3,20.3,IT,Senior,High School,Full-Time,Hybrid,Female,2022-07-31,0
10130,32.0,50900.0,1.2,2.0,2,32.3,55.6,3,11.5,4.3,15.0,HR,Junior,High School,Part-Time,Office,Female,2019-02-22,0
10131,24.0,57900.0,5.5,1.0,1,53.3,36.4,7,13.6,2.0,16.1,Operations,Junior,Bachelor,Full-Time,Remote,Female,2018-02-02,1
10132,37.0,59100.0,0.4,2.0,1,51.0,38.1,4,9.8,3.6,11.1,HR,Senior,Master,Full-Time,Hybrid,Male,2015-03-11,0
10133,28.0,30000.0,4.6,5.0,3,37.3,17.6,7,7.8,10.6,10.6,Sales,Lead,Bachelor,Full-Time,Office,Male,2021-08-05,0
10134,40.0,109100.0,0.9,4.0,4,48.1,17.6,5,8.1,6.1,10.5,Operations,Senior,Master,Contract,Hybrid,Male,2017-05-07,0
10135,29.0,61000.0,6.7,2.0,4,41.7,36.0,6,3.6,16.0,15.8,Operations,Mid,High School,Contract,Hybrid,Female,2015-01-01,0
10136,48.0,71600.0,1.8,2.0,5,43.5,36.2,4,8.6,24.9,12.1,HR,Lead,High School,Full-Time,Hybrid,Female,2022-11-01,0
10137,30.0,87800.0,3.1,3.0,1,47.0,,5,0.0,1.8,15.5,IT,Mid,Bachelor,Full-Time,Office,Female,2019-05-18,1
10138,33.0,39900.0,4.6,2.0,2,46.4,54.0,6,7.3,3.9,11.1,Sales,Mid,Bachelor,Contract,Office,Female,2017-09-26,0
10139,43.0,72500.0,0.9,5.0,2,41.1,18.2,5,18.2,8.8,17.1,IT,Junior,Diploma,Full-Time,Office,Male,2023-07-28,0
10140,26.0,53900.0,6.8,4.0,3,41.1,60.3,3,5.4,22.5,15.5,IT,Lead,Bachelor,Full-Time,Office,Female,2017-03-25,0
10141,38.0,84200.0,1.8,3.0,2,41.4,12.6,4,14.7,4.5,12.6,Operations,Mid,Bachelor,Full-Time,Hybrid,Male,2022-10-02,1
10142,46.0,25600.0,5.4,1.0,4,49.7,40.6,5,12.0,9.4,15.4,Marketing,Mid,High School,Full-Time,Hybrid,Male,2017-12-05,0
10143,23.0,57700.0,0.9,1.0,4,34.7,16.3,5,16.6,3.7,17.2,Marketing,Junior,High School,Full-Time,Office,Female,2015-03-21,0
10144,37.0,47100.0,5.8,4.0,1,43.2,45.9,3,0.0,7.5,21.3,Marketing,Mid,High School,Full-Time,Remote,Female,2021-10-06,0
10145,38.0,71300.0,0.7,1.0,3,51.9,12.7,3,9.1,8.8,8.5,Operations,Junior,Bachelor,Full-Time,Hybrid,Male,2016-04-21,1
10146,42.0,72400.0,2.8,5.0,2,47.5,5.0,1,11.5,6.4,16.4,Finance,Mid,Diploma,Part-Time,Hybrid,Female,2019-05-05,1
10147,26.0,45200.0,1.4,2.0,1,49.3,37.2,2,12.8,25.2,15.4,IT,Lead,High School,Part-Time,Remote,Female,2024-03-30,1
10148,25.0,45100.0,6.9,4.0,5,43.3,33.1,2,15.2,18.4,16.6,HR,Junior,Diploma,Full-Time,Remote,Female,2018-12-04,0
10149,40.0,,1.5,3.0,5,38.2,51.6,5,12.2,6.4,9.7,Sales,Mid,Diploma,Full-Time,Office,Female,2020-07-06,0
10150,38.0,41900.0,10.7,2.0,2,44.3,36.2,8,9.4,6.7,12.5,Finance,Junior,Bachelor,Full-Time,Hybrid,Male,2018-12-11,0
10151,38.0,84000.0,11.1,1.0,2,40.6,23.8,7,2.2,14.0,9.7,Marketing,Senior,Bachelor,Full-Time,Hybrid,Female,2015-12-29,0
10152,39.0,51800.0,1.1,1.0,2,55.2,26.9,3,0.0,8.3,13.8,Operations,Mid,High School,Full-Time,Office,Male,2018-07-23,0
10153,31.0,20000.0,4.8,3.0,4,43.2,83.2,4,16.0,8.1,7.7,Finance,Junior,Master,Full-Time,Office,Male,2018-06-06,0
10154,38.0,51600.0,0.5,5.0,2,47.2,21.9,5,4.4,4.9,18.8,Operations,Senior,Bachelor,Full-Time,Office,Female,2024-06-08,0
10155,38.0,39600.0,2.5,3.0,5,52.5,42.9,3,5.9,12.2,12.7,Finance,Senior,Diploma,Full-Time,Office,Female,2015-11-29,1
10156,30.0,31200.0,6.2,4.0,2,38.5,41.0,3,13.4,5.1,20.6,IT,Lead,Bachelor,Part-Time,Remote,Female,2016-08-06,0
10157,51.0,36600.0,5.4,3.0,3,32.6,43.2,5,7.9,5.1,8.7,IT,Junior,Bachelor,Contract,Hybrid,Female,2021-12-02,0
10158,40.0,62700.0,4.9,1.0,5,46.5,42.0,8,1.1,9.8,13.0,Operations,Mid,Diploma,Full-Time,Office,Female,2024-09-07,0
10159,26.0,102100.0,1.7,5.0,3,47.4,31.0,3,0.0,8.8,12.5,HR,Lead,Bachelor,Full-Time,Hybrid,Male,2023-05-11,0
10160,41.0,68000.0,2.4,5.0,5,41.9,8.6,8,5.8,8.2,15.3,Sales,Senior,Bachelor,Full-Time,Office,Female,2016-11-11,0
10161,28.0,47100.0,0.5,3.0,1,38.2,37.3,2,8.6,2.2,15.8,Sales,Senior,High School,Full-Time,Office,Male,2018-11-06,0
10162,42.0,72000.0,6.3,4.0,5,45.5,34.8,2,12.8,9.5,5.3,Marketing,Mid,Diploma,Contract,Office,Female,2021-05-03,0
10163,45.0,49900.0,3.5,1.0,5,43.9,36.9,6,7.3,2.0,17.9,HR,Senior,Master,Full-Time,Office,Male,2019-05-10,0
10164,29.0,45400.0,6.2,2.0,3,45.6,43.5,1,8.1,16.4,16.5,Sales,Senior,Master,Part-Time,Office,Male,2024-01-15,0
10165,44.0,37800.0,1.4,5.0,3,38.3,28.8,3,0.1,5.4,4.5,Finance,Junior,Master,Full-Time,Hybrid,Male,2017-09-29,0
10166,39.0,29800.0,2.0,3.0,5,45.6,25.7,5,14.2,8.9,19.2,Finance,Senior,Bachelor,Full-Time,Office,Male,2016-07-12,0
10167,43.0,51300.0,2.0,4.0,5,48.1,48.5,5,26.1,5.3,5.7,Sales,Senior,Diploma,Full-Time,Hybrid,Male,2023-01-21,0
10168,51.0,63900.0,0.2,4.0,4,36.5,30.1,3,15.8,9.9,13.4,Finance,Junior,Master,Full-Time,Office,Female,2015-03-19,0
10169,34.0,57700.0,2.1,1.0,1,51.3,27.6,4,15.3,3.4,10.5,Operations,Junior,Bachelor,Full-Time,Hybrid,Female,2022-12-29,1
10170,30.0,50800.0,8.1,5.0,1,45.3,26.3,3,10.1,29.2,11.1,Finance,Mid,Master,Full-Time,Remote,Female,2017-03-28,0
10171,29.0,41100.0,11.4,1.0,2,48.3,43.9,2,1.7,4.9,10.3,Operations,Senior,High School,Full-Time,Office,Female,2017-05-14,0
10172,29.0,76500.0,3.7,2.0,5,37.6,31.9,2,2.8,14.8,14.6,Marketing,Senior,Bachelor,Full-Time,Hybrid,Male,2020-03-23,0
10173,35.0,35400.0,3.0,2.0,5,47.4,68.2,3,12.0,3.7,7.6,Finance,Senior,Master,Full-Time,Hybrid,Male,2015-12-27,0
10174,39.0,81800.0,0.2,2.0,5,35.8,35.9,6,13.3,6.1,16.7,Operations,Senior,Bachelor,Contract,Office,Female,2019-12-20,0
10175,38.0,40200.0,10.6,4.0,5,39.3,16.9,3,2.4,4.7,14.7,Sales,Mid,Diploma,Full-Time,Office,Female,2015-03-02,0
