Customer_ID,Age,Gender,City,Membership_Type,Device_Type,Payment_Method,Preferred_Category,Registration_Date,Last_Purchase_Date,Order_Count,Average_Order_Value,Total_Spending,Discount_Percent,Return_Count,Review_Rating,Support_Tickets,Website_Visits,App_Sessions,Email_Opt_In,Coupon_Usage,Delivery_Delay_Days,Churn
CUST10013,57,Male,Chennai,Basic,Desktop,UPI,Grocery,2025-01-25,2025-05-08,7,2660.08,19518.5,4.8,0,4.0,2,19,29,No,12,4.5,Yes
CUST10014,41,Female,Kochi,Basic,Desktop,UPI,Beauty,2022-01-13,2024-08-20,7,5722.78,47421.99,12.0,0,3.6,1,24,14,Yes,9,0.8,No
CUST10015,20,Female,Pune,Basic,Mobile,Credit Card,Fashion,2025-05-31,2025-12-31,10,2103.89,22993.02,18.8,1,4.4,0,24,30,No,11,1.7,No
CUST10016,39,Female,Delhi,Basic,Desktop,Credit Card,Fashion,2024-04-02,2025-12-31,9,1535.71,13002.44,10.2,1,3.5,1,21,26,Yes,5,1.7,No
CUST10017,19,Female,Pune,Silver,Mobile,UPI,Electronics,2022-01-07,2023-01-30,15,3958.26,48322.22,21.9,1,3.4,1,17,17,Yes,4,4.3,Yes
CUST10018,41,Female,Bengaluru,Basic,Desktop,Debit Card,Grocery,2025-05-16,2025-12-31,7,5509.38,44665.56,8.1,0,4.0,0,20,25,Yes,3,5.7,No
CUST10019,61,Female,Chennai,Gold,Tablet,Credit Card,Home & Kitchen,2023-09-27,2025-12-31,5,1603.16,9786.28,22.1,0,3.2,2,21,24,Yes,1,5.8,No
CUST10020,47,Male,Hyderabad,Gold,Mobile,COD,Home & Kitchen,2023-09-04,2025-12-31,10,1815.9,17144.57,25.5,2,5.0,2,21,22,Yes,3,2.1,No
CUST10021,55,Female,Chennai,Silver,Desktop,Net Banking,Fashion,2024-12-18,2025-12-31,8,4921.96,43877.15,23.1,1,5.0,3,18,22,No,6,5.6,No
CUST10022,19,Male,Mumbai,Platinum,Desktop,Credit Card,Beauty,2023-01-27,2025-01-21,9,6543.66,56265.24,12.2,0,3.7,3,19,22,Yes,2,3.2,No
CUST10023,38,Male,Chennai,Silver,Tablet,UPI,Fashion,2022-04-22,2025-01-24,9,3492.47,31467.86,0.0,1,3.1,1,24,18,Yes,2,1.8,No
CUST10024,50,Other,Pune,Silver,Desktop,Debit Card,Electronics,2022-01-17,2025-11-11,11,2020.24,25961.34,19.7,1,4.2,0,17,15,Yes,10,0.9,No
CUST10025,29,Male,Mumbai,Platinum,Mobile,Net Banking,Beauty,2021-06-04,2021-08-12,7,4723.14,26175.57,14.0,4,3.7,0,21,19,Yes,2,3.5,Yes
CUST10026,39,Male,Mumbai,Basic,Mobile,Credit Card,Home & Kitchen,2021-09-14,2024-04-29,5,2431.46,12341.7,7.2,0,4.8,1,18,19,Yes,8,5.7,Yes
CUST10027,61,Male,Kochi,Platinum,Mobile,Debit Card,Grocery,2025-11-15,2025-12-31,11,2049.14,19324.23,,2,3.5,1,16,20,No,13,5.0,No
CUST10028,42,Female,Kochi,Basic,Desktop,Debit Card,Grocery,2022-11-05,2024-06-27,11,2186.31,22123.12,26.5,1,4.4,5,14,20,Yes,0,0.9,Yes
CUST10029,44,Male,Mumbai,Silver,Mobile,Debit Card,Electronics,2021-03-09,2022-01-31,6,3727.78,23981.88,5.9,0,4.1,1,14,19,No,4,3.2,Yes
CUST10030,59,Male,Hyderabad,Basic,Desktop,UPI,Fashion,2021-12-10,2025-01-25,8,2826.07,17264.22,18.7,0,3.6,2,16,14,Yes,8,0.8,No
CUST10031,45,Male,Kochi,Gold,Mobile,COD,Electronics,2024-07-24,2024-08-23,9,3403.46,32068.12,16.7,2,4.2,0,24,28,Yes,13,2.9,No
CUST10032,33,Male,Chennai,Silver,Mobile,Debit Card,Grocery,2022-11-04,2025-12-31,5,4008.99,17874.51,12.1,2,4.6,1,19,24,Yes,6,3.4,No
CUST10033,32,Male,Pune,Gold,Mobile,Net Banking,Home & Kitchen,2022-01-26,2022-03-10,8,2489.66,21605.11,20.2,1,4.1,1,12,24,No,11,3.1,Yes
CUST10034,64,Male,Chennai,Silver,Desktop,Credit Card,Grocery,2025-01-12,2025-12-31,13,4241.06,45253.29,28.1,1,4.1,3,16,29,Yes,11,4.5,No
CUST10035,61,Female,Hyderabad,Silver,Mobile,Net Banking,Beauty,2021-09-16,2022-09-21,9,2779.2,27961.95,12.6,0,3.4,2,19,21,No,0,1.1,Yes
CUST10036,20,Male,Bengaluru,Basic,Mobile,UPI,Sports,2021-11-03,2025-09-20,7,2201.19,16530.36,13.1,3,4.7,2,10,18,Yes,3,5.2,No
CUST10037,54,Male,Coimbatore,Basic,Mobile,UPI,Grocery,2024-01-24,2025-12-31,6,1384.14,10261.63,20.0,1,4.7,4,11,27,No,5,1.8,No
CUST10038,24,Male,Pune,Platinum,Mobile,Net Banking,Grocery,2023-08-08,2025-03-08,9,2442.12,26498.37,22.3,2,3.7,2,27,24,Yes,4,0.2,No
CUST10039,38,Male,Kochi,Silver,Mobile,COD,Sports,2025-01-27,2025-12-31,10,5156.76,45980.32,14.0,1,,0,8,16,Yes,1,4.5,No
CUST10040,26,Female,Pune,Gold,Desktop,UPI,Beauty,2023-08-28,2024-08-23,5,3916.23,14953.31,12.6,0,4.9,1,25,29,Yes,0,3.4,Yes
CUST10041,56,Female,Chennai,Gold,Mobile,UPI,Fashion,2021-09-03,2024-01-10,10,3393.53,36571.54,0.0,0,3.3,1,17,25,Yes,10,4.4,Yes
CUST10042,35,Male,Coimbatore,Silver,Mobile,Net Banking,Grocery,2023-01-03,2025-07-27,7,1666.43,12265.1,8.8,0,4.4,2,22,18,Yes,3,2.8,No
CUST10043,21,Male,Delhi,Silver,Desktop,UPI,Electronics,2025-07-17,2025-12-31,12,2168.67,19874.93,5.9,2,3.6,3,14,21,Yes,11,0.0,No
CUST10044,42,Male,Delhi,Basic,Tablet,COD,Grocery,2021-07-06,2021-08-14,10,3672.41,29795.69,20.5,1,5.0,4,18,22,Yes,9,0.8,Yes
CUST10045,31,Female,Kochi,Basic,Mobile,COD,Electronics,2025-12-03,2025-12-31,9,4085.95,38330.94,13.0,0,4.0,3,23,15,Yes,4,2.7,No
CUST10046,26,Female,Hyderabad,Basic,Mobile,COD,Beauty,2023-07-14,2024-06-21,9,3956.98,42945.99,12.7,1,4.8,4,19,23,Yes,14,2.4,Yes
CUST10047,43,Female,Delhi,Silver,Desktop,Credit Card,Grocery,2023-02-24,2025-12-31,8,3100.67,29847.05,14.9,1,3.5,2,19,25,No,3,6.1,No
CUST10048,19,Male,Pune,Silver,Tablet,COD,Beauty,2024-10-28,2025-12-31,8,1920.43,12686.25,8.0,3,3.2,3,24,22,Yes,2,0.9,No
CUST10049,37,Female,Delhi,Silver,Desktop,COD,Beauty,2025-05-15,2025-12-31,8,4090.39,30834.57,27.4,0,3.8,0,21,20,No,9,4.2,No
CUST10050,45,Male,Bengaluru,Silver,Mobile,Credit Card,Fashion,2024-11-30,2025-11-21,8,2161.5,13342.53,25.4,3,,1,19,21,No,14,3.7,No
CUST10051,64,Male,Bengaluru,Silver,Mobile,Debit Card,Grocery,2022-02-12,2024-08-11,13,4115.94,52685.13,,3,3.7,1,17,19,Yes,7,0.0,No
CUST10052,24,Male,Kochi,Gold,Desktop,UPI,Electronics,2024-02-23,2025-12-31,12,2444.43,33045.03,20.5,3,4.5,2,18,23,Yes,11,2.5,No
CUST10053,61,Male,Bengaluru,Gold,Mobile,COD,Electronics,2024-09-22,2025-11-06,8,5589.0,51194.63,14.8,2,3.9,2,22,21,Yes,13,2.7,No
CUST10054,25,Female,Delhi,Basic,Mobile,UPI,Grocery,2021-12-07,2023-06-16,5,2329.06,11639.42,27.9,3,2.6,2,21,24,Yes,5,5.1,Yes
CUST10055,64,Female,Hyderabad,Basic,Desktop,Net Banking,,2022-07-17,2024-01-08,15,2308.83,27634.44,9.6,0,,1,17,24,Yes,10,0.0,Yes
CUST10056,52,Male,Mumbai,Gold,Desktop,UPI,Fashion,2024-04-16,2025-12-31,11,2672.01,27648.63,8.0,0,3.4,2,14,23,No,14,4.0,No
CUST10057,31,Female,Mumbai,Silver,Mobile,Credit Card,Fashion,2022-10-13,2025-12-31,12,1933.51,28214.96,10.2,2,3.8,1,18,19,No,13,3.3,No
CUST10058,34,Other,Kochi,Gold,Desktop,UPI,Fashion,2023-08-10,2025-12-31,6,1778.14,9226.48,19.2,1,5.0,0,21,14,No,11,5.1,No
CUST10059,53,Female,Coimbatore,Basic,Mobile,UPI,Electronics,2024-04-08,2025-12-31,14,1903.78,24250.88,,3,5.0,0,23,25,Yes,2,1.2,No
CUST10060,57,Female,Mumbai,Silver,Mobile,UPI,Beauty,2023-11-29,2025-12-31,9,4840.11,48937.01,13.8,1,3.6,1,15,26,No,5,4.0,No
CUST10061,21,Female,Mumbai,Basic,Desktop,Debit Card,Sports,2021-03-10,2024-06-09,6,1829.74,12260.62,2.2,1,4.4,2,25,21,Yes,14,0.3,Yes
CUST10062,19,Other,Bengaluru,Basic,Mobile,Debit Card,Fashion,2024-06-13,2025-12-31,8,2318.57,22371.44,18.8,0,3.6,3,22,28,No,9,6.6,No
CUST10063,23,Female,Bengaluru,Silver,Mobile,Net Banking,Electronics,2025-05-03,2025-12-31,9,6822.36,57966.41,2.9,0,3.8,1,15,25,Yes,7,1.7,No
CUST10064,59,Male,Delhi,Silver,Tablet,Credit Card,Electronics,2022-01-16,2025-06-03,11,4172.89,46236.84,7.5,2,3.6,0,22,23,Yes,6,0.0,No
CUST10065,21,Male,Kochi,Gold,Mobile,UPI,Beauty,2021-02-26,2022-04-25,6,4139.97,24434.84,24.7,0,2.9,3,19,26,Yes,14,0.8,Yes
CUST10066,46,Female,Coimbatore,Gold,Mobile,UPI,Grocery,2024-07-24,2025-12-31,6,6339.48,46172.06,24.4,1,4.1,0,14,19,Yes,12,4.4,No
CUST10067,35,Male,Kochi,Silver,Tablet,UPI,Grocery,2023-04-30,2023-07-24,5,2637.97,14966.07,18.0,0,4.2,1,19,14,Yes,0,2.4,Yes
CUST10068,43,Female,Chennai,Gold,Desktop,UPI,Fashion,2024-01-28,2025-12-31,6,1139.25,7968.29,17.2,2,3.6,0,16,23,No,5,4.5,No
CUST10069,61,Male,Pune,Basic,Desktop,Debit Card,Fashion,2023-07-05,2025-01-14,13,3966.53,42105.27,10.8,2,4.7,2,21,28,Yes,0,5.7,No
CUST10070,51,Male,Coimbatore,Silver,Desktop,Net Banking,Sports,2025-03-31,2025-12-31,3,2510.48,8630.45,8.8,0,3.7,3,25,27,Yes,12,4.4,No
CUST10071,27,Male,Coimbatore,Gold,Mobile,COD,Beauty,2021-11-21,2023-07-30,8,6851.05,52971.74,12.1,1,3.6,3,24,33,Yes,3,4.4,Yes
CUST10072,53,Male,Hyderabad,Silver,Desktop,Credit Card,Fashion,2022-04-06,2025-12-31,10,1073.88,8179.41,2.9,1,4.3,3,19,23,Yes,9,0.5,No
CUST10073,31,Female,Kochi,Silver,Mobile,UPI,Beauty,2021-06-28,2024-07-30,10,1778.56,13873.55,17.0,2,3.0,2,17,15,Yes,2,1.0,Yes
CUST10074,48,Female,Delhi,Basic,Desktop,Net Banking,Electronics,2023-04-24,2025-10-09,8,2124.33,18506.38,15.4,0,4.6,1,28,27,No,6,0.1,No
CUST10075,65,Female,Hyderabad,Silver,Mobile,COD,Fashion,2022-07-28,2024-12-05,11,2661.23,27400.21,7.5,2,3.7,0,14,23,Yes,1,2.6,Yes
CUST10076,32,Female,Coimbatore,Gold,Desktop,Net Banking,Electronics,2021-04-29,2023-07-09,9,1472.7,15693.86,27.5,1,,2,24,22,No,12,6.4,Yes
CUST10077,25,Male,Coimbatore,Gold,Mobile,,Home & Kitchen,2025-02-01,2025-12-31,11,3248.08,39914.04,19.9,2,4.8,0,17,23,Yes,11,2.0,No
CUST10078,31,Female,Coimbatore,Gold,Mobile,COD,Beauty,2022-07-03,2022-07-18,11,2071.43,17336.29,20.5,0,4.4,2,28,23,No,3,6.0,Yes
CUST10079,40,Female,Mumbai,Gold,Desktop,Net Banking,Home & Kitchen,2022-10-08,2025-12-31,4,4298.93,18802.56,11.1,0,3.5,2,14,21,Yes,14,0.0,No
CUST10080,57,Female,Kochi,Silver,Desktop,Debit Card,Fashion,2025-01-18,2025-12-31,5,4992.88,21124.28,15.0,2,3.2,1,24,24,Yes,4,1.6,No
CUST10081,38,Male,Pune,Silver,Desktop,Net Banking,Electronics,2021-01-26,2023-10-05,8,2380.55,18307.22,20.0,1,3.1,3,16,21,Yes,1,0.7,Yes
CUST10082,33,Female,Pune,Basic,Mobile,Net Banking,Fashion,2025-02-22,2025-12-31,8,3489.45,29656.63,16.2,1,4.7,0,33,22,Yes,8,3.4,No
CUST10083,62,Female,Hyderabad,Silver,Mobile,COD,Home & Kitchen,2023-10-29,2025-12-31,9,2769.01,29565.36,27.8,1,3.9,0,16,25,Yes,1,3.2,No
CUST10084,35,Other,Coimbatore,Silver,Desktop,Debit Card,Fashion,2023-08-27,2024-01-22,5,2675.89,13085.76,13.4,3,3.6,0,22,23,Yes,5,0.0,Yes
CUST10085,64,Female,Pune,Platinum,Desktop,UPI,Sports,2025-03-20,2025-12-31,10,1420.59,16397.09,11.0,1,3.9,0,22,25,No,11,0.8,No
CUST10086,41,Male,Bengaluru,Silver,Desktop,Credit Card,Grocery,2022-06-17,2024-11-16,14,2609.66,41704.35,20.1,3,4.7,2,23,27,Yes,7,4.8,No
CUST10087,43,Female,Kochi,Silver,Tablet,COD,Home & Kitchen,2021-05-29,2024-04-23,9,4102.04,35340.81,4.9,2,4.5,0,12,16,Yes,11,4.4,Yes
CUST10088,42,Female,Pune,Silver,Desktop,Debit Card,Fashion,2025-02-20,2025-12-31,10,3286.28,32878.91,22.4,0,4.3,0,18,19,Yes,6,0.8,No
CUST10089,62,Male,Delhi,Silver,Mobile,Net Banking,Electronics,2023-11-15,2025-12-31,11,1799.73,21781.53,4.6,1,4.4,3,19,27,No,13,1.0,No
CUST10090,58,Female,Kochi,Gold,Desktop,Debit Card,Fashion,2022-10-17,2024-04-04,6,1426.18,6551.08,20.1,2,4.1,1,19,22,Yes,14,2.3,Yes
CUST10091,46,Female,Delhi,Basic,Tablet,Credit Card,Electronics,2025-11-16,2025-12-31,7,2567.74,21486.44,9.8,2,4.2,4,16,17,Yes,5,0.7,No
CUST10092,32,Male,Pune,Silver,Mobile,Credit Card,Grocery,2023-08-03,2025-10-21,6,1952.65,13296.47,18.8,0,4.1,1,18,26,Yes,14,3.3,No
CUST10093,62,Male,Bengaluru,Gold,Desktop,UPI,Fashion,2022-07-09,2023-12-06,11,2055.97,19782.11,22.3,1,4.0,1,27,20,Yes,7,2.1,Yes
CUST10094,18,Male,Delhi,Silver,Desktop,UPI,Grocery,2022-03-01,2025-11-06,8,1967.89,19530.76,16.2,0,4.5,0,22,23,Yes,4,4.4,No
CUST10095,42,Male,Mumbai,Basic,Mobile,Credit Card,Home & Kitchen,2021-10-20,2022-07-12,10,2785.95,23393.49,5.4,1,4.2,3,27,31,Yes,9,2.0,Yes
CUST10096,24,Male,Pune,Gold,Mobile,COD,Electronics,2024-04-23,2025-12-31,12,3599.94,52143.4,7.8,3,3.4,0,20,24,No,8,4.3,No
CUST10097,26,Female,Mumbai,Gold,Mobile,COD,Sports,2022-07-08,2025-12-01,8,1919.26,14006.56,9.2,1,4.3,5,16,23,Yes,1,1.5,No
CUST10098,41,Male,Pune,Basic,Tablet,Net Banking,Home & Kitchen,2022-03-07,2022-03-29,9,1881.37,19160.17,0.0,0,4.2,0,19,20,Yes,5,1.5,Yes
CUST10099,18,Male,Chennai,Gold,Desktop,UPI,Electronics,2022-08-27,2022-12-27,10,1535.14,15016.56,24.0,0,4.4,0,26,20,No,11,2.4,Yes
CUST10100,61,Female,Chennai,Gold,Mobile,Net Banking,Grocery,2021-11-13,2024-02-22,10,2994.45,33484.95,15.9,1,3.9,1,18,26,Yes,9,0.0,Yes
CUST10101,25,Female,Chennai,Silver,Tablet,UPI,Beauty,2022-02-02,2023-07-24,6,4056.65,20150.8,5.9,1,4.5,2,12,27,Yes,11,2.4,Yes
CUST10102,41,Male,Delhi,Platinum,Mobile,Credit Card,Fashion,2024-09-09,2025-12-31,11,2627.09,25567.59,26.6,1,4.0,4,23,21,Yes,11,4.7,No
CUST10103,28,Male,Mumbai,Gold,Mobile,COD,Grocery,2025-05-08,2025-12-31,9,3607.91,25974.64,9.4,0,,1,29,23,Yes,10,0.2,No
CUST10104,34,Male,Mumbai,Gold,Desktop,COD,Electronics,2022-08-19,2023-03-04,12,4565.27,64785.13,17.0,3,3.7,3,21,22,Yes,6,4.5,Yes
CUST10105,25,Female,Mumbai,Gold,Desktop,Credit Card,Electronics,2022-06-30,2025-12-31,9,3083.06,24921.36,8.4,3,3.7,3,30,25,Yes,8,2.7,No
CUST10106,52,Male,Bengaluru,Basic,Mobile,Net Banking,Electronics,2021-03-17,2023-10-09,6,1820.22,11983.29,0.0,2,4.4,1,17,26,Yes,4,2.9,Yes
CUST10107,52,Female,Mumbai,Basic,Mobile,Net Banking,Electronics,2023-05-15,2025-12-31,10,1729.9,20068.75,4.1,2,3.8,0,22,23,Yes,5,3.3,No
CUST10108,50,Other,Bengaluru,Silver,Mobile,Debit Card,Fashion,2023-07-05,2025-12-31,10,1870.02,22453.5,11.4,0,5.0,1,19,25,Yes,8,1.9,No
CUST10109,22,Male,Chennai,Basic,Mobile,UPI,Home & Kitchen,2022-12-10,2025-12-31,10,5904.0,47417.89,22.2,1,4.4,2,21,22,No,9,3.2,No
CUST10110,59,Female,Chennai,Silver,Mobile,Net Banking,Sports,2022-05-01,2025-12-31,6,6687.05,48006.63,17.8,1,4.0,0,19,18,Yes,5,2.0,No
CUST10111,56,Other,Delhi,Platinum,Mobile,Credit Card,Beauty,2025-12-27,2025-12-31,11,2337.81,21823.2,16.1,0,4.5,0,20,25,Yes,13,1.3,No
CUST10112,58,Male,Pune,Gold,Mobile,Net Banking,Fashion,2024-01-17,2025-12-31,11,4461.27,54886.83,0.0,0,3.7,0,11,21,Yes,10,4.9,No
CUST10113,45,Female,Chennai,Silver,Mobile,COD,Electronics,2023-01-17,2025-12-31,10,4828.75,53812.77,25.2,2,4.6,0,12,31,Yes,11,0.0,No
CUST10114,24,Female,Pune,Gold,Mobile,UPI,Fashion,2024-06-09,2025-12-31,9,1435.72,9746.05,16.8,0,4.6,3,20,21,No,0,1.5,No
CUST10115,26,Female,Pune,Gold,Mobile,Debit Card,Grocery,2023-10-28,2024-05-27,9,5747.05,44498.3,14.0,2,4.8,0,9,20,Yes,3,4.2,Yes
CUST10116,25,Female,Kochi,Silver,Desktop,UPI,Sports,2022-07-04,2025-12-31,11,2467.33,27030.83,24.1,1,3.7,0,19,27,Yes,3,0.7,No
CUST10117,29,Female,Delhi,Basic,Desktop,COD,Electronics,2023-09-03,2023-10-24,11,2411.78,25468.86,25.0,0,3.2,3,25,23,Yes,2,2.2,Yes
CUST10118,51,Female,Coimbatore,Silver,Mobile,COD,Beauty,2023-12-12,2025-12-31,4,1562.87,7559.83,24.2,1,3.6,0,16,18,No,13,0.0,No
CUST10119,50,Female,Coimbatore,Gold,Mobile,COD,Electronics,2025-08-06,2025-12-31,15,5922.2,82603.18,13.0,3,3.8,0,16,26,Yes,7,1.7,No
CUST10120,65,Female,Hyderabad,Silver,Mobile,COD,Sports,2023-07-31,2025-12-31,12,2857.54,41782.67,7.0,1,,1,18,21,Yes,5,0.0,No
CUST10121,40,Female,Kochi,Gold,Mobile,Credit Card,Beauty,2023-07-08,2024-01-03,9,5645.46,49778.46,22.9,3,5.0,2,18,21,No,6,1.1,Yes
CUST10122,41,Female,Delhi,Basic,Mobile,Debit Card,Sports,2024-11-20,2025-04-03,9,4691.49,52026.69,4.1,2,4.2,0,15,24,Yes,8,2.8,No
CUST10123,54,Male,Hyderabad,Gold,Mobile,,Beauty,2024-05-29,2025-12-31,9,2357.03,23730.81,30.6,4,4.0,1,25,16,Yes,7,2.4,No
CUST10124,52,Male,Hyderabad,Gold,Mobile,COD,Home & Kitchen,2024-12-22,2025-12-31,10,2900.15,33777.1,15.2,2,3.8,1,11,23,Yes,2,4.7,No
CUST10125,61,Male,Kochi,Gold,Desktop,Net Banking,Home & Kitchen,2025-11-11,2025-12-31,13,2038.33,21263.25,6.5,0,4.5,0,23,21,No,14,3.9,No
CUST10126,57,Male,Coimbatore,Platinum,Mobile,Debit Card,Fashion,2024-03-12,2025-12-31,14,2150.74,31407.23,5.1,0,5.0,2,14,23,Yes,3,1.8,No
CUST10127,39,Male,Delhi,Gold,Mobile,UPI,Fashion,2021-12-29,2022-10-26,12,3371.11,33226.34,4.8,0,5.0,1,26,25,Yes,0,4.4,Yes
CUST10128,44,Female,Coimbatore,Platinum,Desktop,Debit Card,Beauty,2022-01-17,2024-02-08,8,3862.39,27772.45,16.1,1,4.7,0,22,15,No,13,2.2,Yes
CUST10129,52,Male,Hyderabad,Platinum,Mobile,Debit Card,Electronics,2025-05-04,2025-12-31,8,1121.42,9525.63,14.9,0,4.7,1,12,21,Yes,3,1.1,No
CUST10130,18,Female,Delhi,Gold,Mobile,Debit Card,Grocery,2024-07-24,2025-12-31,6,1136.36,7589.38,5.1,1,4.5,3,17,18,Yes,11,0.0,No
CUST10131,52,Male,Hyderabad,Gold,Mobile,COD,Grocery,2021-09-28,2023-01-07,7,2177.99,11733.14,12.1,0,4.0,3,15,20,No,8,5.4,Yes
CUST10132,54,Female,Mumbai,Basic,Mobile,COD,Electronics,2023-11-04,2025-09-05,4,3148.11,12787.27,4.1,0,3.5,2,14,22,Yes,4,5.1,No
CUST10133,64,Other,Kochi,Silver,Desktop,Credit Card,Electronics,2021-10-25,2025-05-27,10,4866.25,50251.67,19.7,0,4.0,2,16,22,No,2,2.1,No
CUST10134,31,Male,Pune,Silver,Mobile,UPI,Home & Kitchen,2023-10-01,2025-12-31,14,2837.71,31361.79,14.6,1,4.3,0,18,23,No,1,2.3,No
CUST10135,20,Female,Delhi,Basic,Mobile,Net Banking,Grocery,2025-01-27,2025-12-31,8,2461.19,19696.29,12.0,1,3.1,0,22,18,No,5,2.0,No
CUST10136,18,Male,Delhi,Basic,Mobile,Debit Card,Beauty,2025-03-31,2025-12-31,8,3579.29,31695.93,4.7,0,3.9,0,22,23,Yes,3,0.0,No
CUST10137,22,Female,Pune,Platinum,Mobile,UPI,Sports,2021-08-22,2025-11-04,12,1806.44,16834.87,12.6,1,3.5,4,23,20,Yes,5,2.3,No
CUST10138,43,Male,Hyderabad,Platinum,Desktop,UPI,Fashion,2022-07-29,2025-04-03,7,2870.38,22707.4,11.7,0,4.7,0,20,21,Yes,2,0.0,No
CUST10139,31,Female,Mumbai,Gold,Desktop,Credit Card,Sports,2025-09-28,2025-12-31,10,2601.01,27004.03,,1,3.6,4,15,34,Yes,2,0.1,No
CUST10140,56,Male,Bengaluru,Silver,Mobile,Net Banking,Home & Kitchen,2021-01-27,2022-02-17,14,2971.48,48531.97,16.3,1,4.2,2,15,27,Yes,0,2.5,Yes
CUST10141,44,Female,Pune,Basic,Mobile,Debit Card,,2025-02-03,2025-12-31,12,4584.99,47263.8,21.3,3,3.5,0,20,26,Yes,8,4.1,No
CUST10142,26,Female,Kochi,Basic,Mobile,Net Banking,Electronics,2021-04-03,2024-01-15,12,1218.99,17065.42,11.1,1,5.0,2,20,19,Yes,6,0.0,Yes
CUST10143,32,Male,Coimbatore,Basic,Desktop,Credit Card,Grocery,2022-09-09,2025-12-31,9,2667.38,19139.85,0.1,0,2.9,4,19,25,Yes,8,2.2,No
CUST10144,32,Male,Hyderabad,Basic,Mobile,COD,Beauty,2021-11-05,2025-05-22,13,3855.34,47709.42,22.9,0,4.3,1,26,22,Yes,10,2.4,No
CUST10145,43,Male,Pune,Basic,Mobile,UPI,Home & Kitchen,2021-02-21,2022-06-26,13,3469.97,38331.55,7.5,1,3.2,1,20,26,No,0,2.2,Yes
CUST10146,59,Male,Pune,Platinum,Mobile,Debit Card,Electronics,2021-11-15,2022-06-28,16,1271.02,24159.76,6.1,1,3.7,0,25,15,No,7,3.2,Yes
CUST10147,30,Female,Delhi,Gold,Mobile,COD,Sports,2021-06-30,2022-08-23,5,1133.82,6249.96,14.7,6,4.1,3,20,21,Yes,1,4.0,Yes
CUST10148,49,Male,Coimbatore,Basic,Mobile,Credit Card,Beauty,2025-05-12,2025-12-31,7,3728.83,19907.35,17.4,2,4.2,1,20,18,Yes,2,2.6,No
CUST10149,56,Male,Coimbatore,Basic,Mobile,Net Banking,Sports,2024-02-18,2025-12-31,6,1244.86,5637.44,10.8,1,4.1,0,22,25,Yes,0,5.6,No
CUST10150,49,Male,Kochi,Silver,Mobile,UPI,,2023-05-25,2025-02-09,9,2894.58,23332.11,10.7,1,4.1,1,18,17,Yes,6,2.1,No
CUST10151,21,Female,Coimbatore,Basic,Mobile,Debit Card,Home & Kitchen,2023-12-03,2025-12-31,11,4446.09,40184.02,11.9,0,3.6,3,16,27,Yes,11,0.5,No
