Employee_ID,Age,Experience_Years,Department,Job_Level,Education_Level,Work_Mode,Employment_Type,Monthly_Income,Previous_Salary,Current_Salary,Bonus,Quantity,Unit_Price,Total_Spending,Number_of_Orders,Working_Hours,Training_Hours,Projects_Completed,Performance_Score
EMP00085,44,11,Sales,Mid,Diploma,Hybrid,Full-Time,83714.97,68233.19,90743.28,3221.88,15,3906.89,180131.78,39,50.7,61,4,56.4
EMP00086,31,5,Sales,Manager,Bachelor,Office,Full-Time,50300.24,41967.44,54327.69,5743.38,6,3328.12,97757.88,26,53.7,78,11,61.4
EMP00087,37,16,HR,Manager,PhD,Remote,Part-Time,88346.66,68195.44,91365.03,12501.23,2,4171.86,113734.91,3,37.7,21,3,69.8
EMP00088,28,8,Marketing,Mid,High School,Office,Part-Time,63082.97,50435.39,72064.92,2548.94,4,9218.32,77048.42,46,30.2,95,7,54.9
EMP00089,55,25,Sales,Senior,PhD,Remote,Full-Time,110036.92,101947.48,110569.26,20378.81,14,3996.36,124387.97,9,38.1,58,2,59.2
EMP00090,55,31,Operations,Junior,PhD,Office,Full-Time,140669.73,115654.43,149889.38,8530.07,15,9211.28,64481.3,35,39.6,36,10,82.2
EMP00091,53,5,Finance,Senior,PhD,Hybrid,Full-Time,40999.89,35838.44,41484.14,1705.41,14,4521.72,77712.94,7,49.0,22,3,53.2
EMP00092,25,5,Finance,Senior,PhD,Office,Part-Time,56856.71,50215.45,62483.3,3211.6,4,8620.3,193298.93,15,31.2,32,17,68.6
EMP00093,59,10,Marketing,Junior,Diploma,Office,Part-Time,73848.87,66934.1,70862.3,3731.07,6,5456.63,23150.43,4,35.3,21,11,60.9
EMP00094,48,28,HR,Senior,PhD,Office,Full-Time,116016.23,91253.73,111280.31,4213.88,7,3457.85,21945.81,37,52.3,63,1,83.9
EMP00095,27,7,HR,Mid,PhD,Hybrid,Part-Time,52775.95,42799.32,58695.95,8634.73,13,4768.82,9619.89,28,33.9,61,2,50.8
EMP00096,29,9,Sales,Junior,Diploma,Office,Part-Time,61478.58,51621.55,63744.29,6713.26,17,4531.62,64688.86,9,49.0,53,13,69.8
EMP00097,28,8,Engineering,Entry,Master,Office,Full-Time,64719.17,53261.82,65899.39,5820.42,17,2969.18,80247.62,35,39.0,57,14,78.9
EMP00098,32,12,Marketing,Senior,Diploma,Hybrid,Part-Time,63920.99,60506.39,68491.68,12216.13,4,3251.57,19808.61,48,46.6,11,17,66.2
EMP00099,54,10,Engineering,Manager,Bachelor,Remote,Full-Time,50946.82,46717.63,55551.38,4421.24,19,2271.31,110277.07,48,31.8,17,2,52.5
EMP00100,53,16,Finance,Junior,Diploma,Office,Contract,86841.24,73462.24,85993.69,4346.85,20,3692.01,117077.0,25,37.2,95,17,82.9
EMP00101,43,13,Operations,Entry,Master,Hybrid,Contract,68204.32,63147.22,67323.54,4728.45,13,6431.86,150454.31,9,40.6,66,19,82.1
EMP00102,44,24,Sales,Manager,Bachelor,Office,Contract,124609.92,102121.64,142258.44,7852.17,9,4172.3,195217.66,33,51.4,59,9,67.4
EMP00103,57,17,Operations,Entry,Bachelor,Hybrid,Part-Time,101221.3,91824.49,108097.55,11111.41,2,7267.07,124251.1,17,44.1,99,12,85.1
EMP00104,55,27,Engineering,Senior,High School,Remote,Contract,164831.68,130997.53,169450.81,11945.5,20,9876.29,23218.51,12,31.1,0,16,75.1
EMP00105,60,3,Sales,Manager,PhD,Remote,Part-Time,23489.69,21245.59,26080.33,2651.77,18,4082.46,18616.32,9,50.0,88,4,64.9
EMP00106,42,6,IT,Senior,Bachelor,Office,Full-Time,28857.75,24277.76,30445.84,4053.73,20,4895.07,155731.83,5,31.4,19,11,72.6
EMP00107,47,27,Operations,Manager,Bachelor,Hybrid,Contract,116985.56,90254.34,116790.49,18707.6,17,2059.05,130416.49,47,53.4,16,20,84.2
EMP00108,55,8,Marketing,Junior,Master,Remote,Part-Time,38600.62,31060.09,38266.61,5706.27,7,4226.05,33220.96,26,35.3,48,4,60.6
EMP00109,21,1,Operations,Mid,Bachelor,Remote,Contract,31467.13,26132.03,32391.38,1793.83,17,7404.91,51418.63,45,42.2,21,2,48.9
EMP00110,55,16,Operations,Mid,Master,Hybrid,Part-Time,49683.35,44707.99,55743.68,2030.16,10,2565.35,150297.84,19,31.8,32,10,86.5
EMP00111,57,16,Sales,Entry,PhD,Office,Part-Time,94482.3,72240.84,90919.33,11114.99,14,2229.51,113665.0,35,44.0,25,9,60.8
EMP00112,34,14,Finance,Manager,High School,Remote,Full-Time,88217.33,77799.7,87662.02,4922.89,12,4075.56,117415.01,2,42.4,26,17,73.2
EMP00113,23,3,Engineering,Senior,High School,Remote,Part-Time,15000.0,13398.04,16929.46,529.32,12,8277.17,42791.73,45,40.3,59,12,68.2
EMP00114,21,1,IT,Junior,PhD,Remote,Part-Time,23874.97,21028.69,23262.5,2742.68,17,6424.74,126182.54,7,30.9,33,4,59.8
EMP00115,25,5,Operations,Junior,PhD,Office,Contract,56784.59,51227.31,61095.97,4475.93,19,9597.0,154355.09,9,52.0,86,9,80.6
EMP00116,46,2,Engineering,Junior,Diploma,Remote,Full-Time,15951.37,12531.93,15834.96,2490.12,14,9093.13,177165.19,22,50.1,79,14,67.5
EMP00117,34,4,Engineering,Mid,Bachelor,Hybrid,Part-Time,37144.25,32219.69,39787.93,2843.56,17,1935.8,147606.75,42,45.8,77,4,60.3
EMP00118,59,12,Finance,Senior,Bachelor,Office,Contract,94643.16,88796.95,97162.64,18566.06,15,904.25,115698.75,33,44.3,51,2,72.3
EMP00119,47,27,HR,Junior,Bachelor,Remote,Full-Time,137166.71,119630.88,133097.71,21471.28,6,4291.4,134978.6,16,47.4,54,18,79.5
EMP00120,29,9,IT,Junior,Master,Hybrid,Part-Time,80936.24,70598.03,86318.1,2459.23,19,5459.76,97537.18,43,33.6,60,13,74.5
EMP00121,35,15,IT,Entry,Diploma,Hybrid,Contract,79498.44,71332.99,86383.68,8871.79,20,5397.92,46152.75,24,53.3,49,10,69.8
EMP00122,35,15,Engineering,Manager,Bachelor,Office,Full-Time,88232.45,72054.22,95825.25,10700.1,6,1774.02,176559.19,8,37.1,62,14,78.7
EMP00123,46,26,Sales,Manager,Master,Hybrid,Full-Time,123307.06,109755.02,132851.87,17898.57,6,1685.77,106991.9,30,46.4,63,9,79.4
EMP00124,33,13,Operations,Manager,Master,Office,Full-Time,70953.15,66216.8,74504.0,7776.71,4,945.18,119269.34,26,45.2,13,11,62.4
EMP00125,52,2,HR,Entry,High School,Office,Full-Time,40018.44,30101.04,42175.22,4282.77,1,8583.17,198031.67,45,45.9,89,20,59.2
EMP00126,59,9,Sales,Mid,Master,Office,Part-Time,61115.42,56472.03,65829.13,5269.92,19,9503.57,197018.12,48,52.0,50,1,47.5
EMP00127,52,20,Marketing,Entry,PhD,Hybrid,Part-Time,79317.45,62956.13,86301.5,5462.04,11,1599.01,117675.89,35,37.4,26,12,57.6
EMP00128,24,4,Finance,Junior,Master,Office,Full-Time,28779.77,24209.1,31110.22,5477.25,7,2524.66,7757.5,45,48.7,39,17,66.4
EMP00129,50,11,Finance,Senior,PhD,Office,Full-Time,75175.28,69196.55,80241.27,5801.08,2,1353.7,79833.36,17,45.0,67,17,56.3
EMP00130,57,1,Sales,Junior,PhD,Hybrid,Part-Time,25708.18,23517.39,25224.04,807.64,4,8836.27,187521.36,38,31.9,8,8,55.6
EMP00131,43,23,Engineering,Junior,High School,Office,Contract,86184.15,80012.11,85505.3,4318.8,6,9607.73,58373.01,10,40.4,55,17,78.7
EMP00132,59,34,Finance,Senior,High School,Remote,Full-Time,133695.9,125417.89,133969.28,23304.5,5,2987.07,199854.47,41,50.9,90,20,94.2
EMP00133,35,15,Operations,Manager,Master,Hybrid,Part-Time,45787.5,38435.47,51919.93,5750.64,9,3384.05,17779.19,50,37.9,38,13,73.2
EMP00134,49,29,Finance,Entry,High School,Hybrid,Part-Time,102061.01,89943.59,112458.89,16348.18,11,3945.36,114054.72,17,42.1,14,13,81.0
EMP00135,56,34,Operations,Mid,High School,Hybrid,Contract,201818.07,167124.68,214042.87,33417.17,18,5273.41,103574.42,7,42.2,88,15,87.4
EMP00136,33,13,Marketing,Junior,Bachelor,Remote,Part-Time,65630.8,53826.66,65657.79,11037.96,20,6983.38,51815.23,2,45.5,17,18,68.2
EMP00137,52,7,HR,Junior,Master,Office,Full-Time,47043.55,39343.42,45734.72,5603.38,17,5291.71,189772.82,11,52.1,51,13,65.9
EMP00138,27,7,IT,Mid,Master,Hybrid,Part-Time,83603.66,75127.52,94451.39,4337.5,13,9534.52,124215.07,50,34.3,60,8,57.9
EMP00139,42,6,Sales,Entry,Master,Hybrid,Full-Time,39979.19,33993.83,45117.84,1866.3,17,1448.99,46815.43,3,42.6,93,7,66.9
EMP00140,48,28,Sales,Junior,High School,Hybrid,Part-Time,135007.67,123236.61,131246.23,16648.77,10,8086.75,77425.59,46,40.6,36,19,69.1
EMP00141,22,2,Operations,Mid,High School,Remote,Full-Time,21835.32,19630.9,24225.05,1877.24,18,3677.59,144524.66,20,37.4,79,10,71.8
EMP00142,26,2,Marketing,Junior,PhD,Remote,Full-Time,35773.24,26976.44,37180.16,4308.84,17,4086.7,60241.65,13,53.0,52,12,56.9
EMP00143,48,0,Marketing,Manager,Diploma,Remote,Part-Time,15000.0,13140.71,15221.9,1645.89,12,7233.88,176041.63,23,30.2,11,2,53.4
EMP00144,48,28,Engineering,Manager,Diploma,Office,Full-Time,140783.55,117880.07,154555.13,18076.0,15,9329.08,33969.11,17,33.1,80,14,82.5
EMP00145,40,20,IT,Junior,Diploma,Office,Part-Time,97927.63,82389.04,105063.22,2524.59,19,7303.91,53636.51,29,48.3,24,10,77.1
EMP00146,50,0,HR,Junior,Bachelor,Remote,Part-Time,32259.71,29474.88,35679.43,835.87,15,7870.68,29834.82,43,36.6,78,17,56.4
EMP00147,31,11,Sales,Manager,High School,Office,Part-Time,51964.86,44664.92,50139.12,7788.86,13,7632.4,21731.59,39,48.1,24,13,64.2
EMP00148,48,12,Operations,Junior,PhD,Remote,Full-Time,82221.03,76229.12,83348.89,4502.66,7,3549.3,60762.77,32,50.8,20,1,62.1
EMP00149,45,7,Marketing,Entry,PhD,Office,Part-Time,54803.01,48915.03,55562.76,7529.7,11,7690.84,199836.57,35,36.4,82,15,82.8
EMP00150,59,4,Sales,Entry,Diploma,Office,Contract,50495.18,43454.54,51300.61,5977.8,8,7952.95,19771.55,35,34.8,87,1,59.4
EMP00151,53,8,Operations,Senior,Bachelor,Remote,Full-Time,49729.1,44801.33,52240.22,9782.86,20,5567.3,43387.44,34,33.6,6,15,60.8
EMP00152,21,0,Finance,Entry,Bachelor,Hybrid,Contract,36173.67,27407.69,36412.51,6163.02,16,5599.18,55051.74,21,35.0,75,20,84.2
EMP00153,47,27,Sales,Junior,Diploma,Hybrid,Contract,167551.65,126571.32,174065.51,15810.88,11,7717.35,124206.81,16,36.7,48,15,83.5
EMP00154,33,13,HR,Junior,Diploma,Office,Contract,68859.13,52792.22,70481.14,9017.4,5,8261.79,149323.79,23,51.7,38,14,79.0
EMP00155,23,1,Operations,Mid,High School,Office,Contract,28956.58,24251.51,31767.08,1190.47,7,3703.36,150634.8,11,49.3,74,13,57.1
EMP00156,59,22,HR,Entry,Bachelor,Office,Part-Time,98630.77,78617.6,105603.98,8832.33,16,8114.84,2718.56,14,30.0,96,2,73.7
EMP00157,26,6,Sales,Manager,PhD,Office,Contract,54843.53,51928.72,59270.82,8341.69,16,8234.99,130718.24,3,51.9,48,8,54.9
EMP00158,28,8,Finance,Manager,Diploma,Office,Full-Time,58030.92,49817.11,57573.45,7664.78,20,2724.19,126516.64,7,32.0,88,9,58.2
EMP00159,47,13,HR,Senior,High School,Office,Contract,88709.34,78284.5,90048.89,9510.07,17,7311.03,104013.28,40,46.4,33,19,76.5
EMP00160,29,3,Marketing,Mid,PhD,Remote,Contract,36312.89,29259.62,34650.96,1880.11,19,2272.07,76462.5,45,33.8,74,19,75.3
EMP00161,57,29,Operations,Manager,Bachelor,Hybrid,Contract,155033.03,126252.6,150641.71,25513.21,15,1383.97,159691.4,11,31.6,15,9,68.6
EMP00162,53,30,Sales,Senior,Diploma,Hybrid,Part-Time,122128.9,99790.59,122496.61,8447.65,15,5958.16,69432.28,33,49.0,95,7,87.5
EMP00163,44,10,Finance,Entry,Diploma,Remote,Contract,61268.14,54513.16,59006.91,10273.82,20,9132.2,46772.44,19,41.7,14,14,63.3
EMP00164,35,15,Marketing,Mid,High School,Remote,Contract,90761.86,76670.28,97162.97,11807.18,15,836.86,62708.94,45,45.0,39,2,60.1
EMP00165,52,7,Sales,Mid,High School,Hybrid,Contract,77427.11,66086.88,89012.22,6743.26,3,8351.77,88489.94,49,40.6,78,12,67.9
EMP00166,52,2,Engineering,Junior,Bachelor,Hybrid,Full-Time,37837.76,32858.33,36708.79,1033.31,12,5311.48,43597.42,41,31.7,6,11,57.5
EMP00167,44,13,Finance,Entry,Diploma,Office,Part-Time,67108.63,60650.26,74775.53,4149.69,6,8678.51,121906.68,23,48.5,100,17,85.3
EMP00168,32,12,Marketing,Mid,High School,Hybrid,Part-Time,71030.75,54556.87,69167.13,12787.86,20,8513.03,176957.63,23,50.5,39,2,53.2
EMP00169,59,31,HR,Senior,Diploma,Office,Part-Time,156673.48,141848.22,169831.36,26201.35,5,8815.22,119496.56,29,31.0,65,12,73.8
EMP00170,22,2,Sales,Manager,Bachelor,Office,Full-Time,42197.99,36401.97,45516.08,5210.34,11,7804.3,89886.99,6,39.4,69,15,58.7
EMP00171,23,3,Sales,Entry,Diploma,Hybrid,Contract,27786.15,24557.93,31413.45,2888.04,12,8508.43,159576.88,39,43.9,99,8,78.2
EMP00172,57,15,HR,Entry,PhD,Office,Full-Time,55802.13,45507.21,54283.7,7616.19,7,2172.24,149859.69,5,45.1,91,8,68.1
EMP00173,37,1,Engineering,Mid,Diploma,Office,Part-Time,49185.52,40916.32,49829.3,5111.59,9,3386.6,74044.57,32,44.5,21,18,59.4
EMP00174,22,2,IT,Mid,Master,Remote,Part-Time,38541.9,30688.34,37314.57,5240.73,18,2803.62,121226.54,40,47.3,100,14,66.8
EMP00175,22,2,Marketing,Mid,Master,Hybrid,Part-Time,39292.86,37165.55,40529.67,2960.04,14,7553.07,146238.73,26,54.2,58,10,68.6
EMP00176,48,15,HR,Senior,Bachelor,Remote,Full-Time,64601.54,54872.58,73149.52,11042.31,4,1959.61,49847.19,14,39.8,4,4,65.3
