Application_ID,Customer_ID,Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount,Loan_Tenure_Months,Existing_Loans,Previous_Loans,Previous_Defaults,Previous_Loan_Amount,Application_Date,Decision_Date,Loan_Type,Employment_Type,Location,Loan_Approved,Approved_Amount,Final_Interest_Rate
100014,51215,21,320000.0,761.0,0.0,1115000.0,84,0,1,1,824000,2025-03-03,2025-03-08,Business,Business Owner,Delhi,1,777000,11.71
100015,50083,21,461000.0,721.0,0.0,707000.0,12,0,0,0,0,2024-01-11,2024-01-14,Auto,Salaried,Mumbai,0,0,
100016,50154,32,957000.0,634.0,6.0,526000.0,36,0,0,0,0,2024-01-01,2024-01-08,Home,Contract,Delhi,0,0,
100017,50434,28,303000.0,832.0,0.0,984000.0,24,0,2,0,330000,2025-02-05,2025-02-10,Education,Contract,Coimbatore,1,357000,9.22
100018,50417,41,180000.0,703.0,16.0,469000.0,84,1,2,0,472000,2024-03-03,2024-03-09,Home,Business Owner,Bengaluru,0,0,
100019,51263,29,490000.0,680.0,6.0,994000.0,60,0,0,0,0,2025-10-28,2025-11-01,Home,Business Owner,Bengaluru,0,0,
100020,50102,24,769000.0,753.0,5.0,787000.0,12,3,6,0,1328000,2025-11-30,2025-12-07,Personal,Business Owner,Bengaluru,1,629000,11.13
100021,50162,53,1030000.0,706.0,32.0,504000.0,72,1,2,1,349000,2024-10-04,2024-10-11,Auto,Self-Employed,Kochi,1,395000,13.51
100022,50642,36,487000.0,716.0,20.0,936000.0,24,1,2,0,847000,2024-07-17,2024-07-22,Personal,Business Owner,Kochi,1,641000,11.82
100023,50299,39,499000.0,850.0,13.0,945000.0,84,0,0,0,0,2023-09-01,2023-09-08,Home,Self-Employed,Bengaluru,1,789000,11.81
100024,50328,24,1008000.0,672.0,6.0,1323000.0,72,3,5,0,757000,2025-04-24,2025-05-01,Personal,Salaried,Kochi,0,0,
100025,51457,33,259000.0,669.0,11.0,1191000.0,84,1,2,0,761000,2025-07-27,2025-08-06,Business,Contract,Coimbatore,0,0,
100026,50533,39,504000.0,698.0,20.0,917000.0,84,3,4,0,619000,2023-10-30,2023-11-07,Home,Business Owner,Pune,0,0,
100027,50548,26,654000.0,760.0,2.0,376000.0,24,1,2,0,229000,2024-01-05,2024-01-06,Home,Contract,Chennai,0,0,
100028,50891,42,734000.0,592.0,24.0,2691000.0,48,0,2,0,499000,2025-04-30,2025-05-04,Business,Salaried,Kochi,0,0,
100029,50426,32,477000.0,562.0,11.0,323000.0,36,1,4,0,2595000,2023-10-02,2023-10-03,Home,Contract,Kochi,0,0,
100030,51383,35,609000.0,652.0,10.0,1180000.0,84,0,1,0,100000,2023-03-11,2023-03-14,Education,Salaried,Delhi,0,0,
100031,51168,32,196000.0,584.0,10.0,887000.0,36,0,2,0,257000,2023-02-16,2023-02-24,Education,Business Owner,Chennai,0,0,
100032,50124,57,446000.0,662.0,34.0,367000.0,36,1,1,1,364000,2023-04-27,2023-05-04,Auto,Salaried,Pune,1,342000,12.77
100033,50737,38,736000.0,723.0,18.0,654000.0,48,1,3,0,544000,2024-05-31,2024-06-03,Auto,Business Owner,Pune,0,0,
100034,50781,27,386000.0,632.0,0.0,670000.0,60,0,2,0,679000,2025-04-11,2025-04-15,Personal,Contract,Delhi,0,0,
100035,50173,46,616000.0,597.0,24.0,1435000.0,60,4,4,0,658000,2024-09-10,2024-09-12,Personal,Salaried,Kochi,0,0,
100036,50521,26,734000.0,695.0,6.0,473000.0,60,0,2,0,537000,2025-01-25,2025-01-27,Business,Self-Employed,Bengaluru,0,0,
100037,50739,40,514000.0,746.0,18.0,606000.0,84,0,0,0,0,2025-08-17,2025-08-22,Business,Self-Employed,Mumbai,1,501000,10.18
100038,51442,21,648000.0,580.0,4.0,194000.0,72,4,5,1,688000,2023-02-05,2023-02-07,Home,Self-Employed,Coimbatore,0,0,
100039,50160,25,389000.0,743.0,6.0,1817000.0,12,0,2,0,834000,2025-06-23,2025-06-30,Auto,Business Owner,Chennai,0,0,
100040,51143,40,547000.0,743.0,18.0,389000.0,84,0,3,0,1054000,2024-02-11,2024-02-12,Auto,Salaried,Pune,1,333000,10.0
100041,50961,45,790000.0,752.0,24.0,838000.0,48,0,1,0,119000,2024-02-16,2024-02-25,Auto,Self-Employed,Coimbatore,0,0,
100042,50871,40,644000.0,769.0,19.0,662000.0,48,0,0,0,0,2024-05-02,2024-05-12,Auto,Business Owner,Mumbai,1,568000,11.82
100043,50089,37,461000.0,833.0,17.0,663000.0,60,1,2,0,519000,2025-02-17,2025-02-18,Personal,Self-Employed,Pune,0,0,
100044,50692,35,664000.0,,6.0,1093000.0,60,0,1,0,262000,2025-04-11,2025-04-12,Education,Contract,Coimbatore,0,0,
100045,51354,23,828000.0,697.0,0.0,1755000.0,60,1,3,1,887000,2024-10-05,2024-10-14,Business,Contract,Mumbai,0,0,
100046,50450,31,239000.0,663.0,3.0,804000.0,48,1,3,0,629000,2024-02-17,2024-02-24,Business,Contract,Pune,0,0,
100047,50132,33,1011000.0,690.0,16.0,1004000.0,60,2,4,0,1036000,2023-05-04,2023-05-14,Auto,Self-Employed,Mumbai,1,782000,11.9
100048,50063,49,516000.0,,27.0,839000.0,36,0,2,1,564000,2025-10-02,2025-10-06,Auto,Business Owner,Delhi,0,0,
100049,50108,41,727000.0,603.0,18.0,1225000.0,60,3,6,0,2178000,2024-10-14,2024-10-17,Personal,Self-Employed,Hyderabad,0,0,
100050,51411,21,1028000.0,634.0,3.0,543000.0,36,3,5,1,582000,2023-08-20,2023-08-25,Personal,Business Owner,Kochi,0,0,
100051,51408,41,324000.0,780.0,21.0,1265000.0,24,3,4,0,1907000,2024-03-08,2024-03-10,Business,Self-Employed,Kochi,0,0,
100052,50321,34,436000.0,756.0,7.0,1289000.0,24,1,5,0,702000,2024-05-05,2024-05-11,Auto,Business Owner,Pune,0,0,
100053,51006,31,527000.0,666.0,9.0,1270000.0,48,0,2,1,732000,2023-03-27,2023-04-02,Auto,Self-Employed,Mumbai,0,0,
100054,50307,44,422000.0,746.0,21.0,487000.0,12,1,2,0,520000,2025-11-19,2025-11-20,Business,Salaried,Hyderabad,1,402000,11.52
100055,50760,48,1310000.0,712.0,19.0,638000.0,72,2,4,0,527000,2025-05-24,2025-06-03,Personal,Salaried,Pune,1,554000,10.98
100056,50281,47,408000.0,788.0,22.0,799000.0,24,2,4,1,1302000,2023-06-05,2023-06-14,Business,Business Owner,Pune,1,349000,12.39
100057,50208,30,467000.0,695.0,7.0,329000.0,48,1,3,0,467000,2025-01-26,2025-01-27,Personal,Contract,Mumbai,0,0,
100058,50809,35,658000.0,757.0,13.0,1683000.0,48,1,3,0,1280000,2025-06-16,2025-06-22,Personal,Contract,Delhi,0,0,
100059,50517,41,349000.0,850.0,13.0,695000.0,36,1,4,0,701000,2024-06-15,2024-06-22,Personal,Contract,Mumbai,1,347000,10.01
100060,50740,48,502000.0,729.0,31.0,818000.0,36,3,4,0,474000,2023-06-01,2023-06-09,Auto,Business Owner,Coimbatore,0,0,
100061,51216,33,692000.0,693.0,11.0,510000.0,60,1,4,0,2153000,2023-06-21,2023-06-23,Business,Salaried,Delhi,0,0,
100062,50919,36,517000.0,737.0,14.0,337000.0,72,1,4,1,1095000,2025-01-31,2025-02-08,Personal,Business Owner,Delhi,0,0,
100063,50622,27,575000.0,666.0,7.0,502000.0,24,0,3,0,1157000,2024-11-23,2024-12-03,Education,Self-Employed,Hyderabad,0,0,
100064,50166,26,473000.0,845.0,1.0,790000.0,36,0,2,0,327000,2023-07-14,2023-07-16,Personal,Self-Employed,Pune,1,705000,10.14
100065,50901,46,304000.0,702.0,26.0,1014000.0,12,2,4,0,388000,2023-04-10,2023-04-12,Personal,Self-Employed,Chennai,0,0,
100066,51085,52,693000.0,672.0,29.0,765000.0,72,0,1,0,578000,2025-09-28,2025-10-07,Personal,Self-Employed,Chennai,0,0,
100067,50642,37,1322000.0,636.0,11.0,847000.0,48,0,1,0,249000,2025-06-27,2025-07-04,Home,Self-Employed,Kochi,1,688000,14.15
100068,50003,48,605000.0,761.0,28.0,582000.0,72,4,7,0,2237000,2024-03-03,2024-03-11,Education,Self-Employed,Coimbatore,0,0,
100069,50647,42,664000.0,746.0,26.0,920000.0,60,1,2,0,694000,2024-08-09,2024-08-10,Auto,Contract,Chennai,0,0,
100070,50346,32,819000.0,658.0,13.0,1582000.0,36,0,1,0,211000,2025-07-08,2025-07-18,Business,Contract,Chennai,0,0,
100071,51484,42,339000.0,727.0,24.0,1031000.0,36,1,1,1,280000,2023-09-13,2023-09-19,Business,Self-Employed,Mumbai,1,672000,13.17
100072,50434,53,1291000.0,592.0,29.0,1093000.0,36,1,4,0,2219000,2024-12-21,2024-12-22,Business,Business Owner,Bengaluru,0,0,
100073,50956,38,657000.0,702.0,10.0,823000.0,72,1,5,0,1230000,2024-02-08,2024-02-13,Auto,Salaried,Bengaluru,0,0,
100074,50961,54,1250000.0,719.0,38.0,306000.0,24,0,2,1,801000,2025-08-17,2025-08-19,Personal,Self-Employed,Kochi,0,0,
100075,50705,21,431000.0,801.0,7.0,394000.0,84,5,8,0,739000,2024-08-02,2024-08-11,Education,Self-Employed,Kochi,0,0,
100076,50353,46,1360000.0,640.0,30.0,899000.0,84,0,0,0,0,2025-12-13,2025-12-16,Business,Business Owner,Chennai,0,0,
100077,50062,39,850000.0,607.0,16.0,696000.0,72,0,2,1,234000,2024-02-11,2024-02-21,Home,Contract,Coimbatore,0,0,
100078,51334,35,770000.0,632.0,8.0,892000.0,36,0,1,0,414000,2023-08-30,2023-09-06,Home,Business Owner,Coimbatore,0,0,
100079,51269,39,667000.0,603.0,13.0,1760000.0,72,1,3,1,912000,2023-02-16,2023-02-18,Education,Salaried,Hyderabad,0,0,
100080,50999,21,537000.0,777.0,0.0,1044000.0,48,3,5,0,1191000,2023-04-25,2023-05-05,Business,Salaried,Coimbatore,1,561000,12.97
100081,50508,36,1030000.0,791.0,14.0,1399000.0,36,0,3,1,714000,2025-10-13,2025-10-17,Personal,Business Owner,Coimbatore,0,0,
100082,50053,42,639000.0,711.0,26.0,737000.0,84,1,1,0,220000,2025-03-16,2025-03-26,Business,Self-Employed,Mumbai,0,0,
100083,50399,53,248000.0,769.0,30.0,449000.0,72,0,1,0,166000,2023-05-10,2023-05-13,Personal,Contract,Mumbai,0,0,
100084,51132,33,363000.0,699.0,12.0,678000.0,12,0,1,0,226000,2025-09-20,2025-09-21,Business,Self-Employed,Pune,0,0,
100085,50804,30,552000.0,684.0,14.0,450000.0,36,0,1,1,754000,2024-05-09,2024-05-19,Home,Self-Employed,Chennai,0,0,
100086,50394,33,690000.0,668.0,9.0,1649000.0,60,0,3,0,1438000,2023-03-23,2023-03-29,Auto,Self-Employed,Pune,1,1502000,13.49
100087,51399,47,585000.0,670.0,33.0,1081000.0,60,1,2,0,323000,2025-08-22,2025-08-27,Education,Self-Employed,Coimbatore,1,521000,12.01
100088,51439,41,1038000.0,589.0,27.0,932000.0,84,1,1,0,286000,2024-10-30,2024-11-05,Personal,Contract,Bengaluru,1,798000,13.92
100089,50499,33,249000.0,707.0,10.0,1381000.0,84,2,6,0,1574000,2025-11-14,2025-11-15,Auto,Business Owner,Coimbatore,0,0,
100090,50724,43,640000.0,687.0,19.0,230000.0,12,1,4,0,931000,2025-03-19,2025-03-27,Personal,Salaried,Delhi,0,0,
100091,50069,39,265000.0,738.0,20.0,967000.0,60,3,4,1,606000,2025-11-30,2025-12-04,Education,Salaried,Kochi,1,422000,12.57
100092,50476,48,845000.0,696.0,25.0,340000.0,84,1,2,0,625000,2024-03-20,2024-03-27,Auto,Contract,Coimbatore,0,0,
100093,50098,31,575000.0,679.0,4.0,697000.0,24,1,2,0,763000,2025-05-18,2025-05-26,Auto,Business Owner,Kochi,0,0,
100094,50016,35,725000.0,633.0,18.0,590000.0,84,0,2,0,330000,2024-07-14,2024-07-17,Education,Contract,Chennai,0,0,
100095,51103,34,407000.0,695.0,17.0,1007000.0,48,3,4,0,2659000,2023-02-26,2023-03-02,Education,Self-Employed,Bengaluru,1,685000,12.62
100096,51322,23,1067000.0,738.0,2.0,794000.0,48,5,7,0,3746000,2023-01-06,2023-01-15,Personal,Contract,Kochi,0,0,
100097,50410,41,959000.0,616.0,14.0,1467000.0,24,0,1,0,329000,2025-08-02,2025-08-11,Auto,Business Owner,Chennai,0,0,
100098,51282,41,780000.0,696.0,14.0,503000.0,60,3,4,0,540000,2024-08-01,2024-08-08,Education,Salaried,Coimbatore,1,378000,11.43
100099,51235,38,566000.0,705.0,16.0,1034000.0,12,0,1,0,306000,2025-07-03,2025-07-06,Personal,Contract,Bengaluru,0,0,
100100,50184,36,779000.0,643.0,12.0,765000.0,12,2,8,0,2303000,2023-06-11,2023-06-15,Business,Salaried,Coimbatore,0,0,
100101,50195,24,437000.0,652.0,1.0,285000.0,48,1,3,0,969000,2025-02-13,2025-02-20,Education,Salaried,Kochi,0,0,
100102,50040,34,882000.0,705.0,16.0,422000.0,84,0,0,0,0,2023-02-26,2023-03-04,Auto,Salaried,Pune,0,0,
100103,50703,35,1260000.0,616.0,16.0,645000.0,72,0,1,0,229000,2024-06-11,2024-06-17,Business,Business Owner,Chennai,0,0,
100104,50453,30,971000.0,713.0,14.0,1291000.0,84,1,2,0,1392000,2025-12-18,2025-12-22,Education,Self-Employed,Kochi,0,0,
100105,51339,36,432000.0,632.0,10.0,903000.0,12,0,5,0,1532000,2024-06-29,2024-07-09,Home,Self-Employed,Delhi,1,456000,12.43
100106,50992,42,706000.0,759.0,19.0,368000.0,84,4,5,0,1081000,2023-02-15,2023-02-23,Auto,Business Owner,Chennai,1,308000,11.28
100107,50061,57,335000.0,842.0,38.0,648000.0,24,1,2,0,1660000,2025-07-21,2025-07-30,Auto,Self-Employed,Mumbai,0,0,
100108,50479,40,776000.0,634.0,20.0,2124000.0,48,2,5,1,1893000,2025-03-21,2025-03-31,Personal,Self-Employed,Bengaluru,0,0,
100109,50036,41,735000.0,725.0,25.0,744000.0,36,1,3,0,597000,2023-02-16,2023-02-23,Home,Self-Employed,Mumbai,0,0,
100110,51252,37,259000.0,643.0,17.0,585000.0,84,2,7,0,1825000,2023-09-09,2023-09-17,Education,Contract,Kochi,0,0,
100111,50543,21,356000.0,758.0,,917000.0,24,0,1,0,343000,2023-06-15,2023-06-25,Home,Self-Employed,Pune,0,0,
100112,51147,38,528000.0,608.0,18.0,1065000.0,24,0,0,0,0,2024-01-03,2024-01-05,Education,Contract,Delhi,0,0,
100113,50263,39,524000.0,721.0,21.0,545000.0,12,3,6,1,1604000,2024-08-04,2024-08-08,Personal,Salaried,Bengaluru,0,0,
100114,50123,63,348000.0,633.0,40.0,923000.0,72,0,2,1,332000,2024-07-25,2024-07-28,Business,Contract,Kochi,0,0,
100115,50218,36,715000.0,677.0,14.0,584000.0,12,1,3,0,323000,2023-12-14,2023-12-20,Home,Self-Employed,Hyderabad,0,0,
100116,51370,41,672000.0,623.0,23.0,1040000.0,84,0,1,0,264000,2025-04-24,2025-04-26,Auto,Business Owner,Delhi,0,0,
100117,50276,38,550000.0,743.0,22.0,768000.0,12,1,4,0,1073000,2024-09-09,2024-09-16,Education,Salaried,Bengaluru,1,746000,13.05
100118,51122,26,427000.0,636.0,7.0,912000.0,36,0,1,0,325000,2024-05-11,2024-05-19,Home,Salaried,Delhi,1,505000,14.15
100119,50929,49,962000.0,726.0,27.0,461000.0,24,1,1,0,187000,2024-11-26,2024-11-30,Education,Contract,Delhi,1,382000,12.75
100120,51491,46,1264000.0,668.0,30.0,446000.0,60,2,3,2,384000,2024-05-25,2024-06-02,Home,Business Owner,Kochi,1,443000,13.0
100121,50913,46,483000.0,683.0,15.0,1177000.0,48,0,2,0,309000,2024-03-27,2024-04-04,Auto,Self-Employed,Coimbatore,0,0,
100122,50006,29,456000.0,700.0,1.0,670000.0,12,3,4,0,1695000,2024-06-26,2024-06-29,Education,Contract,Bengaluru,1,451000,13.17
100123,50123,52,748000.0,640.0,33.0,819000.0,12,4,4,0,717000,2023-08-04,2023-08-05,Education,Contract,Mumbai,0,0,
100124,51110,24,511000.0,704.0,2.0,591000.0,24,0,2,1,401000,2024-04-14,2024-04-17,Business,Salaried,Chennai,1,553000,12.37
100125,51105,44,564000.0,789.0,24.0,1148000.0,36,3,5,0,1069000,2025-05-02,2025-05-12,Personal,Contract,Chennai,1,1025000,11.37
100126,50916,60,837000.0,639.0,38.0,501000.0,12,1,4,0,734000,2023-10-31,2023-11-01,Home,Business Owner,Kochi,1,487000,11.93
100127,50362,28,254000.0,766.0,8.0,650000.0,36,0,2,0,354000,2023-10-25,2023-10-27,Auto,Contract,Bengaluru,1,503000,9.44
100128,51450,32,1086000.0,787.0,7.0,1079000.0,36,2,2,0,323000,2023-10-13,2023-10-21,Business,Contract,Hyderabad,1,916000,10.9
100129,50703,39,620000.0,637.0,19.0,1334000.0,84,0,0,0,0,2025-10-08,2025-10-12,Business,Business Owner,Chennai,1,1160000,14.54
100130,50041,33,499000.0,595.0,15.0,525000.0,60,0,0,0,0,2023-05-06,2023-05-15,Personal,Contract,Pune,0,0,
100131,51372,22,576000.0,710.0,5.0,2057000.0,36,2,3,0,1400000,2023-02-20,2023-02-27,Auto,Self-Employed,Chennai,0,0,
100132,50114,39,590000.0,654.0,25.0,832000.0,60,0,2,0,1032000,2025-12-10,2025-12-13,Home,Contract,Delhi,0,0,
100133,50200,27,275000.0,811.0,6.0,394000.0,48,2,4,0,309000,2024-04-15,2024-04-16,Education,Self-Employed,Pune,0,0,
100134,51159,43,1176000.0,692.0,22.0,858000.0,36,3,5,0,1484000,2024-10-31,2024-11-01,Personal,Business Owner,Pune,1,735000,12.51
100135,50199,29,611000.0,638.0,1.0,567000.0,48,1,1,1,186000,2024-03-13,2024-03-14,Education,Self-Employed,Pune,1,523000,12.52
100136,50157,53,732000.0,615.0,29.0,889000.0,36,0,1,1,437000,2025-04-30,2025-05-10,Business,Business Owner,Chennai,1,710000,13.37
100137,51347,30,921000.0,761.0,7.0,684000.0,60,1,2,1,345000,2023-12-08,2023-12-11,Education,Self-Employed,Hyderabad,0,0,
100138,51330,35,379000.0,653.0,17.0,729000.0,60,2,3,0,443000,2025-01-18,2025-01-23,Home,Self-Employed,Mumbai,0,0,
100139,50850,46,742000.0,693.0,22.0,424000.0,48,1,3,1,366000,2024-06-07,2024-06-15,Home,Business Owner,Bengaluru,0,0,
100140,50044,26,532000.0,752.0,7.0,1207000.0,24,3,4,1,860000,2024-10-16,2024-10-24,Education,Business Owner,Pune,0,0,
100141,50323,40,878000.0,659.0,18.0,371000.0,24,2,3,1,1185000,2024-05-20,2024-05-22,Education,Self-Employed,Kochi,0,0,
100142,50222,51,230000.0,687.0,28.0,380000.0,24,6,8,0,2273000,2024-02-03,2024-02-12,Personal,Business Owner,Hyderabad,0,0,
100143,50259,22,574000.0,689.0,1.0,857000.0,36,0,1,0,137000,2025-06-24,2025-07-03,Home,Salaried,Delhi,0,0,
100144,50602,40,457000.0,734.0,16.0,1690000.0,24,1,1,0,733000,2023-03-02,2023-03-09,Education,Contract,Delhi,0,0,
100145,51474,41,729000.0,728.0,17.0,577000.0,48,1,3,1,1038000,2023-11-09,2023-11-19,Auto,Self-Employed,Bengaluru,0,0,
100146,50615,46,741000.0,676.0,17.0,1029000.0,24,3,5,1,1844000,2023-09-22,2023-09-27,Personal,Salaried,Coimbatore,0,0,
100147,50994,26,436000.0,694.0,3.0,1263000.0,48,2,6,1,2852000,2025-11-18,2025-11-23,Personal,Salaried,Pune,0,0,
100148,51382,25,435000.0,666.0,1.0,1096000.0,48,0,4,0,440000,2024-12-12,2024-12-20,Personal,Salaried,Bengaluru,1,900000,13.83
100149,50717,43,571000.0,594.0,19.0,590000.0,72,3,5,0,792000,2025-07-01,2025-07-09,Personal,Business Owner,Pune,0,0,
100150,50843,41,401000.0,707.0,21.0,384000.0,36,0,1,1,377000,2023-12-05,2023-12-10,Education,Contract,Chennai,1,370000,12.67
100151,50869,41,876000.0,813.0,22.0,208000.0,72,1,4,0,667000,2023-03-30,2023-04-05,Business,Self-Employed,Hyderabad,1,186000,12.17
100152,51287,41,508000.0,633.0,20.0,606000.0,60,1,1,0,218000,2023-11-28,2023-12-04,Auto,Contract,Pune,0,0,
100153,50027,31,180000.0,640.0,13.0,1338000.0,36,5,7,0,1683000,2023-06-01,2023-06-07,Business,Self-Employed,Hyderabad,0,0,
100154,51031,40,,633.0,20.0,377000.0,36,0,0,0,0,2024-12-08,2024-12-13,Business,Contract,Mumbai,0,0,
100155,51288,41,376000.0,737.0,18.0,1029000.0,12,0,2,0,417000,2023-05-06,2023-05-15,Education,Contract,Coimbatore,1,632000,11.17
100156,50356,31,288000.0,719.0,7.0,415000.0,24,1,3,1,1185000,2025-12-02,2025-12-03,Personal,Salaried,Delhi,0,0,
100157,50554,57,344000.0,680.0,36.0,742000.0,24,1,4,1,1440000,2024-02-25,2024-03-06,Personal,Business Owner,Delhi,0,0,
100158,51245,43,630000.0,630.0,23.0,1033000.0,48,0,2,1,872000,2023-09-10,2023-09-13,Education,Self-Employed,Mumbai,1,895000,12.32
100159,51178,26,1091000.0,696.0,10.0,487000.0,60,0,2,0,828000,2025-09-25,2025-10-02,Education,Self-Employed,Mumbai,1,383000,13.03
100160,50573,45,691000.0,588.0,28.0,769000.0,72,5,6,0,1837000,2023-10-20,2023-10-29,Home,Self-Employed,Coimbatore,0,0,
100161,50276,28,457000.0,699.0,4.0,557000.0,24,2,2,0,589000,2023-06-18,2023-06-20,Personal,Salaried,Chennai,1,549000,12.5
100162,50221,46,737000.0,747.0,24.0,1032000.0,24,4,4,0,1135000,2025-01-03,2025-01-07,Auto,Salaried,Hyderabad,1,811000,9.9
100163,51111,50,488000.0,609.0,31.0,797000.0,84,1,2,0,365000,2023-01-16,2023-01-24,Home,Salaried,Bengaluru,0,0,
100164,50051,30,439000.0,590.0,12.0,722000.0,60,3,7,0,1046000,2023-02-06,2023-02-11,Business,Salaried,Coimbatore,0,0,
100165,50842,48,357000.0,793.0,30.0,1649000.0,24,0,0,0,0,2023-10-23,2023-10-31,Personal,Salaried,Mumbai,0,0,
100166,50240,42,273000.0,650.0,20.0,1008000.0,12,0,0,0,0,2024-03-10,2024-03-12,Education,Contract,Kochi,0,0,
100167,51396,46,503000.0,764.0,19.0,479000.0,84,2,2,0,360000,2023-11-16,2023-11-24,Education,Self-Employed,Delhi,1,385000,11.33
100168,50128,57,644000.0,680.0,31.0,668000.0,24,2,3,0,922000,2024-06-17,2024-06-23,Education,Contract,Bengaluru,1,550000,12.92
100169,50798,36,574000.0,679.0,15.0,671000.0,12,0,1,0,277000,2024-07-27,2024-08-01,Personal,Salaried,Pune,0,0,
100170,50229,30,498000.0,718.0,9.0,732000.0,36,0,1,0,292000,2025-07-11,2025-07-13,Auto,Business Owner,Coimbatore,1,452000,14.01
100171,51371,29,392000.0,633.0,3.0,2806000.0,36,3,4,2,1192000,2025-11-05,2025-11-12,Education,Salaried,Pune,0,0,
100172,50195,30,789000.0,699.0,8.0,858000.0,12,2,2,0,909000,2025-09-07,2025-09-08,Personal,Salaried,Coimbatore,0,0,
100173,50101,37,332000.0,665.0,18.0,228000.0,72,1,2,0,498000,2024-01-30,2024-02-05,Business,Salaried,Chennai,1,197000,12.13
100174,51329,41,851000.0,604.0,14.0,519000.0,72,0,2,0,828000,2023-10-04,2023-10-07,Home,Self-Employed,Pune,0,0,
100175,51028,41,382000.0,712.0,23.0,242000.0,48,1,3,0,971000,2024-10-10,2024-10-16,Personal,Self-Employed,Chennai,0,0,
100176,50797,46,428000.0,673.0,22.0,584000.0,12,2,2,1,880000,2023-10-10,2023-10-11,Personal,Business Owner,Hyderabad,1,554000,12.25
100177,50712,38,310000.0,680.0,21.0,235000.0,84,2,4,1,2242000,2025-09-25,2025-09-26,Education,Self-Employed,Hyderabad,0,0,
100178,50162,53,479000.0,611.0,29.0,433000.0,48,2,3,0,1001000,2023-03-27,2023-03-29,Home,Salaried,Bengaluru,0,0,
100179,51264,35,931000.0,793.0,9.0,303000.0,60,4,5,1,1317000,2023-07-26,2023-08-05,Home,Business Owner,Hyderabad,1,235000,13.38
100180,50393,65,757000.0,747.0,40.0,865000.0,60,1,3,0,787000,2024-07-16,2024-07-23,Education,Business Owner,Kochi,1,629000,11.81
100181,51210,44,932000.0,753.0,22.0,700000.0,84,3,3,0,593000,2024-04-21,2024-04-25,Auto,Business Owner,Pune,0,0,
100182,51105,29,759000.0,670.0,5.0,827000.0,12,3,4,0,777000,2024-08-14,2024-08-18,Personal,Salaried,Pune,1,637000,11.72
100183,50749,27,365000.0,578.0,4.0,661000.0,84,1,2,0,785000,2023-05-11,2023-05-15,Education,Self-Employed,Coimbatore,0,0,
100184,50081,43,517000.0,817.0,22.0,325000.0,48,1,3,0,463000,2024-02-04,2024-02-09,Auto,Contract,Kochi,0,0,
100185,50876,36,422000.0,686.0,13.0,928000.0,36,1,1,0,561000,2023-05-16,2023-05-18,Education,Self-Employed,Coimbatore,0,0,
100186,50201,45,1092000.0,641.0,23.0,2015000.0,12,2,2,1,463000,2023-06-19,2023-06-26,Business,Contract,Coimbatore,0,0,
100187,50703,43,350000.0,717.0,14.0,877000.0,12,0,0,0,0,2025-08-26,2025-08-29,Auto,Salaried,Pune,1,496000,11.12
100188,50682,37,897000.0,766.0,17.0,554000.0,48,0,1,0,177000,2023-07-18,2023-07-21,Auto,Self-Employed,Coimbatore,1,521000,11.81
