Customer_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Tenure_Months,Debt_to_Income,Interest_Rate,Gender,Employment_Type,Education_Level,Marital_Status,Loan_Type,Loan_Default
CUST00072,46,165074.31,783.0,491133.79,84,0.07,10.3,Male,Salaried,Master,Widowed,Education Loan,No
CUST00073,64,69223.85,605.0,317716.76,84,0.2,9.52,Male,Salaried,Bachelor,Divorced,Business Loan,No
CUST00074,54,113305.68,723.0,131279.94,84,0.34,5.28,Male,Salaried,Master,Single,Business Loan,No
CUST00075,30,128643.09,565.0,89779.37,84,0.3,6.19,Male,Self-Employed,Bachelor,Married,Business Loan,No
CUST00076,56,91215.67,757.0,101588.08,72,0.69,13.85,Female,Self-Employed,High School,Married,Home Loan,No
CUST00077,34,133632.76,711.0,19699.87,84,0.08,16.43,Other,Contract,PhD,Married,Business Loan,No
CUST00078,51,163746.13,761.0,201434.23,48,0.41,11.68,Male,Business,PhD,Single,Education Loan,No
CUST00079,68,119104.45,671.0,103799.56,48,0.53,12.01,Male,Business,Master,Married,Personal Loan,No
CUST00080,35,105444.53,647.0,211711.18,60,0.7,8.32,Male,Salaried,Diploma,Single,Business Loan,Yes
CUST00081,28,89076.64,741.0,468147.27,72,0.48,14.98,Other,Self-Employed,PhD,Divorced,Personal Loan,No
CUST00082,34,111552.78,582.0,220964.7,36,0.61,14.77,Male,Self-Employed,Bachelor,Divorced,Education Loan,No
CUST00083,43,75568.72,549.0,440212.4,12,0.11,12.65,Other,Salaried,Diploma,Single,Business Loan,No
CUST00084,60,81420.1,680.0,306697.34,84,0.32,7.76,Female,Salaried,Diploma,Married,Home Loan,No
CUST00085,41,104160.91,651.0,131094.46,60,0.31,6.26,Female,Contract,PhD,Single,Home Loan,No
CUST00086,36,28792.3,722.0,184368.83,12,0.67,5.84,Female,Business,PhD,Single,Personal Loan,No
CUST00087,65,55102.11,762.0,51120.57,48,0.16,12.71,Other,Business,PhD,Widowed,Home Loan,No
CUST00088,38,,720.0,173396.67,60,0.16,15.73,Male,Business,Bachelor,Single,Home Loan,No
CUST00089,67,87907.56,756.0,341995.06,60,0.28,16.16,Male,Contract,Diploma,Widowed,Home Loan,Yes
CUST00090,44,71916.16,704.0,45334.44,24,0.09,11.03,Male,Salaried,Master,Divorced,Education Loan,No
CUST00091,46,136348.96,717.0,110646.69,48,0.18,15.2,Male,Salaried,Bachelor,Widowed,Home Loan,No
CUST00092,45,130382.25,671.0,196906.11,48,0.73,17.31,Male,Business,High School,Single,Car Loan,Yes
CUST00093,65,45010.38,715.0,491204.27,72,0.35,8.58,Other,Business,PhD,Divorced,Business Loan,No
CUST00094,61,160337.92,692.0,394582.29,60,0.49,10.17,Female,Contract,Diploma,Widowed,Home Loan,No
CUST00095,49,98258.63,704.0,369408.51,84,0.56,17.11,Male,Self-Employed,Bachelor,Single,Home Loan,No
CUST00096,35,138116.67,667.0,66933.57,48,0.31,9.4,Female,Self-Employed,High School,Divorced,Home Loan,No
CUST00097,65,110850.44,741.0,392687.99,60,0.15,16.88,Other,Business,Bachelor,Widowed,Car Loan,No
CUST00098,21,179626.2,627.0,394781.72,72,0.19,17.75,Other,Contract,Bachelor,Single,Home Loan,No
CUST00099,45,139889.31,679.0,304540.32,84,0.27,13.6,Male,Business,Master,Single,Home Loan,No
CUST00100,27,132530.83,778.0,495277.27,72,0.5,15.62,Other,Self-Employed,Master,Married,Business Loan,No
CUST00101,29,144128.65,609.0,169374.41,24,0.33,14.74,Female,Business,Bachelor,Married,Car Loan,Yes
CUST00102,44,41186.73,518.0,471223.5,84,0.05,14.09,Male,Self-Employed,High School,Widowed,Car Loan,No
CUST00103,21,51136.22,707.0,458218.25,60,0.42,8.99,Male,Self-Employed,Diploma,Widowed,Home Loan,No
CUST00104,64,133678.38,661.0,15625.52,48,0.7,5.74,Female,Self-Employed,Diploma,Widowed,Car Loan,No
CUST00105,28,98025.0,756.0,230557.1,48,0.62,9.46,Male,Salaried,PhD,Single,Personal Loan,No
CUST00106,44,140250.92,670.0,488781.07,60,0.63,13.67,Male,Salaried,PhD,Widowed,Car Loan,No
CUST00107,31,34672.4,635.0,60529.47,60,0.61,6.33,Female,Business,Diploma,Single,Car Loan,No
CUST00108,37,104909.98,674.0,278414.5,60,0.28,5.15,Male,Self-Employed,Bachelor,Widowed,Car Loan,No
CUST00109,28,79369.09,762.0,489689.18,36,0.59,6.82,Male,Salaried,Bachelor,Single,Education Loan,Yes
CUST00110,55,92034.04,723.0,282192.76,84,0.15,14.3,Female,Business,Master,Single,Education Loan,No
CUST00111,55,115841.18,497.0,103009.5,48,0.51,17.65,Other,Business,Master,Married,Education Loan,No
CUST00112,53,99370.71,694.0,295269.78,84,0.5,17.78,Female,Business,PhD,Divorced,Car Loan,No
CUST00113,25,105457.42,698.0,110175.88,72,0.07,11.42,Male,Business,Diploma,Single,Personal Loan,No
CUST00114,62,96789.91,679.0,264655.09,48,0.6,16.3,Female,Business,Bachelor,Widowed,Car Loan,No
CUST00115,59,84250.74,634.0,46280.69,36,0.68,14.58,Male,Contract,Diploma,Married,Home Loan,No
CUST00116,61,143044.88,770.0,306686.51,60,0.24,11.51,Male,Self-Employed,High School,Widowed,Personal Loan,No
CUST00117,48,19976.9,773.0,263227.07,24,0.62,12.45,Female,Business,Diploma,Widowed,Education Loan,No
CUST00118,27,114947.72,515.0,372679.07,60,0.11,6.78,Male,Contract,High School,Single,Business Loan,No
CUST00119,29,109612.35,620.0,319043.23,60,0.47,17.19,Other,Self-Employed,Master,Single,Personal Loan,No
CUST00120,28,134021.01,669.0,279307.07,36,0.39,9.58,Male,Salaried,Master,Divorced,Education Loan,No
CUST00121,32,115042.76,751.0,347991.64,84,0.43,10.8,Female,Business,PhD,Single,Personal Loan,No
CUST00122,54,151941.41,683.0,80531.54,48,0.7,13.73,Other,Contract,Diploma,Single,Personal Loan,Yes
CUST00123,53,173370.12,629.0,301726.23,60,0.66,9.34,Other,Salaried,Diploma,Divorced,Car Loan,No
CUST00124,68,73488.93,733.0,94334.2,48,0.6,8.31,Male,Contract,High School,Widowed,Home Loan,No
CUST00125,43,54830.86,664.0,463505.88,12,0.24,13.2,Female,Self-Employed,Master,Divorced,Business Loan,No
CUST00126,44,86622.69,671.0,43483.71,72,0.69,5.32,Male,Self-Employed,High School,Divorced,Education Loan,No
CUST00127,57,64644.6,678.0,220883.63,84,0.12,14.37,Male,Salaried,Master,Divorced,Personal Loan,No
CUST00128,55,117621.94,723.0,350940.76,48,0.65,11.68,Female,Contract,High School,Married,Business Loan,No
CUST00129,64,165720.09,657.0,234430.88,24,0.28,12.87,Female,Business,Master,Widowed,Personal Loan,No
CUST00130,60,40536.82,732.0,55126.67,72,0.09,13.21,Male,Business,High School,Married,Home Loan,No
CUST00131,42,34328.73,675.0,281155.72,24,0.52,11.85,Other,Salaried,Master,Married,Business Loan,No
CUST00132,47,59474.52,600.0,324399.64,60,0.21,12.57,Male,Salaried,High School,Single,Education Loan,Yes
CUST00133,55,135627.48,677.0,354858.23,72,0.22,13.89,Other,Salaried,Diploma,Divorced,Personal Loan,Yes
CUST00134,21,114059.99,604.0,192897.31,48,0.26,14.79,Male,Contract,PhD,Divorced,Home Loan,No
CUST00135,55,34558.45,683.0,286193.39,72,0.09,14.46,Female,Business,High School,Married,Business Loan,No
CUST00136,57,166837.58,742.0,230836.37,60,0.17,16.31,Other,Business,PhD,Single,Personal Loan,No
CUST00137,67,145993.71,599.0,339307.46,36,0.05,7.46,Female,Business,Diploma,Single,Personal Loan,No
CUST00138,34,21729.66,707.0,295942.91,84,0.36,10.21,Female,Salaried,Diploma,Single,Education Loan,No
CUST00139,23,123521.49,618.0,267620.55,24,0.11,17.32,Female,Business,Master,Widowed,Home Loan,No
CUST00140,21,142941.96,695.0,132266.94,60,0.53,10.16,Female,Self-Employed,PhD,Married,Car Loan,No
CUST00141,25,78658.53,745.0,10989.07,36,0.21,6.62,Female,Salaried,Bachelor,Widowed,Personal Loan,No
CUST00142,46,29165.29,520.0,95300.02,72,0.71,11.83,Male,Business,Master,Single,Business Loan,No
CUST00143,34,30526.01,596.0,67362.36,72,0.66,6.42,Other,Contract,PhD,Single,Education Loan,No
CUST00144,59,34888.01,652.0,230051.53,60,0.25,7.64,Male,Salaried,High School,Single,Education Loan,No
CUST00145,47,154151.22,704.0,310006.49,48,0.6,17.98,Male,Self-Employed,High School,Divorced,Personal Loan,Yes
CUST00146,29,165531.16,668.0,114411.65,72,0.61,12.04,Male,Self-Employed,Diploma,Married,Personal Loan,No
CUST00147,35,37895.35,677.0,470137.98,48,0.74,8.69,Female,Contract,Bachelor,Divorced,Personal Loan,No
CUST00148,35,56216.78,833.0,13274.24,48,0.47,17.93,Male,Contract,High School,Widowed,Car Loan,Yes
CUST00149,46,44814.32,589.0,388427.5,84,0.11,17.57,Other,Salaried,PhD,Divorced,Personal Loan,No
CUST00150,62,48183.98,765.0,316350.34,48,0.5,10.73,Male,Salaried,PhD,Married,Home Loan,No
CUST00151,33,153673.51,654.0,193041.85,12,0.49,8.39,Female,Self-Employed,High School,Divorced,Business Loan,No
CUST00152,52,71807.72,721.0,34739.58,84,0.5,15.9,Other,Contract,PhD,Single,Personal Loan,No
CUST00153,59,68453.97,840.0,317468.42,36,0.27,14.3,Other,Salaried,PhD,Widowed,Car Loan,No
CUST00154,69,54838.09,732.0,198950.62,36,0.65,13.93,Other,Self-Employed,Diploma,Widowed,Business Loan,No
CUST00155,52,116478.89,708.0,468770.9,72,0.72,16.61,Other,Contract,Bachelor,Single,Education Loan,No
CUST00156,24,79447.52,800.0,275575.14,72,0.2,13.96,Male,Self-Employed,Diploma,Single,Personal Loan,No
CUST00157,50,138568.44,764.0,470429.24,48,0.11,8.69,Female,Business,Bachelor,Single,Business Loan,Yes
CUST00158,57,51303.93,620.0,118037.01,84,0.19,14.02,Other,Contract,PhD,Married,Education Loan,No
CUST00159,43,145621.96,702.0,365605.7,84,0.62,8.98,Other,Salaried,Bachelor,Divorced,Car Loan,Yes
CUST00160,59,115802.89,551.0,312452.02,12,0.52,14.87,Female,Salaried,PhD,Widowed,Home Loan,No
CUST00161,65,36511.3,639.0,372310.03,48,0.5,13.06,Male,Business,PhD,Divorced,Personal Loan,No
CUST00162,35,85149.74,704.0,115187.25,12,0.33,6.01,Other,Contract,Diploma,Single,Home Loan,No
CUST00163,63,157889.94,635.0,335847.31,48,0.45,11.67,Male,Self-Employed,Diploma,Single,Car Loan,No
CUST00164,49,167519.56,701.0,254039.79,24,0.27,9.46,Male,Salaried,Master,Divorced,Business Loan,Yes
CUST00165,56,93443.42,679.0,373984.24,24,0.38,9.27,Male,Business,High School,Widowed,Business Loan,No
CUST00166,33,95895.59,720.0,170251.88,60,0.61,12.83,Male,Business,Master,Married,Car Loan,Yes
CUST00167,52,166789.67,648.0,446127.94,48,0.74,9.19,Other,Contract,Master,Divorced,Car Loan,Yes
CUST00168,27,113105.05,609.0,51307.64,84,0.7,15.1,Other,Contract,Bachelor,Single,Personal Loan,No
CUST00169,42,23321.16,791.0,405522.77,72,0.7,5.92,Male,Salaried,PhD,Single,Education Loan,Yes
CUST00170,48,165865.41,643.0,432046.62,36,0.33,13.59,Male,Business,PhD,Married,Home Loan,No
CUST00171,22,58212.68,730.0,410453.63,60,0.38,15.52,Female,Self-Employed,PhD,Divorced,Home Loan,No
CUST00172,62,111576.38,788.0,261235.93,72,0.54,13.75,Female,Business,High School,Married,Business Loan,No
CUST00173,65,44813.16,692.0,224808.64,24,0.7,11.46,Female,Self-Employed,Bachelor,Married,Business Loan,Yes
CUST00174,26,23488.42,616.0,498168.52,48,0.15,17.35,Other,Self-Employed,Bachelor,Widowed,Personal Loan,Yes
CUST00175,48,68458.65,667.0,122294.26,60,0.26,8.9,Female,Salaried,PhD,Widowed,Car Loan,Yes
CUST00176,48,144440.3,756.0,277969.22,48,0.15,5.25,Other,Business,Master,Single,Home Loan,No
CUST00177,64,62969.12,695.0,338631.01,24,0.48,10.62,Other,Self-Employed,High School,Divorced,Personal Loan,No
CUST00178,64,53655.75,590.0,353425.14,60,0.26,5.43,Other,Contract,Master,Widowed,Business Loan,No
CUST00179,40,52454.29,725.0,109972.09,24,0.28,17.4,Other,Self-Employed,Diploma,Single,Business Loan,No
CUST00180,50,101458.14,738.0,330457.11,12,0.1,7.73,Female,Contract,Bachelor,Divorced,Home Loan,No
CUST00181,31,176037.69,653.0,411001.09,24,0.29,15.26,Male,Contract,Bachelor,Single,Business Loan,No
CUST00182,48,92356.22,726.0,34509.1,84,0.65,15.07,Male,Business,Master,Widowed,Business Loan,Yes
CUST00183,45,108283.47,698.0,456645.43,84,0.21,7.83,Male,Contract,High School,Single,Education Loan,No
CUST00184,59,157422.39,665.0,24456.99,48,0.54,13.08,Female,Self-Employed,Bachelor,Divorced,Car Loan,No
CUST00185,53,104681.29,583.0,184425.81,36,0.49,5.63,Male,Contract,Master,Divorced,Business Loan,No
CUST00186,21,47882.99,761.0,17748.47,24,0.65,11.29,Female,Business,High School,Single,Education Loan,No
CUST00187,47,66534.54,737.0,47801.13,72,0.14,5.19,Female,Salaried,Master,Divorced,Personal Loan,No
CUST00188,33,68209.78,724.0,456472.46,84,0.73,16.97,Female,Self-Employed,High School,Single,Business Loan,Yes
CUST00189,61,82365.53,796.0,183881.81,36,0.46,17.69,Male,Self-Employed,PhD,Divorced,Personal Loan,No
CUST00190,23,87139.8,751.0,218138.05,12,0.75,7.89,Male,Business,High School,Single,Business Loan,Yes
CUST00191,59,147564.69,731.0,115518.75,60,0.69,7.71,Male,Business,Diploma,Single,Home Loan,No
CUST00192,26,74600.69,514.0,302576.93,60,0.21,14.8,Other,Business,PhD,Single,Education Loan,Yes
CUST00193,28,93853.56,770.0,301453.58,84,0.09,8.29,Female,Business,Master,Married,Education Loan,No
CUST00194,47,119246.11,686.0,192378.19,36,0.23,16.64,Other,Self-Employed,PhD,Divorced,Home Loan,No
CUST00195,29,79191.6,703.0,173187.09,84,0.42,12.46,Female,Salaried,PhD,Widowed,Car Loan,No
CUST00196,57,153523.5,704.0,443632.51,60,0.17,9.56,Male,Contract,Master,Single,Education Loan,No
CUST00197,53,113167.48,738.0,197809.28,24,0.17,15.83,Female,Contract,Master,Married,Personal Loan,No
CUST00198,62,65635.24,764.0,251815.49,36,0.37,11.41,Female,Salaried,Diploma,Widowed,Education Loan,No
CUST00199,64,133677.59,728.0,148819.33,48,0.07,16.85,Other,Salaried,Master,Single,Car Loan,Yes
CUST00200,44,103478.93,716.0,395517.06,24,0.14,17.06,Female,Salaried,Bachelor,Widowed,Personal Loan,No
CUST00201,35,104581.85,697.0,204749.6,24,0.34,7.15,Male,Business,Bachelor,Married,Personal Loan,No
CUST00202,52,95936.25,429.0,261669.41,24,0.09,5.03,Female,Self-Employed,Diploma,Widowed,Home Loan,No
CUST00203,52,98515.94,658.0,134145.01,48,0.33,17.79,Female,Self-Employed,High School,Single,Business Loan,No
CUST00204,44,141987.72,609.0,493953.2,12,0.38,16.78,Female,Self-Employed,High School,Widowed,Home Loan,Yes
CUST00205,61,34683.0,771.0,152832.91,72,0.37,5.72,Other,Business,Bachelor,Widowed,Business Loan,No
CUST00206,69,72166.78,726.0,387663.84,84,0.66,15.83,Female,Self-Employed,Master,Single,Home Loan,No
CUST00207,69,30231.54,646.0,219472.87,60,0.42,10.95,Female,Business,Diploma,Married,Business Loan,No
CUST00208,32,140025.89,653.0,111046.53,84,0.38,8.37,Other,Self-Employed,High School,Married,Education Loan,No
CUST00209,59,62112.9,650.0,401862.19,36,0.34,16.42,Other,Salaried,High School,Widowed,Personal Loan,No
CUST00210,22,163383.73,649.0,173467.33,12,0.62,7.56,Other,Contract,PhD,Divorced,Business Loan,Yes
CUST00211,23,103305.71,572.0,433944.74,36,0.68,17.31,Other,Contract,Bachelor,Widowed,Education Loan,Yes
CUST00212,69,147721.46,555.0,458476.02,84,0.65,7.67,Male,Business,Master,Divorced,Car Loan,Yes
CUST00213,57,176586.89,682.0,431313.68,60,0.52,12.98,Male,Self-Employed,Diploma,Widowed,Home Loan,No
CUST00214,69,154045.8,761.0,27153.88,48,0.15,7.9,Female,Contract,High School,Married,Car Loan,No
CUST00215,37,158452.99,640.0,395812.94,84,0.24,12.09,Male,Salaried,PhD,Widowed,Education Loan,No
CUST00216,69,84093.49,703.0,211556.34,24,0.08,13.89,Female,Salaried,Bachelor,Widowed,Car Loan,No
CUST00217,22,107379.06,735.0,438124.23,84,0.7,7.47,Male,Salaried,Bachelor,Divorced,Car Loan,No
CUST00218,22,59129.95,605.0,322597.59,24,0.51,11.77,Other,Business,Diploma,Married,Education Loan,No
CUST00219,48,49770.32,679.0,418485.14,48,0.57,11.1,Other,Business,High School,Divorced,Personal Loan,No
CUST00220,43,99892.28,630.0,254721.57,84,0.27,5.92,Male,Self-Employed,Diploma,Widowed,Business Loan,No
CUST00221,57,114397.93,800.0,272162.5,12,0.64,15.64,Male,Salaried,Diploma,Single,Home Loan,No
CUST00222,52,72961.94,797.0,80749.94,12,0.23,9.36,Female,Self-Employed,PhD,Widowed,Business Loan,No
CUST00223,53,110249.85,606.0,394153.81,36,0.05,12.47,Female,Self-Employed,Bachelor,Widowed,Home Loan,No
CUST00224,21,161768.6,709.0,215500.91,48,0.31,11.69,Female,Salaried,Master,Divorced,Business Loan,No
CUST00225,39,108188.9,760.0,255039.26,12,0.45,11.67,Other,Self-Employed,Bachelor,Single,Car Loan,No
CUST00226,22,,744.0,394697.88,84,0.39,6.39,Other,Contract,Bachelor,Single,Personal Loan,No
CUST00227,64,148461.02,686.0,303434.25,48,0.65,10.51,Other,Business,PhD,Divorced,Car Loan,Yes
CUST00228,46,178174.06,778.0,108538.38,60,0.12,10.88,Other,Self-Employed,Master,Married,Personal Loan,No
CUST00229,52,115717.98,612.0,299214.0,24,0.44,14.54,Female,Salaried,High School,Single,Education Loan,No
CUST00230,26,148709.72,657.0,209740.1,84,0.41,15.92,Other,Business,Master,Single,Home Loan,Yes
CUST00231,52,173949.19,614.0,240067.52,24,0.25,12.08,Other,Business,High School,Divorced,Home Loan,No
CUST00232,24,,739.0,23872.52,24,0.63,6.13,Other,Self-Employed,Master,Married,Education Loan,No
CUST00233,31,40855.26,636.0,112914.38,48,0.58,8.08,Other,Contract,Diploma,Married,Business Loan,No
CUST00234,37,83835.55,667.0,147708.66,48,0.56,7.14,Male,Self-Employed,Master,Widowed,Education Loan,No
CUST00235,58,70486.39,726.0,359350.4,36,0.66,6.62,Female,Contract,PhD,Widowed,Education Loan,No
CUST00236,44,32081.85,732.0,15631.31,24,0.56,9.76,Female,Business,High School,Divorced,Personal Loan,No
CUST00237,25,120585.01,612.0,210300.86,36,0.21,7.98,Other,Self-Employed,Bachelor,Married,Education Loan,No
CUST00238,54,137216.55,759.0,462773.17,24,0.54,7.84,Male,Salaried,PhD,Divorced,Home Loan,No
CUST00239,26,155396.75,714.0,64821.5,36,0.27,5.71,Female,Self-Employed,High School,Widowed,Car Loan,No
CUST00240,42,37889.86,599.0,263047.95,36,0.22,5.23,Female,Contract,High School,Divorced,Personal Loan,No
CUST00241,31,159983.94,580.0,395395.97,60,0.1,6.34,Other,Contract,Bachelor,Divorced,Personal Loan,No
CUST00242,68,122153.94,679.0,471840.34,36,0.57,7.24,Other,Self-Employed,Diploma,Single,Business Loan,No
CUST00243,36,132039.27,744.0,375920.55,48,0.55,10.6,Female,Contract,PhD,Single,Car Loan,No
CUST00244,53,165521.09,746.0,363077.12,36,0.21,11.64,Female,Business,Bachelor,Single,Personal Loan,No
