Production_ID,Machine_ID,Production_Date,Machine_Age_Years,Operating_Hours,Idle_Hours,Maintenance_Count,Temperature,Pressure,Vibration,Production_Units,Defective_Units,Material_Cost,Labor_Hours,Energy_Consumption,Production_Shift,Product_Type,Operator_Experience,Downtime_Hours,Production_Quality
100031,M027,2025-06-18,4.2,6.0,0.9,1,63.9,62.4,1.77,272.0,7,28660.0,13.8,229.3,Afternoon,Component_D,2.8,1.4,Good
100032,M007,2025-08-28,11.6,13.4,3.9,2,87.6,38.3,5.11,582.0,29,62650.0,34.1,523.0,Night,Component_A,8.4,2.6,Good
100033,M024,2025-05-14,6.0,17.8,6.3,4,69.5,56.0,5.99,703.0,34,69624.0,35.8,967.6,Afternoon,Component_C,7.2,4.3,Good
100034,M016,2024-11-11,2.8,12.1,2.8,2,64.9,50.7,5.07,342.0,14,34478.0,39.9,335.3,Afternoon,Component_D,3.7,1.2,Good
100035,M023,2024-08-10,8.5,16.2,1.4,6,86.1,68.5,5.91,801.0,42,83864.0,30.1,678.8,Night,Component_D,9.6,2.5,Good
100036,M007,2025-10-21,2.3,17.8,5.2,4,84.5,56.1,3.55,831.0,24,58453.0,48.4,672.2,Night,Component_B,,3.3,Good
100037,M008,2025-04-21,6.6,14.6,7.2,6,71.4,34.4,4.12,449.0,17,40292.0,45.2,538.7,Night,Component_B,4.4,6.9,Good
100038,M024,2024-11-25,1.0,16.7,0.8,4,78.2,58.3,4.63,632.0,10,63607.0,44.9,509.2,Night,Component_A,7.2,0.7,Good
100039,M022,2024-02-28,2.0,12.1,7.1,4,79.7,37.5,4.76,397.0,14,35978.0,20.1,399.5,Afternoon,Component_A,4.6,1.0,Average
100040,M029,2024-06-07,6.6,15.2,7.0,2,98.1,59.1,0.5,551.0,26,49963.0,41.4,541.2,Night,Component_B,5.9,2.7,Good
100041,M020,2025-10-05,8.2,18.4,7.4,1,70.4,78.3,2.84,701.0,28,70537.0,55.8,788.6,Afternoon,Component_C,11.2,6.1,Good
100042,M005,2024-09-12,6.5,16.6,8.0,3,57.8,67.2,6.3,763.0,30,77036.0,31.1,757.0,Night,Component_B,4.2,4.3,Good
100043,M006,2025-01-14,5.7,13.7,10.5,2,79.5,57.3,3.09,712.0,22,72628.0,40.7,337.0,Afternoon,Component_B,8.0,8.5,Good
100044,M027,2025-06-13,5.1,16.9,4.1,4,72.7,49.1,4.06,673.0,16,55938.0,55.0,489.9,Afternoon,Component_D,4.2,2.0,Good
100045,M009,2025-12-03,1.6,18.9,5.3,5,73.3,66.5,4.41,911.0,15,67171.0,65.6,804.2,Afternoon,Component_B,3.1,4.5,Good
100046,M005,2024-12-29,3.8,7.8,4.0,0,71.6,60.7,2.09,361.0,13,38651.0,18.1,343.5,Night,Component_D,5.8,2.8,Good
100047,M009,2024-08-10,4.6,20.6,5.0,5,52.9,52.6,7.34,590.0,13,49480.0,31.9,550.8,Morning,Component_D,14.1,2.9,Good
100048,M030,2025-03-30,9.2,14.7,8.8,3,75.1,50.2,4.44,474.0,19,39260.0,34.4,679.8,Morning,Component_A,8.3,7.6,Good
100049,M025,2025-06-14,7.0,17.7,1.6,3,67.7,46.8,2.96,989.0,42,80578.0,49.9,684.6,Night,Component_D,7.4,1.3,Good
100050,M024,2024-11-17,1.0,20.8,2.8,5,68.3,58.4,5.67,776.0,15,87118.0,68.3,916.7,Morning,Component_B,4.4,4.3,Good
100051,M010,2025-09-22,7.0,10.5,8.4,0,67.2,51.2,3.97,509.0,19,49974.0,35.5,341.5,Morning,Component_B,4.8,6.0,Good
100052,M006,2024-10-28,4.8,13.2,7.6,3,71.5,56.5,4.61,581.0,18,58180.0,43.8,364.4,Night,Component_B,1.5,7.9,Good
100053,M001,2024-08-07,4.0,14.8,4.1,1,75.1,63.3,7.04,407.0,10,42875.0,41.7,533.9,Morning,Component_B,11.4,2.5,Good
100054,M013,2024-06-14,7.8,12.9,7.1,2,71.6,51.0,3.53,510.0,23,48126.0,37.0,478.5,Night,Component_D,6.8,7.0,Good
100055,M005,2024-06-05,9.1,22.9,5.9,3,85.9,60.8,6.56,1074.0,48,118344.0,34.5,829.7,Morning,Component_D,6.5,4.8,Good
100056,M027,2024-12-12,8.8,12.6,8.8,1,81.1,66.0,3.88,469.0,22,36135.0,28.1,457.1,Afternoon,Component_C,6.6,7.2,Good
100057,M019,2024-09-11,3.5,13.8,5.2,1,71.1,58.6,4.62,566.0,11,44553.0,45.7,718.3,Afternoon,Component_C,12.3,3.4,Good
100058,M016,2025-11-18,5.1,16.8,7.6,4,59.6,61.3,5.05,588.0,9,45798.0,48.4,420.1,Afternoon,Component_A,6.9,5.0,Good
100059,M015,2025-11-18,,11.2,11.6,5,79.0,58.6,3.88,425.0,10,43063.0,27.3,363.9,Afternoon,Component_B,5.4,5.8,Good
100060,M025,2024-07-07,8.9,14.4,6.5,5,68.2,55.1,2.67,593.0,18,60840.0,24.6,516.8,Afternoon,Component_A,11.4,5.4,Good
100061,M014,2025-03-26,4.6,17.3,5.1,2,70.0,62.5,5.32,539.0,20,47384.0,34.5,669.9,Afternoon,Component_D,5.6,2.1,Good
100062,M014,2024-06-24,5.4,14.7,6.8,2,56.2,69.5,6.52,741.0,30,67811.0,38.4,653.0,Night,Component_D,0.9,4.8,Good
100063,M004,2024-03-22,2.7,15.6,4.1,3,77.0,62.7,5.63,470.0,7,53590.0,51.4,706.2,Night,Component_B,1.4,1.9,Good
100064,M007,2025-12-26,2.4,13.9,11.0,5,103.1,53.3,5.58,578.0,22,48889.0,23.5,652.7,Morning,Component_A,5.4,9.0,Good
100065,M022,2024-03-28,8.4,9.9,5.5,6,65.9,53.5,3.68,435.0,19,43253.0,17.9,431.1,Afternoon,Component_D,6.9,4.3,Good
100066,M015,2024-11-18,10.1,17.3,4.3,3,79.5,53.8,5.74,794.0,33,67263.0,48.6,438.2,Afternoon,Component_D,8.5,5.1,Good
100067,M022,2025-01-15,5.8,23.0,2.9,1,87.0,63.5,5.14,846.0,34,94278.0,48.0,579.4,Morning,Component_D,3.2,2.0,Good
100068,M005,2025-07-12,9.0,16.1,7.7,2,65.7,50.3,6.05,619.0,25,64640.0,29.6,777.6,Night,Component_B,5.3,6.8,Good
100069,M001,2024-01-24,7.1,16.9,7.2,2,42.9,45.8,4.68,532.0,13,39377.0,31.4,802.8,Afternoon,Component_C,3.6,3.9,Good
100070,M030,2024-12-12,4.1,18.8,3.8,2,80.3,59.2,5.57,519.0,14,47275.0,46.7,818.3,Night,Component_C,9.3,3.1,Good
100071,M019,2025-03-21,7.1,10.9,6.4,2,73.0,55.2,3.63,501.0,19,31971.0,29.1,356.9,Night,Component_D,9.8,4.6,Good
100072,M021,2025-03-17,10.6,22.8,1.2,2,75.7,68.3,5.75,985.0,46,106879.0,75.4,828.8,Night,Component_B,11.9,1.5,Good
100073,M018,2025-02-21,5.9,16.8,5.5,3,72.7,34.7,2.23,717.0,18,90134.0,43.0,596.6,Night,Component_A,7.1,5.1,Good
100074,M030,2025-07-13,10.7,22.5,6.1,4,85.9,56.9,3.9,1072.0,58,66779.0,64.9,691.9,Afternoon,Component_D,11.6,3.5,Good
100075,M027,2025-04-19,1.0,13.1,9.3,3,70.8,51.4,3.24,593.0,10,43641.0,24.4,526.9,Night,Component_B,3.9,3.5,Good
100076,M014,2024-02-14,8.5,23.3,3.1,2,98.1,62.3,10.0,939.0,65,91562.0,68.2,1200.0,Afternoon,Component_D,6.6,2.5,Good
100077,M002,2024-06-05,6.3,19.1,1.8,2,80.4,52.5,5.67,862.0,18,81651.0,53.4,662.7,Morning,Component_D,2.8,2.9,Good
100078,M029,2024-04-28,5.1,18.2,2.8,5,84.1,49.8,2.55,698.0,20,62008.0,35.2,890.6,Morning,Component_B,7.7,3.1,Good
100079,M004,2025-05-09,6.3,16.9,1.7,3,72.1,63.4,2.04,840.0,19,57906.0,48.0,535.1,Morning,Component_B,6.9,1.9,Good
100080,M007,2025-09-13,1.0,15.0,8.3,2,75.7,66.5,1.36,655.0,9,65403.0,28.8,387.6,Night,Component_D,0.5,2.8,Good
100081,M001,2024-07-09,5.3,20.8,8.9,1,51.7,54.1,2.45,832.0,22,90116.0,55.9,965.3,Morning,Component_C,9.3,2.8,Good
100082,M025,2025-07-13,7.1,16.6,5.8,5,65.1,54.3,2.97,771.0,20,106170.0,47.1,615.9,Night,Component_A,8.6,4.2,Good
100083,M012,2025-01-30,10.4,8.1,8.1,2,84.9,66.4,2.74,426.0,18,48824.0,23.4,411.0,Afternoon,Component_C,4.3,5.8,Good
100084,M001,2025-04-06,4.4,11.5,5.3,2,71.2,65.4,3.66,444.0,9,33531.0,38.2,581.1,Morning,Component_B,6.8,4.3,Good
100085,M014,2025-02-14,3.6,15.3,4.8,5,58.5,64.3,6.0,481.0,10,45609.0,52.0,554.5,Night,Component_A,1.5,3.0,Good
100086,M024,2024-07-12,4.5,17.2,4.2,2,63.8,51.4,4.14,683.0,14,70951.0,53.7,847.4,Afternoon,Component_A,3.7,2.0,Good
100087,M006,2024-02-06,8.7,15.8,4.2,3,63.7,49.1,5.78,650.0,22,55039.0,51.5,507.1,Night,Component_D,11.0,1.7,Good
100088,M001,2024-05-05,7.0,20.9,1.1,0,71.5,69.7,2.58,953.0,37,101685.0,32.2,659.1,Night,Component_C,2.5,1.9,Good
100089,M023,2024-02-14,4.4,8.2,5.7,0,62.0,60.5,3.81,353.0,7,37259.0,18.2,390.7,Afternoon,Component_B,6.0,1.8,Good
100090,M002,2024-07-03,7.5,16.6,4.9,1,89.1,48.3,2.81,617.0,21,70067.0,26.2,440.3,Afternoon,Component_B,1.8,5.2,Good
100091,M017,2024-01-18,6.3,8.7,6.9,4,74.5,54.0,5.3,401.0,12,42920.0,17.0,343.1,Morning,Component_A,7.0,6.6,Good
100092,M008,2025-05-25,8.9,19.0,5.2,6,55.3,55.8,4.17,958.0,54,95108.0,43.0,929.7,Night,Component_C,7.7,6.0,Good
100093,M018,2025-06-08,3.9,15.6,4.6,3,90.4,54.0,7.69,554.0,23,47329.0,50.5,764.9,Morning,Component_C,8.2,1.6,Good
100094,M025,2024-11-24,5.0,17.7,2.8,1,71.5,52.4,3.29,811.0,26,61315.0,44.7,621.3,Night,Component_B,7.4,1.3,Good
100095,M022,2024-11-07,4.8,12.5,5.2,0,78.1,66.1,2.63,397.0,19,39019.0,35.0,585.5,Night,Component_C,10.3,1.9,Good
100096,M017,2024-07-20,1.6,21.1,6.8,0,75.7,59.8,5.03,789.0,21,70176.0,47.0,615.4,Morning,Component_A,4.3,3.9,Good
100097,M016,2024-01-20,6.9,20.2,2.1,0,77.0,75.3,4.18,862.0,33,77918.0,54.7,673.6,Morning,Component_B,2.8,1.9,Good
100098,M027,2025-01-24,6.8,18.3,5.2,1,67.9,66.6,5.4,736.0,29,82305.0,57.3,742.7,Night,Component_D,4.2,5.2,Good
100099,M015,2025-02-13,6.0,15.5,5.6,3,76.0,56.2,4.39,652.0,20,75328.0,32.6,647.8,Afternoon,Component_D,2.0,3.8,Good
100100,M015,2024-07-07,5.3,18.3,3.2,5,70.2,67.8,4.25,660.0,18,50470.0,61.6,552.6,Night,Component_A,6.2,3.8,Good
100101,M024,2024-03-26,1.8,13.2,3.5,7,76.3,58.2,3.3,657.0,12,60341.0,25.4,701.9,Morning,Component_C,5.6,2.0,Good
100102,M023,2025-09-21,4.7,19.4,5.6,0,69.8,76.8,4.01,753.0,17,66642.0,64.8,455.2,Night,Component_B,7.4,4.1,Good
100103,M012,2024-06-19,5.0,22.6,2.2,4,68.5,52.2,1.75,772.0,25,76987.0,35.2,878.6,Night,Component_A,1.2,1.1,Good
100104,M027,2025-11-17,3.6,20.3,5.9,2,54.5,59.1,6.66,820.0,30,50025.0,52.5,810.4,Afternoon,Component_B,6.0,4.0,Good
100105,M017,2025-04-30,5.5,13.1,2.8,2,71.9,49.6,6.79,642.0,22,46922.0,45.5,325.7,Afternoon,Component_B,9.6,2.0,Good
100106,M024,2025-04-09,7.2,17.4,7.7,4,74.7,51.6,6.19,754.0,28,70301.0,47.3,859.9,Afternoon,Component_A,7.7,6.0,Good
100107,M018,2024-05-08,11.7,10.8,10.8,0,94.2,51.9,3.68,430.0,29,45920.0,28.2,369.8,Morning,Component_D,0.5,8.2,Good
100108,M008,2024-07-19,6.5,18.3,2.8,3,77.8,66.1,3.37,988.0,36,94976.0,52.4,722.8,Afternoon,Component_B,6.0,2.1,Good
100109,M009,2025-06-21,6.8,17.8,6.3,1,63.3,56.9,5.4,789.0,18,82902.0,37.0,736.7,Night,Component_B,3.8,3.4,Good
100110,M015,2025-07-29,5.8,8.5,3.2,3,59.8,32.9,2.79,282.0,12,27625.0,13.7,235.7,Afternoon,Component_B,6.0,2.9,Good
100111,M013,2025-12-02,1.0,11.4,7.6,6,75.2,55.8,6.55,525.0,9,59926.0,22.8,337.4,Morning,Component_A,4.9,6.2,Good
100112,M029,2025-05-12,5.9,14.9,1.8,3,63.1,46.2,0.5,571.0,12,66972.0,27.6,764.3,Morning,Component_A,11.2,2.0,Good
100113,M005,2025-01-11,6.2,14.8,6.2,5,65.2,51.0,3.69,652.0,18,54503.0,49.5,567.0,Morning,Component_D,6.3,5.5,Good
100114,M021,2024-09-18,13.4,11.2,2.8,2,63.0,65.4,2.58,534.0,19,57808.0,35.9,210.7,Morning,Component_B,7.0,3.8,Good
100115,M023,2024-04-19,5.4,17.6,4.5,1,68.1,42.9,6.74,719.0,19,73785.0,37.6,637.1,Afternoon,Component_A,5.9,2.8,Good
100116,M001,2024-11-13,6.9,17.0,2.4,4,80.8,43.9,6.43,694.0,28,92004.0,53.9,655.3,Night,Component_B,7.4,2.7,Good
100117,M021,2025-07-31,5.9,15.2,7.1,7,48.1,40.1,5.52,527.0,14,43758.0,29.2,616.1,Night,Component_D,5.3,4.3,Good
100118,M012,2025-11-12,2.5,13.0,2.9,2,87.5,51.5,7.95,505.0,22,47091.0,24.7,291.1,Night,Component_C,8.3,2.8,Good
100119,M001,2025-06-22,9.4,20.2,6.4,4,69.6,39.8,4.52,869.0,35,69099.0,61.3,781.7,Night,Component_C,4.8,5.4,Good
100120,M027,2024-03-22,8.3,22.6,4.1,4,64.4,40.5,5.64,888.0,26,71400.0,48.7,724.9,Morning,Component_C,10.1,4.3,Good
100121,M024,2025-09-01,8.4,14.1,4.7,0,82.7,52.9,1.62,413.0,16,41624.0,23.0,577.5,Night,Component_D,,3.0,Good
100122,M024,2025-12-25,3.3,13.6,5.4,5,69.5,57.8,3.92,586.0,8,57477.0,40.0,578.5,Morning,Component_A,5.5,4.9,Good
100123,M017,2025-07-30,10.2,18.0,3.1,7,59.4,46.8,4.7,810.0,29,83529.0,62.6,762.0,Night,Component_B,8.5,2.9,Good
100124,M002,2024-06-23,1.8,14.6,5.5,1,53.7,58.2,2.85,706.0,15,72574.0,38.4,722.4,Night,Component_A,7.5,3.5,Good
100125,M007,2025-11-02,7.8,15.4,8.8,2,80.3,56.0,4.96,572.0,21,52318.0,31.2,870.7,Night,Component_C,8.5,8.4,Good
100126,M023,2024-12-28,12.6,19.0,3.1,3,81.1,59.9,0.96,780.0,35,71262.0,42.7,574.9,Night,Component_C,6.3,4.4,Good
100127,M028,2024-06-10,3.0,8.4,7.9,1,67.0,45.6,5.4,345.0,12,27751.0,23.5,299.5,Night,Component_B,5.3,4.9,Good
100128,M025,2025-03-06,4.3,21.3,8.7,2,87.9,72.9,3.72,969.0,30,81864.0,61.8,944.6,Morning,Component_B,6.4,5.1,Good
100129,M003,2024-04-26,6.3,16.3,3.0,2,72.4,44.7,3.08,755.0,20,71082.0,53.3,615.5,Afternoon,Component_D,4.5,3.0,Average
100130,M018,2025-05-31,4.5,14.4,1.4,1,87.9,49.4,5.84,517.0,25,50643.0,47.8,242.5,Afternoon,Component_B,8.9,0.5,Good
100131,M014,2025-07-01,1.3,15.6,5.8,7,60.5,59.6,7.13,868.0,12,91714.0,50.3,571.4,Morning,Component_A,10.4,3.4,Good
100132,M010,2025-09-29,6.2,15.8,3.6,0,59.0,56.1,6.11,546.0,22,56857.0,44.2,768.8,Night,Component_A,7.7,2.9,Good
100133,M024,2024-09-02,2.8,9.1,9.7,8,65.8,62.6,3.04,348.0,7,41188.0,21.8,249.9,Morning,Component_B,10.3,5.7,Good
100134,M027,2024-09-21,7.4,22.0,5.1,3,67.2,52.2,5.7,539.0,15,43341.0,62.9,889.6,Morning,Component_A,9.4,3.9,Good
100135,M007,2024-04-18,3.2,16.2,3.0,3,85.8,44.0,4.04,756.0,26,69182.0,45.9,374.8,Afternoon,Component_A,5.2,1.9,Average
100136,M014,2024-06-11,10.6,17.8,2.1,0,75.5,41.3,6.53,927.0,49,75755.0,34.5,821.5,Morning,Component_C,8.5,2.3,Good
100137,M003,2024-11-26,3.7,19.8,7.7,3,62.9,71.0,4.9,785.0,19,89615.0,49.8,798.1,Night,Component_C,2.2,2.1,Good
100138,M011,2025-07-11,5.0,11.9,3.6,1,72.1,52.3,1.85,413.0,15,36122.0,22.8,408.1,Morning,Component_B,6.6,3.4,Good
100139,M015,2024-04-14,8.4,17.9,5.1,3,66.9,53.5,4.06,814.0,29,91433.0,59.0,637.1,Afternoon,Component_B,2.5,4.7,Good
100140,M019,2024-09-25,2.3,14.9,7.4,1,62.4,71.2,3.01,513.0,13,59914.0,32.0,392.1,Night,Component_B,5.7,3.3,Good
100141,M023,2024-03-01,6.7,19.4,3.8,1,71.0,50.6,3.1,918.0,25,92903.0,60.4,907.0,Afternoon,Component_C,1.7,4.3,Good
100142,M029,2025-06-25,9.9,7.5,4.9,5,69.7,55.2,3.92,247.0,19,24551.0,16.9,256.8,Night,Component_A,9.3,4.3,Good
100143,M012,2025-09-01,1.2,15.6,5.0,4,62.8,45.7,4.99,567.0,10,54194.0,47.2,657.6,Night,Component_D,4.8,2.8,Good
100144,M027,2025-06-27,6.6,13.6,6.7,9,62.7,43.2,6.13,560.0,14,50536.0,26.4,425.3,Afternoon,Component_A,8.7,5.4,Good
100145,M005,2024-07-13,6.8,17.7,6.5,2,81.8,72.0,3.55,775.0,33,68540.0,53.6,997.5,Afternoon,Component_D,5.8,2.4,Good
100146,M009,2025-03-30,8.3,17.9,4.4,2,77.1,72.1,6.68,814.0,35,75530.0,33.3,920.1,Morning,Component_C,0.5,3.4,Good
100147,M026,2025-09-01,2.3,13.2,5.2,2,83.3,64.2,1.44,633.0,20,77457.0,32.8,725.2,Morning,Component_D,4.5,1.8,Good
100148,M007,2025-10-09,2.0,13.2,4.1,2,68.6,63.9,2.99,661.0,16,52465.0,22.8,736.9,Night,Component_B,4.4,1.6,Good
100149,M015,2025-03-02,7.6,15.6,1.3,4,58.9,61.8,8.19,810.0,37,79436.0,39.9,528.8,Night,Component_B,6.0,3.1,Good
100150,M001,2025-03-07,6.9,12.4,5.6,1,65.1,48.3,2.44,483.0,23,51038.0,39.0,397.3,Night,Component_B,10.5,2.7,Good
100151,M001,2025-06-27,6.8,19.4,9.7,2,84.3,57.6,6.75,798.0,37,72406.0,58.4,1065.3,Night,Component_B,11.0,7.1,Good
100152,M006,2024-12-25,7.0,14.5,2.8,2,52.8,50.5,4.45,678.0,35,68642.0,23.2,548.6,Morning,Component_A,5.3,2.2,Good
100153,M021,2024-11-29,4.0,4.4,3.1,3,89.3,31.7,4.37,154.0,10,11154.0,10.9,204.5,Morning,Component_B,2.2,1.2,Good
100154,M005,2024-11-20,6.7,14.5,2.8,1,58.7,65.1,6.18,621.0,27,71338.0,46.5,492.4,Afternoon,Component_D,3.8,1.9,Good
100155,M011,2024-09-19,6.9,11.8,6.8,1,81.4,60.0,5.93,511.0,21,57215.0,33.0,405.2,Morning,Component_C,7.4,2.8,Good
100156,M011,2025-10-22,3.9,9.5,6.1,5,59.8,43.1,6.9,427.0,12,39935.0,15.4,431.9,Night,Component_B,5.7,4.4,Good
100157,M029,2025-08-26,11.6,11.1,4.6,4,64.9,51.8,4.06,432.0,16,35339.0,23.9,270.1,Morning,Component_A,1.3,3.8,Good
100158,M028,2025-03-29,7.4,16.4,2.7,7,47.3,64.5,4.76,576.0,16,61571.0,42.9,740.8,Night,Component_B,4.5,2.5,Good
100159,M014,2025-07-03,2.4,21.3,5.2,1,94.2,56.2,4.05,1017.0,31,79100.0,39.3,903.6,Afternoon,Component_B,9.9,3.3,Good
100160,M030,2025-03-01,8.0,17.3,1.1,2,78.9,39.7,2.5,688.0,26,54992.0,49.5,600.0,Afternoon,Component_A,6.9,0.9,Good
100161,M008,2025-09-08,3.1,13.6,5.4,5,79.6,44.1,4.81,583.0,14,54916.0,37.7,525.6,Morning,Component_C,6.1,2.8,Good
100162,M027,2025-01-21,8.4,17.8,7.2,4,66.1,71.7,4.2,789.0,30,92921.0,33.9,719.0,Morning,Component_A,4.8,3.0,Good
100163,M024,2024-06-13,9.5,14.2,1.9,5,60.8,55.6,1.13,634.0,23,66322.0,36.9,585.5,Afternoon,Component_D,4.6,3.5,Good
100164,M014,2025-06-12,3.5,13.2,1.2,4,81.3,64.5,6.5,567.0,23,48362.0,41.2,581.5,Night,Component_A,7.6,1.3,Good
100165,M009,2025-11-03,8.9,11.4,8.9,3,57.6,71.5,4.77,483.0,16,33698.0,25.6,376.7,Morning,Component_D,6.4,5.8,Good
100166,M011,2025-06-05,7.2,9.0,3.5,4,70.0,50.9,3.24,374.0,11,35763.0,17.9,550.6,Afternoon,Component_B,8.3,1.9,Good
100167,M011,2025-07-02,8.5,14.4,7.8,6,57.0,58.2,5.1,569.0,20,56201.0,41.8,540.5,Night,Component_A,7.6,5.9,Good
100168,M020,2024-05-06,11.7,16.6,4.6,4,73.5,37.3,3.56,589.0,21,55312.0,27.3,636.8,Morning,Component_B,6.1,4.3,Good
100169,M021,2025-02-20,5.3,15.6,4.6,6,49.0,49.5,4.86,535.0,12,65321.0,49.4,846.1,Morning,Component_A,7.2,1.8,Good
100170,M016,2024-10-10,3.7,14.3,6.1,2,54.2,60.2,7.0,654.0,22,60836.0,48.4,341.6,Night,Component_D,4.2,2.8,Good
100171,M012,2025-12-27,3.3,12.2,2.8,4,61.7,53.3,5.22,523.0,11,31782.0,41.8,659.0,Afternoon,Component_A,5.9,2.2,Good
100172,M007,2024-06-18,3.6,18.4,5.3,0,79.4,59.1,3.62,660.0,26,58669.0,43.5,720.2,Night,Component_D,10.0,0.9,Average
100173,M003,2025-09-23,5.8,10.7,4.0,3,65.6,63.4,2.64,413.0,13,42052.0,29.4,372.8,Night,Component_B,6.0,3.6,Good
100174,M012,2024-12-31,7.0,19.1,1.7,1,83.8,60.0,3.21,653.0,22,65825.0,61.4,568.7,Morning,Component_A,5.3,3.2,Good
100175,M006,2024-02-27,6.8,12.0,5.8,4,90.0,58.0,5.96,520.0,24,,23.4,347.8,Morning,Component_A,6.6,5.2,Average
