Employee_ID,Age,Experience_Years,Monthly_Salary,Performance_Score,Training_Hours,Projects_Completed,Joining_Date,Department,Job_Level,Education_Level,Employment_Type,Work_Mode,Gender,Annual_Bonus,Performance_Review_Count,Leave_Days,Promoted
10019,28.0,4.6,51900.0,3.3,44.6,5,2017-12-25,Finance,Junior,Bachelor,Contract,Office,Female,4200,3,13,1
10020,24.0,3.7,80900.0,3.9,38.2,7,2017-06-04,Finance,Junior,Master,Full-Time,Office,Female,6400,5,4,1
10021,47.0,28.6,60800.0,3.5,26.1,5,2018-02-10,Marketing,Mid,Master,Full-Time,Hybrid,Female,2600,15,10,0
10022,33.0,9.6,64500.0,4.5,42.9,5,2018-12-10,Marketing,Junior,Bachelor,Full-Time,Hybrid,Male,8400,9,7,1
10023,36.0,12.8,149000.0,2.7,43.2,6,2015-03-12,Marketing,Mid,Master,Full-Time,Hybrid,Male,13100,6,20,1
10024,24.0,5.5,49300.0,4.0,52.4,3,2020-05-02,HR,Mid,Bachelor,Part-Time,Hybrid,Female,4600,3,17,1
10025,31.0,3.4,48400.0,3.4,49.5,5,2023-07-30,HR,Senior,Diploma,Full-Time,Hybrid,Male,2600,4,13,1
10026,36.0,12.8,57600.0,3.9,42.4,4,2016-03-19,HR,Lead,Master,Full-Time,Office,Male,5300,6,14,1
10027,26.0,4.6,84400.0,3.1,18.1,3,2023-04-05,IT,Junior,High School,Full-Time,Remote,Male,10400,6,19,1
10028,38.0,17.3,30100.0,4.2,71.7,7,2024-04-08,IT,Senior,High School,Contract,Office,Female,1800,13,9,1
10029,30.0,6.5,25100.0,3.6,13.9,4,2021-12-05,HR,Senior,Diploma,Full-Time,Hybrid,Female,900,7,18,1
10030,33.0,11.1,43500.0,2.9,49.2,7,2024-01-29,Sales,Lead,Bachelor,Contract,Office,Male,4200,9,21,1
10031,30.0,0.5,28600.0,3.4,41.5,6,2022-01-08,Marketing,Mid,Master,Full-Time,Office,Female,2900,3,12,1
10032,50.0,26.0,46400.0,3.2,17.4,4,2018-10-25,Finance,Junior,Master,Part-Time,Office,Female,2100,14,8,1
10033,35.0,14.4,67200.0,3.7,33.1,4,2021-06-22,Marketing,Junior,High School,Part-Time,Hybrid,Female,3500,7,11,0
10034,27.0,2.1,38500.0,2.6,33.8,3,2023-06-20,Sales,Junior,Bachelor,Full-Time,Hybrid,Female,1500,4,17,0
10035,42.0,20.2,31100.0,3.4,54.6,5,2022-07-08,Operations,Lead,Bachelor,Full-Time,Remote,Male,4300,12,15,1
10036,25.0,4.3,56500.0,3.7,24.3,4,2016-12-21,IT,Mid,Master,Full-Time,Hybrid,Male,2700,4,13,1
10037,37.0,14.0,77700.0,3.4,31.1,10,2015-08-19,HR,Mid,Master,Full-Time,Office,Male,1700,7,8,1
10038,21.0,0.0,27900.0,4.3,5.0,8,2024-11-06,IT,Mid,High School,Full-Time,Hybrid,Male,3600,2,12,1
10039,24.0,0.0,76400.0,3.9,61.0,2,2017-05-13,IT,Mid,Bachelor,Full-Time,Office,Female,9500,2,14,0
10040,37.0,14.4,76300.0,3.4,18.9,3,2024-09-10,Sales,Junior,Master,Full-Time,Office,Female,6100,11,10,0
10041,41.0,20.8,80600.0,3.6,39.9,7,2023-08-16,IT,Lead,Master,Full-Time,Remote,Female,10000,11,10,1
10042,36.0,14.5,89500.0,3.6,33.5,4,2016-07-16,IT,Senior,High School,Full-Time,Hybrid,Female,7000,8,16,1
10043,34.0,10.2,132700.0,3.7,33.5,6,2017-02-07,Marketing,Mid,High School,Full-Time,Hybrid,Female,6500,7,15,1
10044,33.0,11.7,47700.0,2.1,47.1,4,2022-10-26,Marketing,Mid,Master,Full-Time,Remote,Female,3600,7,12,1
10045,23.0,3.1,57500.0,3.2,60.1,5,2022-01-21,Operations,Mid,Diploma,Contract,Office,Female,4800,5,11,1
10046,29.0,0.9,46600.0,2.4,38.8,5,2015-10-17,Sales,Junior,High School,Full-Time,Hybrid,Female,1000,2,12,0
10047,31.0,12.5,55000.0,4.3,44.8,9,2018-05-26,HR,Junior,Master,Full-Time,Hybrid,Female,1900,7,17,1
10048,43.0,20.0,101500.0,3.4,39.9,4,2020-11-17,Marketing,Junior,Diploma,Full-Time,Remote,Female,13600,13,15,1
10049,38.0,17.3,32100.0,3.3,50.3,1,2021-01-05,Operations,Mid,Master,Full-Time,Office,Male,2300,9,13,1
10050,21.0,2.6,39000.0,4.0,28.1,4,2024-06-18,IT,Junior,Bachelor,Contract,Remote,Male,2500,4,20,0
10051,38.0,11.9,95400.0,3.7,51.1,6,2023-11-01,Operations,Junior,Diploma,Full-Time,Office,Female,12900,7,9,1
10052,32.0,7.9,82700.0,2.6,51.7,3,2016-01-30,Operations,Senior,Bachelor,Contract,Hybrid,Female,3300,6,6,0
10053,30.0,7.1,47600.0,3.4,51.2,4,2016-01-11,Finance,Senior,Master,Full-Time,Office,Female,2300,6,0,1
10054,40.0,15.6,77400.0,3.2,25.1,10,2020-11-19,Marketing,Junior,Diploma,Full-Time,Remote,Male,9900,10,15,1
10055,43.0,26.2,63000.0,2.2,32.5,9,2019-07-09,Operations,Junior,Bachelor,Part-Time,Hybrid,Female,3600,15,20,0
10056,42.0,17.4,100200.0,2.9,38.6,6,2017-02-20,Operations,Senior,High School,Full-Time,Hybrid,Male,10300,10,19,1
10057,28.0,4.3,56700.0,3.3,14.4,7,2020-11-09,Finance,Senior,Diploma,Full-Time,Remote,Female,6600,4,9,0
10058,33.0,11.6,82900.0,3.3,58.9,1,2020-05-28,HR,Mid,High School,Full-Time,Office,Male,4100,8,8,1
10059,38.0,12.4,158200.0,2.4,34.8,6,2021-09-24,IT,Senior,High School,Full-Time,Office,Female,8400,8,1,1
10060,43.0,19.8,69900.0,4.2,39.3,2,2016-02-10,Marketing,Junior,Bachelor,Full-Time,Office,Male,6100,12,9,1
10061,31.0,10.0,56100.0,3.3,26.3,3,2020-08-30,HR,Senior,Master,Full-Time,Office,Female,6900,6,7,1
10062,34.0,11.0,73400.0,3.4,15.1,13,2022-05-03,Sales,Senior,Bachelor,Full-Time,Hybrid,Male,6800,8,18,1
10063,26.0,3.7,47500.0,3.7,25.9,5,2018-12-02,HR,Senior,Master,Part-Time,Hybrid,Female,1400,4,13,1
10064,25.0,1.4,143000.0,2.8,38.3,2,2020-08-28,Sales,Lead,Bachelor,Part-Time,Office,Female,9400,2,12,1
10065,42.0,15.5,59100.0,3.7,45.1,6,2019-04-09,Sales,Junior,Bachelor,Contract,Hybrid,Female,3700,10,8,1
10066,46.0,25.0,49300.0,3.1,37.4,6,2024-11-18,Marketing,Junior,Diploma,Full-Time,Hybrid,Male,6200,14,5,0
10067,34.0,17.3,39400.0,2.8,40.2,4,2021-01-09,Finance,Mid,Master,Full-Time,Remote,Male,2300,11,6,1
10068,43.0,21.1,85300.0,3.8,29.9,8,2015-10-28,Sales,Junior,High School,Full-Time,Remote,Male,11700,14,7,1
10069,38.0,16.7,77800.0,4.4,42.4,10,2020-03-14,IT,Senior,Master,Contract,Hybrid,Male,4900,10,16,1
10070,30.0,10.1,45100.0,3.9,57.2,9,2016-02-17,Marketing,Senior,Master,Full-Time,Remote,Female,2000,6,5,1
10071,38.0,12.2,69300.0,4.0,45.6,4,2021-02-27,Operations,Senior,Bachelor,Full-Time,Remote,Female,6300,7,15,1
10072,47.0,30.1,30100.0,3.0,47.1,3,2020-07-27,Operations,Junior,High School,Full-Time,Hybrid,Female,2100,15,27,0
10073,35.0,13.6,59200.0,2.3,39.4,6,2020-12-26,Sales,Senior,Diploma,Full-Time,Remote,Male,6200,14,10,0
10074,48.0,30.9,65900.0,4.4,12.5,7,2019-12-21,Marketing,Junior,Bachelor,Part-Time,Remote,Female,9200,15,14,0
10075,21.0,0.0,108900.0,4.8,19.3,5,2020-09-02,IT,Junior,Diploma,Full-Time,Office,Male,15500,1,12,1
10076,42.0,25.5,40400.0,4.5,41.8,4,2020-08-21,Marketing,Mid,Diploma,Contract,Hybrid,Male,2000,17,6,1
10077,36.0,16.3,33000.0,3.2,34.8,6,2020-12-22,Marketing,Junior,Master,Full-Time,Office,Male,1400,10,7,1
10078,33.0,12.7,38400.0,2.6,41.6,5,2023-03-03,Operations,Lead,High School,Full-Time,Hybrid,Female,5500,7,10,1
10079,36.0,14.7,32200.0,2.7,60.1,5,2020-10-29,Sales,Mid,Master,Full-Time,Hybrid,Male,4000,10,12,0
10080,21.0,0.0,93900.0,2.2,45.9,1,2018-10-10,HR,Mid,High School,Full-Time,Remote,Male,5100,3,22,0
10081,33.0,14.6,102200.0,3.3,53.9,6,2017-12-29,Marketing,Senior,Diploma,Contract,Hybrid,Male,12700,9,9,1
10082,38.0,16.4,62500.0,4.5,36.4,4,2018-05-12,Sales,Mid,Master,Full-Time,Hybrid,Male,7300,9,8,1
10083,47.0,19.1,89600.0,3.3,22.9,4,2016-08-13,Operations,Mid,Diploma,Part-Time,Office,Male,4700,12,7,1
10084,31.0,5.6,58000.0,3.6,34.1,2,2023-04-28,IT,Mid,Bachelor,Contract,Office,Female,8000,3,18,1
10085,29.0,6.4,52900.0,4.4,22.9,5,2024-03-04,IT,Mid,High School,Full-Time,Hybrid,Male,3300,4,9,1
10086,31.0,9.9,48100.0,3.1,58.4,4,2016-12-11,HR,Mid,Diploma,Full-Time,Remote,Male,4000,7,20,1
10087,42.0,19.8,48600.0,4.8,46.9,9,2024-06-12,IT,Lead,Diploma,Full-Time,Hybrid,Male,4800,14,14,1
10088,38.0,19.7,29600.0,4.8,42.8,4,2024-03-19,Sales,Lead,High School,Full-Time,Remote,Male,1300,11,20,1
10089,31.0,3.1,61100.0,3.3,53.5,1,2024-07-18,HR,Mid,Diploma,Full-Time,Remote,Female,6100,3,12,1
10090,39.0,17.4,54100.0,3.0,5.0,11,2017-03-07,Operations,Mid,Bachelor,Full-Time,Office,Male,6000,9,11,1
10091,36.0,8.5,74100.0,3.9,43.8,8,2024-07-31,Sales,Senior,Diploma,Full-Time,Office,Female,2500,8,13,1
10092,43.0,23.3,57100.0,,15.3,7,2023-11-02,Operations,Senior,Diploma,Full-Time,Hybrid,Male,4000,13,19,1
10093,29.0,6.7,51500.0,2.6,34.9,6,2019-05-31,Operations,Senior,High School,Part-Time,Office,Male,5100,5,13,1
10094,32.0,11.3,38800.0,4.3,30.3,3,2016-12-31,HR,Senior,High School,Full-Time,Office,Male,5400,8,15,1
10095,32.0,7.4,56600.0,4.3,44.9,5,2020-02-03,HR,Lead,Bachelor,Full-Time,Office,Female,7700,7,12,1
10096,23.0,4.8,73900.0,3.5,38.4,6,2021-05-13,Sales,Senior,Diploma,Full-Time,Office,Female,3100,3,11,1
10097,37.0,18.1,34800.0,2.5,55.2,3,2024-02-19,HR,Senior,Master,Full-Time,Hybrid,Male,3500,9,15,1
10098,37.0,16.8,57000.0,2.5,26.0,5,2020-09-27,Sales,Mid,Bachelor,Contract,Office,Female,1900,8,13,1
10099,35.0,12.6,60400.0,3.5,45.6,8,2016-09-01,IT,Mid,Master,Contract,Office,Female,3500,10,13,0
10100,33.0,12.7,41300.0,3.1,37.4,6,2021-05-29,IT,Senior,Diploma,Full-Time,Office,Female,4000,7,6,1
10101,24.0,0.0,43500.0,3.2,10.5,7,2023-06-20,Marketing,Junior,Diploma,Full-Time,Hybrid,Male,1300,3,9,1
10102,32.0,12.6,60300.0,4.1,21.2,4,2019-01-07,Finance,Mid,High School,Full-Time,Hybrid,Female,8200,9,12,0
10103,32.0,14.9,35000.0,3.9,32.8,3,2019-04-08,Finance,Lead,Bachelor,Full-Time,Remote,Female,4500,11,5,1
10104,29.0,10.2,63300.0,4.4,51.7,8,2021-11-24,IT,Mid,Master,Part-Time,Office,Female,5200,12,16,1
10105,34.0,9.8,38400.0,2.7,42.0,1,2018-03-07,Marketing,Junior,Diploma,Part-Time,Office,Female,3200,5,6,1
10106,38.0,17.1,84100.0,3.2,17.5,5,2015-08-18,Finance,Mid,,Contract,Hybrid,Female,11300,12,8,1
10107,50.0,24.1,140100.0,3.9,32.9,6,2022-11-25,Sales,Junior,High School,Contract,Office,Female,3700,16,14,0
10108,36.0,15.7,39000.0,3.7,65.3,5,2018-11-29,Sales,Senior,High School,Full-Time,Hybrid,Male,1500,9,5,1
10109,37.0,16.4,68100.0,4.5,36.7,5,2015-12-23,HR,Senior,High School,Full-Time,Remote,Male,4100,10,15,1
10110,34.0,6.4,41100.0,3.7,30.1,5,2016-06-24,Finance,Senior,Bachelor,Full-Time,Office,Female,2800,6,6,1
10111,21.0,0.0,83400.0,4.7,42.4,5,2022-11-14,Operations,Junior,Bachelor,Full-Time,Office,Female,12400,1,14,1
10112,35.0,12.2,33200.0,3.8,46.5,6,2017-07-24,Sales,Mid,Diploma,Full-Time,Office,Male,1300,8,10,1
10113,35.0,12.1,66700.0,4.1,28.2,5,2023-06-20,Finance,Junior,Master,Full-Time,Office,Female,4000,8,13,1
10114,55.0,29.4,38800.0,3.2,42.5,5,2019-06-23,HR,Junior,Bachelor,Full-Time,Office,Male,5000,19,11,1
10115,33.0,12.2,,3.4,30.1,8,2024-12-25,IT,Senior,High School,Full-Time,Office,Female,6200,7,8,1
10116,37.0,15.8,36400.0,4.0,45.8,3,2022-11-01,Marketing,Mid,High School,Full-Time,Hybrid,Male,3800,10,0,1
10117,35.0,12.4,76400.0,4.5,37.5,5,2022-05-16,Operations,Junior,Bachelor,Contract,Office,Male,4800,9,6,0
10118,26.0,1.7,39400.0,3.9,42.2,3,2016-06-10,HR,Mid,Diploma,Full-Time,Office,Female,1400,3,4,1
10119,44.0,25.1,68600.0,3.3,23.6,3,2023-05-28,HR,Junior,Diploma,Full-Time,Hybrid,Female,10100,14,9,0
10120,41.0,24.0,47900.0,4.4,22.7,7,2018-02-02,HR,Senior,Diploma,Full-Time,Hybrid,Female,2500,14,15,1
10121,41.0,17.5,52500.0,1.9,49.2,4,2016-09-14,Marketing,Junior,Diploma,Part-Time,Hybrid,Male,6800,10,20,1
10122,28.0,4.2,58300.0,2.4,33.8,4,2022-12-08,Sales,Mid,High School,Full-Time,Hybrid,Male,7900,5,18,1
10123,46.0,25.5,40600.0,3.9,39.3,2,2024-04-30,Finance,Junior,Bachelor,Full-Time,Hybrid,Male,3100,13,16,0
10124,24.0,0.9,59800.0,3.4,30.4,6,2016-02-28,IT,Mid,High School,Full-Time,Hybrid,Male,7800,1,20,1
10125,40.0,17.6,101400.0,3.8,48.5,3,2022-04-24,IT,Mid,Master,Part-Time,Hybrid,Male,5700,10,18,1
10126,53.0,33.2,40300.0,3.4,25.9,7,2020-03-13,Operations,Senior,Diploma,Part-Time,Office,Female,5500,19,21,0
10127,27.0,0.0,87900.0,3.8,33.0,7,2020-02-22,Marketing,Senior,Diploma,Contract,Remote,Male,9000,5,13,1
10128,30.0,12.0,100100.0,2.8,46.8,8,2015-01-04,IT,Junior,Master,Full-Time,Office,Male,4500,9,15,1
10129,36.0,14.2,39700.0,3.8,52.6,6,2016-04-13,Operations,Junior,Master,Full-Time,Remote,Female,4900,10,5,1
10130,31.0,7.8,30700.0,4.1,27.1,7,2016-10-25,Operations,Lead,High School,Full-Time,Office,Female,4300,4,5,1
10131,23.0,0.7,62100.0,4.3,64.4,4,2024-12-04,Marketing,Senior,Master,Full-Time,Hybrid,Male,5800,4,16,1
10132,36.0,13.9,44200.0,4.8,39.7,7,2023-01-13,Marketing,Mid,Diploma,Full-Time,Hybrid,Male,5300,8,6,1
10133,27.0,0.0,116100.0,3.6,19.4,2,2016-06-21,Finance,Junior,Master,Full-Time,Office,Female,14300,4,12,0
10134,39.0,21.5,55800.0,3.6,40.5,5,2020-03-12,Finance,Junior,High School,Full-Time,Hybrid,Female,6800,17,21,1
10135,28.0,6.1,39900.0,2.3,29.3,3,2023-12-10,Marketing,Senior,Master,Contract,Hybrid,Male,3200,9,12,1
10136,47.0,26.3,34800.0,3.0,41.5,7,2021-08-04,Finance,Lead,Master,Full-Time,Office,Male,4000,15,15,1
10137,29.0,9.9,85100.0,3.3,34.4,5,2022-01-11,Sales,Mid,High School,Part-Time,Office,Female,7800,5,11,1
10138,32.0,6.9,43800.0,4.1,36.1,7,2018-01-01,HR,Junior,High School,Full-Time,Office,Female,3200,3,17,1
10139,42.0,21.4,56000.0,3.0,21.3,9,2020-06-08,IT,Senior,High School,Full-Time,Office,Female,2300,12,15,1
10140,25.0,2.2,80600.0,4.0,49.9,6,2023-08-16,IT,Lead,Diploma,Full-Time,Office,Male,11100,3,16,1
10141,37.0,17.5,45300.0,3.4,17.7,5,2020-10-16,IT,Mid,Diploma,Part-Time,Remote,Male,3300,9,16,0
10142,45.0,16.6,54000.0,3.3,18.4,7,2020-03-05,IT,Lead,Master,Full-Time,Hybrid,Male,2800,10,10,0
10143,22.0,0.0,54600.0,3.6,40.5,1,2022-07-05,Sales,Senior,Diploma,Full-Time,Hybrid,Female,2800,1,25,1
10144,36.0,12.2,72300.0,3.1,59.0,3,2018-09-19,Sales,Junior,Bachelor,Full-Time,Hybrid,Male,3700,7,11,0
10145,37.0,16.3,69700.0,3.1,29.7,3,2020-11-02,HR,Junior,High School,Full-Time,Remote,Male,1400,8,11,1
10146,41.0,20.4,50400.0,2.2,45.5,11,2019-02-28,Marketing,Junior,Bachelor,Full-Time,Hybrid,Female,3900,11,8,1
10147,25.0,0.9,56400.0,3.2,51.1,4,2015-03-20,Finance,Senior,High School,Full-Time,Hybrid,Male,7700,2,12,1
10148,24.0,0.0,47400.0,3.1,47.2,2,2019-04-24,HR,Mid,Master,Full-Time,Office,Male,1100,2,13,1
10149,39.0,16.7,30500.0,3.0,30.3,5,2024-03-31,IT,Mid,High School,Full-Time,Hybrid,Female,4400,9,11,1
10150,37.0,12.3,61000.0,3.7,18.6,7,2020-08-29,Finance,Junior,Diploma,Full-Time,Hybrid,Female,2600,8,19,1
10151,37.0,17.5,117200.0,3.9,5.0,2,2019-05-25,HR,Lead,Master,Full-Time,Office,Female,13300,12,13,1
10152,38.0,14.9,38600.0,3.6,31.1,5,2015-06-05,IT,Junior,High School,Full-Time,Hybrid,Male,4700,10,17,0
10153,30.0,0.0,40400.0,4.1,52.7,2,2023-09-24,HR,Junior,Master,Contract,Hybrid,Male,4700,4,2,1
10154,37.0,13.9,38800.0,3.8,18.1,1,2017-05-29,IT,Junior,Master,Full-Time,Office,Male,2500,11,11,1
10155,37.0,11.9,73500.0,3.2,45.5,6,2023-03-06,Operations,Junior,Master,Full-Time,Office,Male,8200,9,15,1
10156,29.0,2.1,65800.0,3.1,20.7,4,2019-01-13,IT,Lead,Bachelor,Full-Time,Hybrid,Female,5400,4,7,0
10157,50.0,24.3,51600.0,3.6,36.6,7,2015-01-28,Operations,Junior,Diploma,Full-Time,Hybrid,Male,2100,14,7,1
10158,39.0,17.3,38100.0,3.8,45.6,7,2020-03-25,Sales,Junior,Master,Part-Time,Office,Female,1800,11,12,1
10159,25.0,7.0,57100.0,4.4,25.1,6,2016-09-01,IT,Mid,Diploma,Full-Time,Hybrid,Male,1300,6,12,1
10160,40.0,18.9,29400.0,4.2,37.6,6,2017-08-31,HR,Mid,High School,Part-Time,Hybrid,Female,1900,10,9,1
10161,27.0,3.2,58200.0,3.0,28.8,6,2018-09-14,Finance,Junior,Master,Full-Time,Hybrid,Female,6700,6,11,0
10162,41.0,20.4,77900.0,3.3,45.6,7,2024-05-28,Sales,Junior,Diploma,Full-Time,Remote,Male,11400,13,17,1
10163,44.0,20.6,33300.0,3.9,38.5,4,2016-02-23,Operations,Junior,Master,Full-Time,Office,Male,1200,11,10,0
10164,28.0,3.9,29800.0,4.1,35.8,9,2015-01-22,Finance,Senior,Bachelor,Full-Time,Office,Female,2000,6,5,1
10165,43.0,17.5,103500.0,4.1,58.4,4,2015-09-18,Operations,Senior,High School,Full-Time,Office,Female,4500,11,12,1
10166,38.0,10.7,43100.0,3.4,44.9,6,2020-10-08,Marketing,Lead,Bachelor,Full-Time,Hybrid,Male,5100,7,10,1
10167,42.0,18.8,86600.0,2.5,24.6,7,2023-03-04,Finance,Junior,Master,Full-Time,Office,Female,12100,12,17,1
10168,50.0,28.5,51700.0,2.7,33.7,4,2018-12-07,Marketing,Mid,Diploma,Part-Time,Hybrid,Male,1800,16,20,1
10169,33.0,10.7,51500.0,3.6,33.9,6,2021-01-19,Marketing,Senior,Master,Full-Time,Remote,Male,7100,6,7,1
10170,29.0,5.8,65500.0,3.6,36.2,2,2023-09-21,Sales,Junior,Master,Full-Time,Office,Male,3600,5,14,1
10171,28.0,3.2,38600.0,2.6,72.9,6,2021-07-29,Finance,Senior,Master,Full-Time,Remote,Male,1900,3,1,1
10172,28.0,7.8,58000.0,3.4,40.6,4,2015-07-15,Operations,Mid,Bachelor,Full-Time,Hybrid,Female,1600,8,16,1
10173,34.0,8.0,47200.0,3.8,5.0,3,2017-12-04,IT,Mid,Bachelor,Full-Time,Office,Female,1400,8,14,0
10174,38.0,18.3,32400.0,2.6,26.9,3,2022-04-26,Sales,Mid,Diploma,Full-Time,Hybrid,Female,900,10,13,1
10175,37.0,12.0,62900.0,4.2,6.0,5,2017-06-23,Sales,Mid,High School,Contract,Office,Female,4900,6,12,0
10176,42.0,17.7,49500.0,3.1,30.1,3,2021-02-04,IT,Senior,High School,Full-Time,Hybrid,Female,5200,9,7,1
10177,35.0,8.6,51700.0,4.3,5.2,4,2024-10-04,Finance,Lead,Diploma,Full-Time,Remote,Female,2300,7,8,1
10178,47.0,23.5,33900.0,3.0,21.9,3,2015-11-21,Operations,Mid,Master,Full-Time,Remote,Male,1600,14,7,1
10179,33.0,13.9,103900.0,2.7,12.2,6,2021-08-14,Sales,Mid,High School,Full-Time,Office,Male,4400,10,13,1
10180,57.0,35.0,78100.0,3.1,40.8,9,2016-07-21,Marketing,Senior,Bachelor,Contract,Office,Female,9800,20,4,1
10181,40.0,20.9,80900.0,3.3,35.0,5,2020-03-17,IT,Junior,Diploma,Contract,Remote,Male,3100,13,4,0
10182,28.0,7.6,48700.0,3.1,39.5,6,2024-05-11,Operations,Junior,Diploma,Part-Time,Hybrid,Male,1400,6,19,1
10183,26.0,0.7,27500.0,3.2,33.4,4,2017-02-17,HR,Mid,Master,Contract,Hybrid,Female,700,2,13,0
10184,39.0,16.0,120100.0,3.6,14.1,3,2017-07-14,Sales,Mid,High School,Full-Time,Hybrid,Male,3000,10,5,0
10185,33.0,8.7,53700.0,3.3,42.7,9,2020-12-02,Operations,Senior,High School,Full-Time,Hybrid,Male,4900,9,17,1
10186,41.0,23.0,40800.0,3.4,63.8,3,2021-08-01,Marketing,Lead,Master,Contract,Hybrid,Male,1300,14,8,0
10187,39.0,13.4,65000.0,2.2,41.1,9,2023-11-13,Finance,Senior,Diploma,Full-Time,Remote,Male,3200,7,9,1
10188,34.0,14.7,87700.0,3.7,28.6,4,2024-05-18,Finance,Lead,Diploma,Full-Time,Office,Male,11200,7,12,1
10189,28.0,8.7,54500.0,,13.6,8,2020-12-02,IT,Mid,Diploma,Part-Time,Hybrid,Male,7900,5,5,0
10190,23.0,6.5,91700.0,4.5,21.4,3,2024-07-11,Marketing,Mid,Diploma,Full-Time,Hybrid,Female,12100,4,15,0
10191,31.0,7.8,84800.0,2.7,41.8,3,2019-06-04,IT,Mid,Bachelor,Full-Time,Remote,Male,12300,7,9,1
10192,42.0,22.1,35800.0,2.1,51.1,5,2020-01-24,Sales,Mid,Bachelor,Full-Time,Remote,Female,3800,13,0,1
10193,37.0,21.8,42000.0,3.8,38.9,8,2022-10-16,IT,Mid,Diploma,Contract,Office,Male,6200,13,14,1
10194,25.0,1.1,80700.0,3.6,47.0,3,2020-04-27,HR,Mid,Diploma,Part-Time,Hybrid,Male,6800,4,19,1
10195,36.0,9.4,18600.0,2.7,45.6,4,2021-06-28,IT,Senior,Diploma,Full-Time,Remote,Female,2300,6,18,0
10196,38.0,10.4,,2.3,42.6,8,2024-11-21,IT,Junior,Bachelor,Contract,Office,Male,7600,7,6,0
10197,28.0,8.1,31000.0,4.5,25.1,3,2015-02-11,Sales,Junior,Master,Full-Time,Remote,Female,3500,4,14,0
10198,36.0,8.4,45500.0,4.4,37.6,3,2019-01-23,Marketing,Mid,High School,Full-Time,Hybrid,Male,6600,5,10,0
10199,35.0,11.9,48800.0,1.7,22.3,2,2023-09-26,Operations,Lead,Bachelor,Full-Time,Office,Female,2600,10,13,0
10200,26.0,5.3,47700.0,3.1,35.3,7,2016-07-27,Operations,Junior,Diploma,Full-Time,Remote,Female,2800,5,5,1
10201,38.0,16.6,44100.0,4.6,40.0,2,2019-12-26,HR,Lead,Diploma,Full-Time,Remote,Male,3200,10,9,1
10202,39.0,18.3,35500.0,3.1,60.2,6,2019-01-13,IT,Lead,Diploma,Full-Time,Office,Male,2900,12,7,1
10203,44.0,22.7,137600.0,3.1,15.4,5,2016-03-16,Sales,Junior,Diploma,Full-Time,Hybrid,Female,18800,13,3,1
10204,43.0,24.8,116100.0,3.2,42.2,6,2018-04-27,Sales,Senior,Master,Full-Time,Office,Female,15700,12,7,1
10205,24.0,0.0,34600.0,2.6,57.2,2,2021-05-21,Operations,Junior,Bachelor,Full-Time,Hybrid,Male,3700,3,12,0
